beat_id,verdict,qc_note
B078,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B081,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B082,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B083,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B084,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B085,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B086,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B087,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B088,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B089,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B090,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B091,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B092,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B093,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B094,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B095,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B096,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B097,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B098,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B099,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B100,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B101,REPLACED_PASS,Generated frame invented $58.7M and failed the factual lock. Replaced at zero additional credits with deterministic frame keeping $3M criminal DPA separate from the $55.7M civil settlement package.
B102,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
B103,PASS,"Visual QC passed against locked beat meaning, factual/legal status, WHAT IT COST style, source/context treatment, and subtitle-safe lower zone."
