beat_id,source_ids,claim_ids,source_doc,photo,archive_web,map,editor_graphic,reconstruction,gap_id
B042,S009;S001,C013,NO,NO,NO,YES,YES,NO,GAP-004
B043,S001;S002;S003,C014,NO,NO,NO,NO,NO,NO,
B044,S001;S002;S003,C014,YES,NO,NO,NO,NO,NO,
B045,S001;S002;S003,C014,NO,NO,NO,NO,NO,NO,
B046,S009;S012,C015,NO,YES,NO,NO,YES,NO,GAP-002
B047,S001;S004,C014,YES,NO,NO,NO,NO,NO,
B048,S004;S005;S006;S007;S008,C016,YES,NO,NO,NO,YES,NO,GAP-008
B049,S004;S005;S006;S007;S008,C016,YES,NO,NO,NO,YES,NO,GAP-008
B050,S005,C016;C017,YES,NO,NO,NO,YES,NO,GAP-008
B051,S005;S006;S007;S008;S004,C017,YES,NO,NO,NO,YES,NO,GAP-008
B052,S004,C016,NO,YES,NO,NO,NO,NO,
B053,S004,C016,YES,NO,NO,NO,YES,NO,GAP-008
B054,S001;S003,C018,YES,NO,NO,NO,YES,NO,
B055,S003;S001,C018,YES,NO,NO,NO,YES,NO,
B056,S003,C018,YES,NO,NO,NO,YES,NO,
B057,S002;S001,C019,YES,NO,NO,NO,YES,NO,
B058,S002;S001,C019,YES,NO,NO,NO,YES,NO,
B059,S002,C019,YES,NO,NO,NO,YES,NO,
B060,S002,C019,YES,NO,NO,NO,YES,NO,
B061,S001;S002,C019,NO,YES,NO,NO,YES,NO,GAP-002
B062,S001;S002;S012,C019,YES,NO,NO,NO,YES,NO,
B063,S001;S002;S012,C019,YES,NO,NO,NO,YES,NO,
B064,S001;S002;S012,C019,NO,YES,NO,NO,YES,NO,GAP-002
B065,S009,C021,NO,YES,NO,NO,YES,NO,
B066,S009,C021,YES,NO,NO,NO,YES,NO,
B067,S010;S011,C020,YES,NO,NO,NO,YES,NO,
B068,S009,C021,YES,NO,NO,NO,NO,NO,
B069,S009,C021,YES,NO,NO,NO,YES,NO,
B070,S009,C025,YES,NO,NO,NO,YES,NO,
B071,S009,C021,NO,YES,NO,NO,YES,NO,
B072,S009,C022,NO,YES,NO,NO,YES,NO,GAP-009
B073,S009,C023,YES,NO,NO,NO,YES,NO,
B074,S009;S019,C023;C031,YES,YES,NO,NO,YES,NO,GAP-009
B075,S009,C024,YES,YES,NO,NO,YES,NO,GAP-009
B076,S009,C024,YES,NO,NO,NO,YES,NO,
B077,S009;S004,C021,NO,YES,NO,NO,YES,NO,GAP-009
B078,S019,C031,YES,NO,NO,NO,YES,NO,
B079,S009,C021,NO,YES,NO,NO,NO,NO,
B080,S009,C021,YES,NO,NO,NO,NO,NO,
B081,S015;S019,C026,YES,NO,NO,NO,YES,NO,GAP-010
B082,S015;S019,C026,YES,NO,NO,NO,YES,NO,GAP-010
B083,S015;S016,C026;C027,YES,NO,NO,NO,YES,NO,GAP-010
B084,S016,C027,YES,NO,NO,NO,YES,NO,GAP-010
B085,S016;S014;S017,C027;C028,YES,NO,NO,NO,YES,NO,GAP-010
B086,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B087,S014;S017;S018,C028,NO,YES,NO,NO,YES,NO,GAP-010
B088,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B089,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B090,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B091,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B092,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B093,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,GAP-010
B094,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,GAP-010
B095,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,GAP-010
B096,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,GAP-010
B097,S014;S017;S018,C028;C029,YES,NO,NO,NO,YES,NO,GAP-010
B098,S001;S002;S014;S017,C019;C028,YES,NO,NO,NO,YES,NO,GAP-010
B099,S001;S002;S014;S017,C019;C028,NO,NO,NO,NO,YES,NO,GAP-010
B100,S001;S002;S014;S017,C019;C028,YES,NO,NO,NO,YES,NO,GAP-010
B101,S001;S014;S017,C019;C028,YES,NO,NO,NO,YES,NO,GAP-010
B102,S013,C030,YES,YES,YES,NO,YES,NO,GAP-011
B103,S013,C030,YES,YES,YES,NO,YES,NO,GAP-011
B104,S009;S014,C021;C028,YES,NO,NO,NO,YES,NO,
B105,S009;S014,C021;C028,YES,NO,NO,NO,YES,NO,
B106,S009;S013,C003;C030,NO,YES,NO,NO,NO,NO,
B107,S001;S002;S009,C010;C012;C014,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,GAP-007
B108,S004,C016,YES,NO,NO,NO,YES,NO,GAP-008
B109,S001;S002;S012,C019,YES,NO,NO,NO,YES,NO,
B110,S015;S016;S014,C026;C027;C028,YES,NO,NO,NO,YES,NO,GAP-010
B111,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B112,S004;S005;S001;S002,C016;C017;C019,YES,NO,NO,NO,YES,NO,GAP-008
B113,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,GAP-010
B114,S009;S013,C003;C030,NO,YES,NO,NO,YES,NO,
B115,S009;S013,C003;C030,NO,YES,NO,NO,YES,NO,
