beat_id,section,start,end,narrative_job,production_route,template_id,frame_type,final_frame_content,exact_text,source_assets,subtitle_safe,short_ids,shorts_strategy,legal_guardrail
B012,S02,82.920,89.480,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DC018_CIVIL_COMPLAINT_COVER.png + EBAY_HQ_2018_CC_BY_SA.jpg + S009_D711_SUMMARY_JUDGMENT_ORDER.pdf visibly in the image, composed in the locked premium documentary style with exact headline ""SMALL PUBLICATION / GLOBAL MARKETPLACE"". No empty placeholders and no separate later source layer.",SMALL PUBLICATION / GLOBAL MARKETPLACE,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B013,S02,90.120,99.720,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,T02,dossier,"Final WHAT IT COST source-styled still using DC018_CIVIL_COMPLAINT_COVER.png + EBAY_HQ_2018_CC_BY_SA.jpg + S009_D711_SUMMARY_JUDGMENT_ORDER.pdf visibly in the image, composed in the locked premium documentary style with exact headline ""SELLERS • RULES • EXECUTIVE DECISIONS"". No empty placeholders and no separate later source layer.",SELLERS • RULES • EXECUTIVE DECISIONS,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B014,S02,100.540,110.020,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using DC018_CIVIL_COMPLAINT_COVER.png + EBAY_HQ_2018_CC_BY_SA.jpg + S009_D711_SUMMARY_JUDGMENT_ORDER.pdf visibly in the image, composed in the locked premium documentary style with exact headline ""SPRING 2019"". No empty placeholders and no separate later source layer.",SPRING 2019,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B015,S02,110.440,119.260,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DC018_CIVIL_COMPLAINT_COVER.png + EBAY_HQ_2018_CC_BY_SA.jpg + S009_D711_SUMMARY_JUDGMENT_ORDER.pdf visibly in the image, composed in the locked premium documentary style with exact headline ""CRITICISM, NOT COMPETITION"". No empty placeholders and no separate later source layer.","CRITICISM, NOT COMPETITION",DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B016,S02,119.920,130.260,BACKGROUND_AND_SCALE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DC018_CIVIL_COMPLAINT_COVER.png + EBAY_HQ_2018_CC_BY_SA.jpg + S009_D711_SUMMARY_JUDGMENT_ORDER.pdf visibly in the image, composed in the locked premium documentary style with exact headline ""HOW DID CRITICISM BECOME SECURITY?"". No empty placeholders and no separate later source layer.",HOW DID CRITICISM BECOME SECURITY?,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B017,S03,131.060,143.460,INTERNAL_EVIDENCE,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using DC001_CRUSH_THIS_LADY.png + LIVE_DEVIN_WENIG_COMMONS.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""THE INTERNAL MESSAGES"". No empty placeholders and no separate later source layer.",THE INTERNAL MESSAGES,DC001_CRUSH_THIS_LADY.png;LIVE_DEVIN_WENIG_COMMONS.jpg,BOTTOM_20_PERCENT_CLEAR,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B018,S03,144.140,146.920,INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,T01,evidence,"Final branded still built directly from authentic source material DC001_CRUSH_THIS_LADY.png; preserve source pixels/text faithfully, use crop/highlight/brand framing, and render exact editor-native headline ""“WE ARE GOING TO CRUSH THIS LADY.”"" in the same image. No later source insertion.",“WE ARE GOING TO CRUSH THIS LADY.”,DC001_CRUSH_THIS_LADY.png,BOTTOM_20_PERCENT_CLEAR,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B019,S03,147.600,152.740,INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,T03,document,"Final branded still built directly from authentic source material DC003_TAKE_HER_DOWN.png; preserve source pixels/text faithfully, use crop/highlight/brand framing, and render exact editor-native headline ""“TAKE HER DOWN.”"" in the same image. No later source insertion.",“TAKE HER DOWN.”,DC003_TAKE_HER_DOWN.png,BOTTOM_20_PERCENT_CLEAR,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B020,S03,153.580,159.860,INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,T03,document,"Final branded still built directly from authentic source material DC004_NOW_IS_THE_TIME.png; preserve source pixels/text faithfully, use crop/highlight/brand framing, and render exact editor-native headline ""“NOW IS THE TIME.”"" in the same image. No later source insertion.",“NOW IS THE TIME.”,DC004_NOW_IS_THE_TIME.png,BOTTOM_20_PERCENT_CLEAR,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B021,S03,160.680,168.060,INTERNAL_EVIDENCE,HYBRID_SOURCE_EDITORIAL,T02,dossier,"Final branded source composite using S009_D711_SUMMARY_JUDGMENT_ORDER.pdf + OFFICE_INTERIOR_CC0.jpg as visible in-frame material plus deterministic labels/GFX for ""WORDS ≠ PROOF OF AN ORDER"". Source and factual text must already be inside the delivered still.",WORDS ≠ PROOF OF AN ORDER,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B022,S03,168.740,179.680,LEGAL_OR_CAUSAL_CLARIFIER,SOURCE_NATIVE_EDITORIAL,T03,document,"Final branded still built directly from authentic source material DC008_WENIG_NO_DIRECT_BAUGH.png + LIVE_DEVIN_WENIG_COMMONS.jpg; preserve source pixels/text faithfully, use crop/highlight/brand framing, and render exact editor-native headline ""NO DIRECT COMMUNICATION WITH BAUGH"" in the same image. No later source insertion.",NO DIRECT COMMUNICATION WITH BAUGH,DC008_WENIG_NO_DIRECT_BAUGH.png;LIVE_DEVIN_WENIG_COMMONS.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B023,S03,180.260,189.800,INTERNAL_EVIDENCE,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using S009_D711_SUMMARY_JUDGMENT_ORDER.pdf + OFFICE_INTERIOR_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""“WHATEVER IT TAKES.”"". No empty placeholders and no separate later source layer.",“WHATEVER IT TAKES.”,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B024,S03,190.560,194.220,LEGAL_OR_CAUSAL_CLARIFIER,SOURCE_STYLED_GENERATION,T02,dossier,"Final WHAT IT COST source-styled still using OFFICE_INTERIOR_CC0.jpg + EBAY_HQ_2018_CC_BY_SA.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""THE ISSUE MOVED TOWARD SECURITY"". No empty placeholders and no separate later source layer.",THE ISSUE MOVED TOWARD SECURITY,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B025,S03,194.950,204.200,INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,T03,document,"Final branded still built directly from authentic source material DC002_OFF_THE_RADAR.png; preserve source pixels/text faithfully, use crop/highlight/brand framing, and render exact editor-native headline ""“OFF THE RADAR.”"" in the same image. No later source insertion.",“OFF THE RADAR.”,DC002_OFF_THE_RADAR.png,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B026,S03,205.240,216.120,LEGAL_OR_CAUSAL_CLARIFIER,HYBRID_SOURCE_EDITORIAL,T02,dossier,"Final branded source composite using S009_D711_SUMMARY_JUDGMENT_ORDER.pdf + OFFICE_INTERIOR_CC0.jpg as visible in-frame material plus deterministic labels/GFX for ""LEGAL LIMITATION"". Source and factual text must already be inside the delivered still.",LEGAL LIMITATION,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B027,S03,216.740,218.300,LEGAL_OR_CAUSAL_CLARIFIER,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using OFFICE_INTERIOR_CC0.jpg + EBAY_HQ_2018_CC_BY_SA.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""INTO THE SECURITY CHAIN"". No empty placeholders and no separate later source layer.",INTO THE SECURITY CHAIN,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B028,S04,219.200,226.140,ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,T02,dossier,"Final WHAT IT COST source-styled still using NATICK_CENTER_2020_CC_BY_SA.jpg + MASSACHUSETTS_FENCE_CC0.jpg + DC005_FIDOMASTER_JUNE8.png visibly in the image, composed in the locked premium documentary style with exact headline ""MASSACHUSETTS — BEFORE AUGUST 2019"". No empty placeholders and no separate later source layer.",MASSACHUSETTS — BEFORE AUGUST 2019,NATICK_CENTER_2020_CC_BY_SA.jpg;MASSACHUSETTS_FENCE_CC0.jpg;DC005_FIDOMASTER_JUNE8.png,BOTTOM_20_PERCENT_CLEAR,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B029,S04,227.160,241.820,ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DC005_FIDOMASTER_JUNE8.png + MASSACHUSETTS_FENCE_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""FIDOMASTER"". No empty placeholders and no separate later source layer.",FIDOMASTER,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B030,S04,242.560,252.480,ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,T02,dossier,"Final WHAT IT COST source-styled still using DC005_FIDOMASTER_JUNE8.png + MASSACHUSETTS_FENCE_CC0.jpg + OFFICE_INTERIOR_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""“A TAP ON THE SHOULDER.”"". No empty placeholders and no separate later source layer.",“A TAP ON THE SHOULDER.”,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;OFFICE_INTERIOR_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B031,S04,253.440,262.820,ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using DC001_CRUSH_THIS_LADY.png + DC003_TAKE_HER_DOWN.png + DC005_FIDOMASTER_JUNE8.png visibly in the image, composed in the locked premium documentary style with exact headline ""ANGER → MESSAGES → ACTION"". No empty placeholders and no separate later source layer.",ANGER → MESSAGES → ACTION,DC001_CRUSH_THIS_LADY.png;DC003_TAKE_HER_DOWN.png;DC005_FIDOMASTER_JUNE8.png,BOTTOM_20_PERCENT_CLEAR,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B032,S04,263.740,273.040,ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,T02,dossier,"Final WHAT IT COST source-styled still using S009_D711_SUMMARY_JUDGMENT_ORDER.pdf + OFFICE_INTERIOR_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""AUGUST 6, 2019 — OPERATION PLANNING"". No empty placeholders and no separate later source layer.","AUGUST 6, 2019 — OPERATION PLANNING",S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B033,S04,273.860,283.080,ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,T02,dossier,"Final WHAT IT COST source-styled still using PARCEL_CC0.webp + DC022_THREATENING_MESSAGES.png + OFFICE_INTERIOR_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""THE OPERATION ACCELERATED"". No empty placeholders and no separate later source layer.",THE OPERATION ACCELERATED,PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png;OFFICE_INTERIOR_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B034,S05,284.180,293.200,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using DC022_THREATENING_MESSAGES.png + DOJ_FBI_PIG_MASK_AND_BOOK.jpg + COCKROACH_CC0.jpg + LARVAE_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""THREATENING MESSAGES • LIVE INSECTS • PIG MASK"". No empty placeholders and no separate later source layer.",THREATENING MESSAGES • LIVE INSECTS • PIG MASK,DC022_THREATENING_MESSAGES.png;DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;LARVAE_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Authentic evidence without horror/gore treatment.
B035,S05,294.220,300.920,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using DC021_CRAIGSLIST_HARASSMENT.png visibly in the image, composed in the locked premium documentary style with exact headline ""CRAIGSLIST POSTS"". No empty placeholders and no separate later source layer.",CRAIGSLIST POSTS,DC021_CRAIGSLIST_HARASSMENT.png,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B036,S05,301.780,308.420,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,T01,evidence,"Final WHAT IT COST source-styled still using DOJ_FBI_PIG_MASK_AND_BOOK.jpg + PARCEL_CC0.webp + DC022_THREATENING_MESSAGES.png visibly in the image, composed in the locked premium documentary style with exact headline ""ORGANIZED, NOT RANDOM"". No empty placeholders and no separate later source layer.","ORGANIZED, NOT RANDOM",DOJ_FBI_PIG_MASK_AND_BOOK.jpg;PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B037,S05,309.400,318.820,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,T06,timeline,"Final WHAT IT COST source-styled still using OFFICE_INTERIOR_CC0.jpg + EBAY_HQ_2018_CC_BY_SA.jpg + PARCEL_CC0.webp visibly in the image, composed in the locked premium documentary style with exact headline ""PLANNING • TRAVEL • CORPORATE SECURITY"". No empty placeholders and no separate later source layer.",PLANNING • TRAVEL • CORPORATE SECURITY,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;PARCEL_CC0.webp,BOTTOM_20_PERCENT_CLEAR,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,
B038,S05,319.880,328.140,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,T02,dossier,"Final WHAT IT COST source-styled still using NATICK_CENTER_2020_CC_BY_SA.jpg + GENERIC_GPS_TRACKER_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""AUGUST 15, 2019"". No empty placeholders and no separate later source layer.","AUGUST 15, 2019",NATICK_CENTER_2020_CC_BY_SA.jpg;GENERIC_GPS_TRACKER_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
B039,S05,328.940,337.480,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,T03,document,"Final WHAT IT COST source-styled still using DC006_DELIVERIES_GPS_ATTEMPT.png + DC007_GPS_GARAGE_ATTEMPT.png + GENERIC_GPS_TRACKER_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""GPS TRACKER ATTEMPT"". No empty placeholders and no separate later source layer.",GPS TRACKER ATTEMPT,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Tracker attempted; installation not established.
B040,S05,338.340,349.320,OPERATION_AND_SURVEILLANCE,HYBRID_SOURCE_EDITORIAL,T01,evidence,"Final branded source composite using DC007_GPS_GARAGE_ATTEMPT.png + GENERIC_GPS_TRACKER_CC0.jpg as visible in-frame material plus deterministic labels/GFX for ""ATTEMPTED — NOT INSTALLED"". Source and factual text must already be inside the delivered still.",ATTEMPTED — NOT INSTALLED,DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Tracker attempted; installation not established.
B041,S05,350.380,355.800,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,T05,map_location,"Final WHAT IT COST source-styled still using NATICK_CENTER_2020_CC_BY_SA.jpg + GENERIC_GPS_TRACKER_CC0.jpg visibly in the image, composed in the locked premium documentary style with exact headline ""PHYSICAL SURVEILLANCE"". No empty placeholders and no separate later source layer.",PHYSICAL SURVEILLANCE,NATICK_CENTER_2020_CC_BY_SA.jpg;GENERIC_GPS_TRACKER_CC0.jpg,BOTTOM_20_PERCENT_CLEAR,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,
