beat_id,spoken_text,narrative_job,production_route,current_or_corrected_sources,semantic_status,issue,corrected_source_plan,model_input_policy,style_policy,subtitle_lock
B020,"And on August first, another message from Wenig said that if they were ever going to act, “now is the time.”",INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,DC004_NOW_IS_THE_TIME.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B021,"Those words are dramatic. But they are not, by themselves, proof that Wenig or any other executive ordered the crimes that followed.",INTERNAL_EVIDENCE,HYBRID_SOURCE_EDITORIAL,OFFICE_INTERIOR_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B022,The later court record says Jim Baugh — the head of eBay security — testified that Wenig never communicated directly with him about the Steiners. Wenig's relevant communications went through Wymer.,LEGAL_OR_CAUSAL_CLARIFIER,SOURCE_NATIVE_EDITORIAL,DC008_WENIG_NO_DIRECT_BAUGH.png;LIVE_DEVIN_WENIG_COMMONS.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B023,"Still, inside the organization, the language was escalating. Wymer's messages to Baugh became increasingly ag gressive, including the phrase “Whatever it takes.”",INTERNAL_EVIDENCE,SOURCE_STYLED_GENERATION,OFFICE_INTERIOR_CC0.jpg,PREP_REQUIRED,Exact 'Whatever it takes' quote is not present in current attached factual image.,Prepare a tight authentic S009 excerpt containing the quote; office photo may remain secondary context.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B024,Another executive relationship was pulling the issue toward security too.,LEGAL_OR_CAUSAL_CLARIFIER,SOURCE_STYLED_GENERATION,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B025,"Wendy Jones — Baugh's direct supervisor — told him, according to the court record, to handle the issue “off the radar” and said she did not want details.",INTERNAL_EVIDENCE,SOURCE_NATIVE_EDITORIAL,DC002_OFF_THE_RADAR.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B026,"That is not the same as a finding that Jones knew what the security team would later do. But by this point, criticism from two publishers was no longer being discussed only as a communications problem.",LEGAL_OR_CAUSAL_CLARIFIER,HYBRID_SOURCE_EDITORIAL,OFFICE_INTERIOR_CC0.jpg,PREP_REQUIRED,Legal limitation cannot be carried by generic office imagery alone.,Use editor/legal qualifier plus relevant S009/Jones excerpt; do not imply knowledge of later criminal acts.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B027,It had entered the security chain.,LEGAL_OR_CAUSAL_CLARIFIER,SOURCE_STYLED_GENERATION,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B028,"Before the most notorious phase of the campaign, members of Baugh's security operation had already traveled to Massachusetts.",ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,NATICK_CENTER_2020_CC_BY_SA.jpg;MASSACHUSETTS_FENCE_CC0.jpg;DC005_FIDOMASTER_JUNE8.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B029,"During an early trip, security employee Brian Gilbert surveilled the Steiners and spray-painted “FidoMaster” on their fence — a username used by a commenter on EcommerceBytes whom the security team believed was connected to the Steiners.",ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B030,Baugh later described the trip to Wymer as a “tap on the shoulder.” That moment matters because it shows how the problem was being translated inside the company.,ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;OFFICE_INTERIOR_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B031,"At the top, there was anger about criticism. In the middle, increasingly forceful messages. At the security level, those messages were becoming action.",ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,DC001_CRUSH_THIS_LADY.png;DC003_TAKE_HER_DOWN.png;DC005_FIDOMASTER_JUNE8.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B032,"Then the process became more organized. On August sixth, Baugh held meetings with security-team members to plan an operation against the Steiners.",ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,OFFICE_INTERIOR_CC0.jpg,PREP_REQUIRED,August 6 operation-planning fact is represented only by generic office context.,Prepare a tight official court/charging excerpt for Aug. 6 planning; office photo is secondary only.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B033,"The plan included unwanted deliveries and online harassment. The next day, Baugh met with Wymer. And then the operation accelerated.",ESCALATION_TO_OPERATION,SOURCE_STYLED_GENERATION,PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png;OFFICE_INTERIOR_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B034,The Steiners began receiving threatening online messages and disturbing deliveries. The admitted record includes live insects and a bloody pig mask.,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,DC022_THREATENING_MESSAGES.png;DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;LARVAE_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B035,There were also Craigslist posts designed to send strangers toward the Steiners and other messages intended to frighten them.,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,DC021_CRAIGSLIST_HARASSMENT.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B036,The details are bizarre enough to make the story feel almost unreal. But the key point is that this was organized.,OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B037,"People were planning activities, traveling, communicating, and using corporate-security personnel and resources around a campaign directed at two private citizens.",OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;PARCEL_CC0.webp,PASS,,Current factual source package belongs to the locked narration line.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B038,"Then the line moved again. On August fifteenth, Baugh, David Harville and Veronica Zea traveled to the Steiners' area.",OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,NATICK_CENTER_2020_CC_BY_SA.jpg,REPAIR_SOURCE,GPS device is one beat early: narration only establishes Aug. 15 travel to the Steiners' area.,Remove GENERIC_GPS_TRACKER_CC0.jpg. Use Natick/location context only; GPS enters at B039.,DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B039,"According to the federal court record, they attempted to install a G-P-S tracker on the Steiners' vehicle. They also surveilled and followed the couple.",OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B040,The tracker was not established as successfully installed. But the attempt changed the nature of the story. This was no longer just anonymous online harassment or disturbing deliveries.,OPERATION_AND_SURVEILLANCE,HYBRID_SOURCE_EDITORIAL,DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B041,"It had become a physical surveillance operation. And the next day, the Steiners went to the police.",OPERATION_AND_SURVEILLANCE,SOURCE_STYLED_GENERATION,NATICK_CENTER_2020_CC_BY_SA.jpg,PASS_REPAIRED,R5 was GPS-heavy and missed the physical-surveillance → police pivot.,"Keep Natick/location context, no GPS hero, and explicitly carry NEXT DAY → POLICE.",DIRECT_SOURCE_OK,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B042,"Natick police began investigating on August sixteenth, twenty nineteen. That should have ended the operation. Instead, it created a second problem.",INVESTIGATION_AND_OBSTRUCTION,SOURCE_STYLED_GENERATION,NATICK_CENTER_2020_CC_BY_SA.jpg,REPAIR_SOURCE,DC023 obstruction/deletion imagery is chronologically ahead of the line that first introduces the police investigation.,Lead with Natick + prepared Aug.16 police-investigation cue. Obstruction evidence begins B043.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B043,The first was what the security team had done. The second was what members of that team did once investigators started asking questions.,INVESTIGATION_AND_OBSTRUCTION,SOURCE_STYLED_GENERATION,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B044,"The record admitted by eBay and described by federal prosecutors includes false statements, deletion of digital evidence, and falsified records.",INVESTIGATION_AND_OBSTRUCTION,HYBRID_SOURCE_EDITORIAL,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B045,"A security organization that existed to reduce risk had now created two kinds of risk: the operation itself, and the effort to conceal it.",INVESTIGATION_AND_OBSTRUCTION,SOURCE_STYLED_GENERATION,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B046,"eBay began its own internal investigation days later. By the end of August, several security employees had been placed on leave. Over time, key members of the operation were removed or terminated, and one contractor's relationship ended.",INVESTIGATION_AND_OBSTRUCTION,SOURCE_STYLED_GENERATION,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,PREP_REQUIRED,Internal investigation/leave/termination details need their own verified excerpt; obstruction image is not sufficient proof.,Prepare exact S009/S012 excerpt or editor fact strip; use HQ as context.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B047,But internal discipline was only the beginning. Federal prosecutors were coming next.,INVESTIGATION_AND_OBSTRUCTION,SOURCE_STYLED_GENERATION,EBAY_HQ_2018_CC_BY_SA.jpg,REPAIR_SOURCE,Obstruction imagery is stale for the transition 'Federal prosecutors were coming next.',Use a prepared official DOJ prosecution/charging cue (S001/S027) with restrained company context.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B048,"Beginning in twenty twenty, federal prosecutors brought criminal cases against people involved in the campaign.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,SOURCE_STYLED_GENERATION,DC011_SEVEN_GUILTY_DOJ.png,REPAIR_SOURCE,"DC011 is a later final-defendant/guilty-plea summary and is semantically late for 'Beginning in 2020, prosecutors brought cases.'",Prepare original DOJ charging-release excerpt (S027/S001) for the 2020 case-start beat.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B049,"Eventually, all seven former eBay employees and contractors who were prosecuted pleaded guilty.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,HYBRID_SOURCE_EDITORIAL,DC011_SEVEN_GUILTY_DOJ.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B050,A guilty plea is not an allegation. It establishes criminal guilt without a trial. Jim Baugh received fifty-seven months in prison.,INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,SOURCE_NATIVE_EDITORIAL,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B051,"David Harville received twenty-four months. Other participants received combinations of prison, probation, home confinement, and financial penalties.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,SOURCE_NATIVE_EDITORIAL,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B052,"By twenty twenty-four, the individual criminal cases had produced a clear story of personal accountability. And from a distance, that can look like the ending.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,SOURCE_STYLED_GENERATION,DC011_SEVEN_GUILTY_DOJ.png;DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B053,eBay had removed key members of the security operation. The people who were federally prosecuted had pleaded guilty.,INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,HYBRID_SOURCE_EDITORIAL,DC011_SEVEN_GUILTY_DOJ.png;DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
B054,But federal prosecutors eventually turned from the individuals inside the company to the company itself.,INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,SOURCE_STYLED_GENERATION,DC011_SEVEN_GUILTY_DOJ.png;DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;EBAY_HQ_2018_CC_BY_SA.jpg,PASS,,Current factual source package belongs to the locked narration line.,PREP_REQUIRED_BEFORE_MODEL,NEW_R6_NEUTRAL_STYLE_REF_ONLY__OLD_R5_IDS_FORBIDDEN,BOTTOM_22_PERCENT_QUIET
