beat_id,section,start,end,overlay_classes,date_label,source_label,legal_status,provenance_label,position,subtitle_zone,note
B021,S03,160.680,168.060,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B022,S03,168.740,179.680,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,NO DIRECT BAUGH COMMUNICATION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B023,S03,180.260,189.800,SOURCE,,SOURCE: U.S. DISTRICT COURT • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B024,S03,190.560,194.220,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B025,S03,194.950,204.200,SOURCE,,SOURCE: U.S. DISTRICT COURT • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B026,S03,205.240,216.120,LEGAL_STATUS,,,LEGAL LIMITATION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B027,S03,216.740,218.300,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B028,S04,219.200,226.140,DATE,MASSACHUSETTS — BEFORE AUGUST 2019,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B029,S04,227.160,241.820,PROVENANCE,,,,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B030,S04,242.560,252.480,SOURCE+PROVENANCE,,SOURCE: U.S. DISTRICT COURT • D. MASS.,,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B031,S04,253.440,262.820,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B032,S04,263.740,273.040,DATE+SOURCE+PROVENANCE,"AUGUST 6, 2019 — OPERATION PLANNING",SOURCE: U.S. DISTRICT COURT • D. MASS.,,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B033,S04,273.860,283.080,PROVENANCE,,,,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B034,S05,284.180,293.200,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B035,S05,294.220,300.920,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B036,S05,301.780,308.420,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B037,S05,309.400,318.820,PROVENANCE,,,,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B038,S05,319.880,328.140,DATE+PROVENANCE,"AUGUST 15, 2019",,,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B039,S05,328.940,337.480,LEGAL_STATUS+PROVENANCE,,,GPS ATTEMPT,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B040,S05,338.340,349.320,LEGAL_STATUS+PROVENANCE,,,ATTEMPTED — NOT INSTALLED,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B041,S05,350.380,355.800,PROVENANCE,,,,ILLUSTRATIVE RECONSTRUCTION,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B042,S06,356.860,366.060,DATE+LEGAL_STATUS,"AUGUST 16, 2019 — POLICE INVESTIGATION",,POLICE INVESTIGATION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B043,S06,366.980,374.300,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B044,S06,375.480,384.240,LEGAL_STATUS,,,OBSTRUCTION / CONCEALMENT RECORD,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B045,S06,385.280,394.160,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B046,S06,395.020,410.060,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B047,S06,410.900,415.800,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B048,S07,416.540,422.360,DATE+SOURCE,FEDERAL CASES BEGIN — 2020,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B049,S07,423.480,429.180,SOURCE+LEGAL_STATUS,,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,GUILTY PLEAS,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B050,S07,430.420,439.600,SOURCE,,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B051,S07,440.920,449.880,SOURCE,,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B052,S07,451.340,460.880,SOURCE,,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B053,S07,462.060,468.780,SOURCE,,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B054,S07,469.980,476.000,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B055,S08,477.340,483.160,DATE+SOURCE,JANUARY 2024 — SIX-COUNT INFORMATION,SOURCE: U.S. ATTORNEY’S OFFICE • JAN. 2024,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B056,S08,484.200,495.500,SOURCE,,SOURCE: U.S. ATTORNEY’S OFFICE • JAN. 2024,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B057,S08,496.900,499.300,SOURCE+LEGAL_STATUS,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,DPA ≠ CONVICTION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B058,S08,500.300,503.880,SOURCE+LEGAL_STATUS,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,DEFERRED PROSECUTION AGREEMENT,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B059,S08,505.020,508.380,SOURCE+LEGAL_STATUS,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,DPA ≠ CONVICTION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B060,S08,509.420,524.080,SOURCE+LEGAL_STATUS,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,PROSECUTION DEFERRED,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B061,S08,525.140,528.120,SOURCE,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B062,S08,529.300,536.780,SOURCE+LEGAL_STATUS,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,$3M CRIMINAL PENALTY • SEPARATE,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B063,S08,537.600,544.240,SOURCE+LEGAL_STATUS,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,3-YEAR INDEPENDENT MONITOR,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B064,S08,545.640,555.980,SOURCE,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B065,S08,556.820,565.860,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B066,S08,566.960,569.300,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B067,S09,570.640,574.500,DATE+LEGAL_STATUS,JULY 2021 — CIVIL CASE FILED,,CIVIL CASE FILED,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B068,S09,575.640,580.400,DATE+SOURCE+LEGAL_STATUS,2025 — SUMMARY JUDGMENT,SOURCE: U.S. DISTRICT COURT • D. MASS.,SUMMARY JUDGMENT,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B069,S09,581.040,593.080,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,SURVIVING CLAIM ≠ LIABILITY,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B070,S09,593.800,603.440,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,SUMMARY JUDGMENT FOR PFC,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B071,S09,604.100,608.760,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,CLAIMS SURVIVED • NOT LIABILITY,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B072,S09,609.660,619.440,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,NO DIRECT BAUGH COMMUNICATION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B073,S09,620.240,633.060,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,JURY QUESTION • NOT FINAL LIABILITY,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B074,S09,634.080,650.940,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,WENIG POSITION • ATTRIBUTED,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B075,S09,652.280,663.820,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,REASONABLE-JURY STANDARD,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B076,S09,664.560,667.640,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,NOT A FINAL FINDING,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B077,S09,669.000,674.260,LEGAL_STATUS,,,NOT CRIMINALLY CHARGED OVER CAMPAIGN,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B078,S09,675.700,691.400,LEGAL_STATUS,,,EBAY INTERNAL-INVESTIGATION POSITION,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B079,S09,692.440,702.280,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B080,S09,703.640,709.000,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B081,S10,710.380,718.560,DATE+LEGAL_STATUS,"FEB. 25, 2026 — SETTLEMENT IN PRINCIPLE",,SETTLEMENT IN PRINCIPLE • NOT FINAL,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B082,S10,718.560,723.480,LEGAL_STATUS,,,CONDITIONAL DISMISSAL,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B083,S10,724.220,733.820,LEGAL_STATUS,,,FIRST DEAL FAILED,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B084,S10,734.860,743.180,DATE+LEGAL_STATUS,CASE REOPENED • JAN. 2027 TRIAL SET,,CASE REOPENED,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B085,S10,743.960,752.340,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B086,S10,752.940,757.000,DATE+SOURCE+LEGAL_STATUS,FINAL SETTLEMENT • NUMBERS PUBLIC,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,FINAL SETTLEMENT,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B087,S11,757.980,761.360,DATE+SOURCE,LATE JULY 2026,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B088,S11,762.080,766.940,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,SETTLEMENT PACKAGE • NOT JUDGMENT,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B089,S11,766.940,772.520,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,NOT A JUDGMENT,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B090,S11,773.220,777.680,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,NOT EBAY-ONLY,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B091,S11,778.640,784.000,SOURCE,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B092,S11,784.680,787.640,SOURCE,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B093,S11,788.540,794.660,SOURCE,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B094,S11,794.660,796.180,SOURCE,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B095,S11,797.040,801.260,SOURCE,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B096,S11,801.740,812.020,SOURCE,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B097,S11,812.780,815.940,SOURCE,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B098,S11,816.540,825.700,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,CRIMINAL DPA PENALTY • SEPARATE,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B099,S11,826.300,827.520,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,NO $58.7M AWARD,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B100,S11,828.320,838.040,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,TWO SEPARATE LEGAL TRACKS,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B101,S11,838.820,843.700,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,DO NOT COMBINE THE TWO TRACKS,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B102,S12,844.600,854.500,DATE+SOURCE+LEGAL_STATUS,EBAY APOLOGIZED,SOURCE: EBAY STATEMENT • JULY 2026,COMPANY STATEMENT,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B103,S12,855.180,861.280,SOURCE+LEGAL_STATUS,,SOURCE: EBAY STATEMENT • JULY 2026,COMPANY STATEMENT,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B104,S12,862.240,869.060,SOURCE+LEGAL_STATUS,,SOURCE: U.S. DISTRICT COURT • D. MASS.,NO JURY VERDICT ON SURVIVING CLAIMS,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B105,S12,870.120,880.540,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B106,S12,881.420,888.700,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B107,S12,889.200,897.020,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B108,S12,897.900,900.400,SOURCE,,SOURCE: U.S. ATTORNEY’S OFFICE • D. MASS.,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B109,S12,901.260,911.140,SOURCE,,SOURCE: DOJ • DEFERRED PROSECUTION AGREEMENT,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B110,S12,911.840,921.080,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,FIRST 2026 SETTLEMENT FAILED,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B111,S12,921.900,926.520,SOURCE+LEGAL_STATUS,,SOURCE: FINAL SETTLEMENT / COURT FILING • JULY 2026,$55.7M CIVIL SETTLEMENT PACKAGE,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B112,S12,927.320,937.400,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B113,S12,938.280,942.180,NONE,,,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,No extra overlay unless assembly QC finds attribution ambiguity.
B114,S12,942.720,951.340,SOURCE,,SOURCE: EBAY STATEMENT • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
B115,S12,952.080,956.920,SOURCE,,SOURCE: EBAY STATEMENT • JULY 2026,,,UPPER EDGE / SIDE MARGIN,BOTTOM 22% CLEAR,Metadata only; do not duplicate baked-in hero headline.
