beat_id,source,job_id,status,cost_credits,result_url
B012,NEW_BATCH1_R2,0d93ff30-2d36-462a-b799-8f84ec8756bd,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143018_0d93ff30-2d36-462a-b799-8f84ec8756bd.png
B013,NEW_BATCH1_R2,3ffe33bb-e3ac-4918-825e-d46e43b3443f,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143018_3ffe33bb-e3ac-4918-825e-d46e43b3443f.png
B014,NEW_BATCH1_R2,9cf69fe7-9cc6-4e21-a983-c86ee522652d,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143039_9cf69fe7-9cc6-4e21-a983-c86ee522652d.png
B015,NEW_BATCH1_R2,5a64b767-eaad-4546-899e-cc83c7aeef3d,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143038_5a64b767-eaad-4546-899e-cc83c7aeef3d.png
B016,NEW_BATCH1_R2,3536193b-f747-4beb-a7d1-2e749fdcd6df,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143036_3536193b-f747-4beb-a7d1-2e749fdcd6df.png
B017,NEW_BATCH1_R2,58622f40-42ab-4a13-ae9b-3647eb0e51e1,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143036_58622f40-42ab-4a13-ae9b-3647eb0e51e1.png
B018,REUSED_ACCEPTED_TEST,b85300e8-a85a-4cec-8333-d38f3dd83dae,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_131553_b85300e8-a85a-4cec-8333-d38f3dd83dae.png
B019,NEW_BATCH1_R2,436f3d0c-710d-499d-b105-432aa49a12e8,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143039_436f3d0c-710d-499d-b105-432aa49a12e8.png
B020,NEW_BATCH1_R2,b5bc6f82-95d9-419c-8c40-7c02cdd707a9,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143037_b5bc6f82-95d9-419c-8c40-7c02cdd707a9.png
B021,NEW_BATCH1_R2,e73393cf-f905-4afe-8c03-2f96228eb8a9,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143101_e73393cf-f905-4afe-8c03-2f96228eb8a9.png
B022,NEW_BATCH1_R2,ffc4eca1-acfc-4522-9642-2807341782da,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143059_ffc4eca1-acfc-4522-9642-2807341782da.png
B023,NEW_BATCH1_R2,0ed6adb8-6299-4991-bb4b-0093799f0c47,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143059_0ed6adb8-6299-4991-bb4b-0093799f0c47.png
B024,NEW_BATCH1_R2,589aac62-9a13-4864-83ee-fd5e18e590d4,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143100_589aac62-9a13-4864-83ee-fd5e18e590d4.png
B025,NEW_BATCH1_R2,db16c28d-7aec-4b11-a924-03bdfd6bc870,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143101_db16c28d-7aec-4b11-a924-03bdfd6bc870.png
B026,NEW_BATCH1_R2,1c54de83-44d9-4c29-bd43-835faf1b2ad2,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143059_1c54de83-44d9-4c29-bd43-835faf1b2ad2.png
B027,NEW_BATCH1_R2,6be051af-ab80-45bb-9566-c7291f581544,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143112_6be051af-ab80-45bb-9566-c7291f581544.png
B028,NEW_BATCH1_R2,ffa31a58-67e2-442f-b1d9-0f9be5fde940,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143113_ffa31a58-67e2-442f-b1d9-0f9be5fde940.png
B029,NEW_BATCH1_R2,b3989235-37f6-439c-9c3f-5f0958416af6,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143112_b3989235-37f6-439c-9c3f-5f0958416af6.png
B030,NEW_BATCH1_R2,fd746615-7487-4682-a66a-74af21ebecfc,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143115_fd746615-7487-4682-a66a-74af21ebecfc.png
B031,NEW_BATCH1_R2,e19a53d6-e816-45b0-83ef-97022f71dc6d,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143114_e19a53d6-e816-45b0-83ef-97022f71dc6d.png
B032,NEW_BATCH1_R2,71f5d448-b66b-4390-a3d6-a2e9d655b57f,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143113_71f5d448-b66b-4390-a3d6-a2e9d655b57f.png
B033,NEW_BATCH1_R2,c6326161-1c70-44da-ba26-a1f51ca20050,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143123_c6326161-1c70-44da-ba26-a1f51ca20050.png
B034,NEW_BATCH1_R2,325b31e6-6513-4b0b-8387-d49aa22f37f8,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143123_325b31e6-6513-4b0b-8387-d49aa22f37f8.png
B035,NEW_BATCH1_R2,3912fa5c-b5b4-401d-ac83-d73ee65e8e7d,COMPLETED,0.5,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260922_143123_3912fa5c-b5b4-401d-ac83-d73ee65e8e7d.png
