asset_id,type,source_id,generator_or_origin,version,status,storage_uri,rights_or_usage_note
B030,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_516e824a-6482-4b2e-9728-26448b20d8f5.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B031,EDITOR_NATIVE_GFX,G14-003,Stage14 editor-native GFX,G14-003,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B032,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_2a38d833-3eea-48d4-9ba3-2858f8e8b7b0.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B033,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_4190fc34-658e-4696-b14d-95e44c8e2eeb.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B034,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R5_TEST10_PASS,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121022_fb1de30e-fde2-479e-8a3b-9354a257ecec.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B035,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163308_0165ec28-0d54-49ed-a638-699e9e2d665a.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B036,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163315_34e432e2-06b6-4dd1-88eb-1ab384546115.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B037,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_644eed79-ff2b-484f-b5b8-8429819a85df.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B038,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_fe625d90-ff3e-4e5c-915a-014b7b12fec3.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B039,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_b7fb7d04-2d03-457d-909f-7c10b008ceda.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B040,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163315_fa98f360-1edc-4ed4-830c-15aeee772f67.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B041,EDITOR_NATIVE_GFX,G14-004,Stage14 editor-native GFX,G14-004,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B042,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193511_779e73aa-4dec-4473-a351-9d232d0eab62.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B043,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163323_9ad09fdd-0d59-4fe6-98fb-98724dc27162.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B044,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163324_955b02d0-6968-4fa7-a0ea-dd0a1ce7d262.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B045,EDITOR_NATIVE_GFX,G14-005,Stage14 editor-native GFX,G14-005,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B046,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_7532e5f0-7085-40ad-9d2b-047f244c68a5.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B047,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_6fd77607-00da-48bf-b2ec-2431040733f6.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B048,EDITOR_BUILD,DC011_SEVEN_GUILTY_DOJ.png,15A deterministic source editor,15A,FINAL_LOCKED,12B_SOURCE_ASSETS/DC011_SEVEN_GUILTY_DOJ.png,DOJ/government-source/editor-native court/document crop; no seals/logos or externally credited material treated as cleared.
B049,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163319_c8cabaef-decc-4081-9e10-d5a659693338.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B050,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163329_f1b8501e-3789-476c-b341-5cd93925dec5.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B051,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163330_1b55c241-977e-47b9-a45d-1d8af753726e.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B052,EDITOR_NATIVE_GFX,G14-006,Stage14 editor-native GFX,G14-006,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B053,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163330_af6c61d9-f071-4df9-a413-d77eece38718.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B054,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_BATCH35,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163331_dc03f0bc-71a1-41ec-9a8b-7c59c13352e6.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B055,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_10e30d95-8566-4d6f-8010-5d68b8ac93ad.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B056,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193515_2fab649a-dac5-40f8-b414-c9d49de15dcb.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B057,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192411_e3a4e787-8946-4f33-bac2-193a4cb734f5.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B058,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192411_4852ccf0-ea3c-4a79-9c8a-e569bd524b8b.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B059,EDITOR_NATIVE_GFX,G14-007,Stage14 editor-native GFX,G14-007,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B060,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192410_88c78f5a-c517-4d4d-91e0-04506a80d0d9.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B061,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192410_62a73b96-4294-4452-8d26-f3bb9635fa11.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B062,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R5_TEST10_PASS,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121021_0826df70-9544-4e5e-88ad-acfb26c8654a.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B063,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192410_d4d754ba-8dae-4886-98f1-1c3138140601.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B064,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192416_aaec7f0c-3568-4da9-adea-fc9e23a1da3f.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B065,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192415_034b618c-13e2-4a75-b204-671a446af88a.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B066,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192415_f1653855-656f-4867-b362-c2dfbb46456a.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B067,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192417_34b3630f-e9a9-417c-9b0c-4ed5c7eb1697.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B068,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192414_df6a5803-d2da-4099-ab7f-28d635683333.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B069,EDITOR_NATIVE_GFX,G14-008,Stage14 editor-native GFX,G14-008,FINAL_LOCKED,GFX archive media 4eb621b3-decd-427f-8730-580d55779b91,Editor-native graphics; factual/legal text bound to project claims/source ledgers.
B070,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192420_921dd17c-1ecc-4997-8968-08bde13faf32.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B071,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192420_463d8017-4aec-43f0-aa1e-4958fb6dd853.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B072,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192420_90641b3c-faa8-4cff-b93b-ddca68528319.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
B073,AI_GENERATED_HIGGSFIELD,Stage12F production prompt/source plan,Higgsfield GPT Image 2,R7_FINAL61,FINAL_LOCKED,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192421_e858fe73-6189-452c-a321-f33a0f1d574b.png,Higgsfield output; commercial use not restricted by current Higgsfield terms; source/input rights remain user's responsibility.
