source_id,source_type,title,publisher,author,url,court_or_agency,case_name,docket_number,filing_date,publication_date,access_date,primary_or_secondary,authority_level,archived_copy,status,notes
S016,NEWS_REPORT,EBay faces new trial over harassment of couple after settlement fizzles,Reuters,Nate Raymond,https://www.reuters.com/legal/government/ebay-faces-new-trial-over-harassment-couple-after-settlement-fizzles-2026-06-17/,,,,,2026-06-17,2026-09-20,SECONDARY,TIER_2,,CAPTURED,"Reports failed finalization, reopened case and new January 2027 trial date."
S017,NEWS_REPORT,"EBay, former executives to pay $56 million to settle couple's harassment case",Reuters,Nate Raymond,https://www.reuters.com/legal/government/ebay-former-executives-pay-56-million-settle-couples-harassment-case-2026-07-28/,,,,,2026-07-28,2026-09-20,SECONDARY,TIER_2,,CAPTURED,Independent confirmation of $55.7M total and allocations.
S018,LEGAL_NEWS,"EBay, Ex-Executives to Pay $56 Million to End Stalking Suit",Bloomberg Law,Brian Dowling,https://news.bloomberglaw.com/business-and-practice/ebay-former-executives-to-pay-56-million-to-end-stalking-suit,,,,,2026-07-28,2026-09-20,SECONDARY,TIER_2,,CAPTURED,Independent legal-news confirmation of $55.7M settlement and $48.7M compensation + $7M charitable commitments.
S019,NEWS_REPORT,A Natick couple wanted $500 million from eBay for stalking and harassment. Now they've struck a settlement.,The Boston Globe,Aaron Pressman,https://www.bostonglobe.com/2026/02/25/business/ebay-settlement-harass-steiner/,,,,,2026-02-25,2026-09-20,SECONDARY,TIER_2,,CAPTURED,Useful counter-position: reports eBay lawyers' 2021 internal-investigation presentation said no evidence Wenig/Wymer directed or knew criminal acts would follow.
S020,COURT_FILING,"Steiner et al. v. eBay Inc. et al. — Stipulation of Dismissal With Prejudice","U.S. District Court — District of Massachusetts",,https://attorneywire.com/wp-content/uploads/2026/07/Steiner_et_al_v_eBay_Inc_et_al__madce-21-11181__0986.0.pdf,"U.S. District Court — District of Massachusetts","Steiner et al. v. eBay Inc. et al.",1:21-cv-11181-PBS,2026-07-27,2026-07-27,2026-09-22,PRIMARY,TIER_1,,CAPTURED,"Authentic CM/ECF Document 986 mirror; stipulates dismissal with prejudice of all claims against all defendants. Use for final procedural status. Party-authored filing is not automatically treated as public-domain visual material."
S021,COMPANY_STATEMENT,"eBay Inc. Issues Statement Regarding Indictments of Previously Terminated Employees",eBay Inc.,,https://www.ebayinc.com/stories/news/ebay-inc-issues-statement-regarding-indictments-of-previously-terminated-employees/,,,,,2020-06-15,2026-09-22,PRIMARY,TIER_1,,CAPTURED,"Primary company statement: internal investigation found Wenig communications inappropriate but said no evidence he knew in advance or authorized later actions."
S022,FIRST_PARTY_ABOUT_PAGE,"About",EcommerceBytes,,https://www.ecommercebytes.com/about/,,,,,2026-09-22,2026-09-22,PRIMARY,TIER_1,,CAPTURED,"First-party publication history: Steiner Associates launched AuctionBytes in 1999; renamed EcommerceBytes in 2011; Ina and David Steiner roles."
S023,SEC_FILING,"eBay Inc. 2019 Form 10-K",SEC / eBay Inc.,,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/ebay201910-k.htm,SEC,eBay Inc.,001-37713,2020-01-31,2020-01-31,2026-09-22,PRIMARY,TIER_1,,AVAILABLE_REFERENCE,"Canonical SEC filing metadata; GitHub acquisition may use a period annual-report mirror only as context/reference because SEC blocks runner downloads."
S024,COMPANY_BIO,"Wendy Jones — SVP Global Operations",eBay Inc.,,https://static.ebayinc.com/static/assets/Uploads/Leaders/Downloads/eBay-WendyJones-Bio-061818.pdf,,,,,2018-06-18,2026-09-22,PRIMARY,TIER_1,,CAPTURED_REFERENCE_ONLY,"First-party role/background reference; not automatically license-cleared for raw publication."
S025,COMPANY_PROFILE,"Steve Wymer to Join eBay as SVP and Chief Communications Officer",eBay Inc.,,https://www.ebayinc.com/stories/news/steve-wymer-joins-ebay-as-senior-vice-president-and-chief-communications-officer/,,,,,2019-01-17,2026-09-22,PRIMARY,TIER_1,,CAPTURED_REFERENCE_ONLY,"First-party role/background reference; page imagery not automatically license-cleared."
S026,COMPANY_PROFILE,"Devin Wenig Joins eBay as President of Global Marketplaces Business",eBay Inc.,,https://www.ebayinc.com/stories/news/devin-wenig-joins-ebay-president-global-marketplaces-business/,,,,,2011-09-06,2026-09-22,PRIMARY,TIER_1,,CAPTURED_REFERENCE_ONLY,"First-party role/background reference. Commons-licensed portrait candidates acquired separately."
S027,DOJ_PRESS_RELEASE,"Six Former eBay Employees Charged with Aggressive Cyberstalking Campaign Targeting Natick Couple",U.S. Department of Justice,,https://www.justice.gov/usao-ma/pr/six-former-ebay-employees-charged-aggressive-cyberstalking-campaign-targeting-natick,,,,,2020-06-15,2026-09-22,PRIMARY,TIER_1,,CAPTURED,"Original June 2020 charging announcement; charging-stage allegations must remain described as allegations."
