beat_id,section,start,end,spoken_text,gfx_ids,primary_mode,source_ids,claim_ids,needs_source_doc,needs_photo,needs_archive_web,needs_map,needs_editor_graphic,reconstruction_rule,preferred_visual,gap_id,stage13_status
B051,S07,440.920,449.880,"David Harville received twenty-four months. Other participants received combinations of prison, probation, home confinement, and financial penalties.",GFX-005,MIXED,S005;S006;S007;S008;S004,C017,YES,NO,NO,NO,YES,NO,Use GFX-005 as the primary explanatory layer; support with authentic record crop where useful.,GAP-008,PLANNED_NOT_ACQUIRED
B052,S07,451.340,460.880,"By twenty twenty-four, the individual criminal cases had produced a clear story of personal accountability. And from a distance, that can look like the ending.",,ARCHIVE_PHOTO,S004,C016,NO,YES,NO,NO,NO,NO,Rights-safe archival/person/company/location photo with restrained editorial motion.,,PLANNED_NOT_ACQUIRED
B053,S07,462.060,468.780,eBay had removed key members of the security operation. The people who were federally prosecuted had pleaded guilty.,GFX-005,MIXED,S004,C016,YES,NO,NO,NO,YES,NO,Use GFX-005 as the primary explanatory layer; support with authentic record crop where useful.,GAP-008,PLANNED_NOT_ACQUIRED
B054,S07,469.980,476.000,But federal prosecutors eventually turned from the individuals inside the company to the company itself.,GFX-006,MIXED,S001;S003,C018,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B055,S08,477.340,483.160,"In January twenty twenty-four, prosecutors filed a six-count criminal Information against eBay.",GFX-006,MIXED,S003;S001,C018,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B056,S08,484.200,495.500,"The counts included interstate stalking, stalking through electronic communications, witness tampering, and destruction or falsification of records connected to a federal investigation.",GFX-006,MIXED,S003,C018,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B057,S08,496.900,499.300,But eBay was not convicted on those charges.,GFX-006;GFX-012,MIXED,S002;S001,C019,YES,NO,NO,NO,YES,NO,Use GFX-006+GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B058,S08,500.300,503.880,"Instead, the company entered a deferred prosecution agreement.",GFX-006,MIXED,S002;S001,C019,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B059,S08,505.020,508.380,A deferred prosecution agreement works differently from a conviction.,GFX-006;GFX-012,MIXED,S002,C019,YES,NO,NO,NO,YES,NO,Use GFX-006+GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B060,S08,509.420,524.080,"The government files charges, but prosecution is held back while the company complies with negotiated conditions. If the agreement is completed successfully, the criminal case is intended to end without a trial on those corporate charges.",GFX-006,MIXED,S002,C019,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B061,S08,525.140,528.120,"For eBay, the agreement came with real consequences.",GFX-006,MIXED,S001;S002,C019,NO,YES,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with archive/context where useful.,GAP-002,PLANNED_NOT_ACQUIRED
B062,S08,529.300,536.780,The company admitted a detailed factual account of the conduct. It agreed to pay a three-million-dollar criminal penalty.,GFX-006,MIXED,S001;S002;S012,C019,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B063,S08,537.600,544.240,"And it accepted an independent compliance monitor for three years, along with cooperation and compliance obligations.",GFX-006,MIXED,S001;S002;S012,C019,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B064,S08,545.640,555.980,"At that point, the legal consequences no longer belonged only to individuals. eBay itself had entered a federal criminal resolution tied to the conduct.",GFX-006,MIXED,S001;S002;S012,C019,NO,YES,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with archive/context where useful.,GAP-002,PLANNED_NOT_ACQUIRED
B065,S08,556.820,565.860,But one major question was still unresolved. How far up the organization could civil responsibility for the campaign extend?,GFX-007,MIXED,S009,C021,NO,YES,NO,NO,YES,NO,Use GFX-007 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
B066,S08,566.960,569.300,That question was moving toward a jury.,GFX-007,MIXED,S009,C021,YES,NO,NO,NO,YES,NO,Use GFX-007 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B067,S09,570.640,574.500,The Steiners filed their federal civil case in July twenty twenty-one.,GFX-002,MIXED,S010;S011,C020,YES,NO,NO,NO,YES,NO,Use GFX-002 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B068,S09,575.640,580.400,"Four years later, Judge Patti Saris issued a major summary-judgment order.",,SOURCE_DOCUMENT,S009,C021,YES,NO,NO,NO,NO,NO,Authentic source document/court/DOJ/corporate statement crop with restrained highlight and date/source metadata.,,PLANNED_NOT_ACQUIRED
B069,S09,581.040,593.080,"At this stage, the key distinction is simple: allowing a claim to continue does not mean a defendant has been found liable. It means the issue can still be decided by a jury.",GFX-012,MIXED,S009,C021,YES,NO,NO,NO,YES,NO,Use GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B070,S09,593.800,603.440,And the court treated different defendants differently. A security contractor named P-F-C won summary judgment on the claims against it.,GFX-007,MIXED,S009,C025,YES,NO,NO,NO,YES,NO,Use GFX-007 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B071,S09,604.100,608.760,But significant claims involving eBay and former executives survived.,GFX-007,MIXED,S009,C021,NO,YES,NO,NO,YES,NO,Use GFX-007 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
B072,S09,609.660,619.440,"For Devin Wenig, the record included an important limitation: Baugh testified that Wenig had not communicated with him directly about the Steiners.",GFX-007,MIXED,S009,C022,NO,YES,NO,NO,YES,NO,Use GFX-007 as the primary explanatory layer; support with archive/context where useful.,GAP-009,PLANNED_NOT_ACQUIRED
B073,S09,620.240,633.060,"At the same time, the judge held that, viewing the evidence in the Steiners' favor as required at that stage, a jury could potentially find Wenig's encouragement was a substantial factor in what followed.",GFX-007;GFX-012,MIXED,S009,C023,YES,NO,NO,NO,YES,NO,Use GFX-007+GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B074,S09,634.080,650.940,"Wenig disputed that interpretation. His lawyers said he had no knowledge of or involvement in the harassment campaign, did not approve or authorize it, and argued that his messages concerned a public-relations response to the Steiners' reporting.",GFX-007;GFX-012,MIXED,S009;S019,C023;C031,YES,YES,NO,NO,YES,NO,Use GFX-007+GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,GAP-009,PLANNED_NOT_ACQUIRED
B075,S09,652.280,663.820,"For Steve Wymer, the court pointed to a more extensive communication record and held that a reasonable jury could find he had induced, encouraged or authorized tortious conduct.",GFX-007;GFX-012,MIXED,S009,C024,YES,YES,NO,NO,YES,NO,Use GFX-007+GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,GAP-009,PLANNED_NOT_ACQUIRED
B076,S09,664.560,667.640,"Again, that was not a final finding of liability.",GFX-007;GFX-012,MIXED,S009,C024,YES,NO,NO,NO,YES,NO,Use GFX-007+GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B077,S09,669.000,674.260,"And Wenig, Wymer and Wendy Jones were not criminally charged over the campaign.",GFX-007,MIXED,S009;S004,C021,NO,YES,NO,NO,YES,NO,Use GFX-007 as the primary explanatory layer; support with archive/context where useful.,GAP-009,PLANNED_NOT_ACQUIRED
B078,S09,675.700,691.400,"eBay's internal-investigation position also cut the other way: according to reporting on a company presentation, its lawyers said they had found no evidence that Wenig or Wymer directed the criminal acts or knew those acts would follow.",GFX-003,MIXED,S019,C031,YES,NO,NO,NO,YES,NO,Use GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B079,S09,692.440,702.280,"So by late twenty twenty-five, the unresolved question was how far responsibility extended above the people who had carried out the security operation.",,ARCHIVE_PHOTO,S009,C021,NO,YES,NO,NO,NO,NO,Rights-safe archival/person/company/location photo with restrained editorial motion.,,PLANNED_NOT_ACQUIRED
B080,S09,703.640,709.000,A jury was getting close to answering that. Then the case appeared to end.,,SOURCE_DOCUMENT,S009,C021,YES,NO,NO,NO,NO,NO,Authentic source document/court/DOJ/corporate statement crop with restrained highlight and date/source metadata.,,PLANNED_NOT_ACQUIRED
B081,S10,710.380,718.560,"On February twenty-fifth, twenty twenty-six, just before trial, the parties reported a settlement in principle. The terms were not disclosed.",GFX-013,MIXED,S015;S019,C026,YES,NO,NO,NO,YES,NO,Use GFX-013 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B082,S10,718.560,723.480,The case was conditionally dismissed while they worked to finalize the agreement.,GFX-013,MIXED,S015;S019,C026,YES,NO,NO,NO,YES,NO,Use GFX-013 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B083,S10,724.220,733.820,"After years of criminal cases, a corporate D-P-A, civil discovery and pretrial rulings, it looked like the final chapter. Then the deal failed.",GFX-013,MIXED,S015;S016,C026;C027,YES,NO,NO,NO,YES,NO,Use GFX-013 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B084,S10,734.860,743.180,"By June, the settlement had not been finalized. The civil case was reopened. A new trial date was set for January twenty twenty-seven.",GFX-013,MIXED,S016,C027,YES,NO,NO,NO,YES,NO,Use GFX-013 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B085,S10,743.960,752.340,"That put the unresolved civil-responsibility question back on the table. But before a jury could hear the case, the parties reached another deal.",GFX-013,MIXED,S016;S014;S017,C027;C028,YES,NO,NO,NO,YES,NO,Use GFX-013 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B086,S10,752.940,757.000,"This one became the final settlement. And this time, the numbers were public.",GFX-008;GFX-013,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008+GFX-013 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B087,S11,757.980,761.360,The final agreement was announced in late July twenty twenty-six.,GFX-008,MIXED,S014;S017;S018,C028,NO,YES,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with archive/context where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B088,S11,762.080,766.940,The total announced settlement package was fifty-five-point-seven million dollars.,GFX-008,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B089,S11,766.940,772.520,But that number has to be broken apart. It was not a fifty-five-point-seven-million-dollar judgment.,GFX-008,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
