asset_source_id,role,related_source_ids,title,creator_or_publisher,url,rights_class,license,license_url,attribution_required,commercial_reuse,modification,planned_use,status,beats_or_gaps,guardrail
PS011,LICENSED_ILLUSTRATIVE_OBJECT,,"Parcel box and mailbox","Wikideas1 / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Parcel_box_and_mailbox.webp",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic delivery/parcel context",SELECTED,"GAP-005","Do not imply this exact box/mailbox was involved."
PS012,LICENSED_ILLUSTRATIVE_OBJECT,,"Funeral wreath 09 27 1421u","I.Sáček, senior / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Funeral_wreath_09_27_1421u.JPG",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic funeral-wreath object option",SELECTED,"GAP-005","Generic/illustrative only."
PS013,LICENSED_ILLUSTRATIVE_OBJECT,,"Kippy Tracker Device","TudorTulok / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Kippy_Tracker_Device.jpg",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic GPS-device example",SELECTED,"GAP-007","Never depict or imply successful attachment; label as generic device example, not the case device."
PS014,LICENSED_CONTEXT,,"Office interior 2022 queue","Rakoon / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Office_interior_2022_queue.jpg",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic corporate/security environment texture",SELECTED,"GAP-002","Not eBay offices; generic context only."
PS015,LICENSED_CONTEXT,,"Wooden fence — Arlington, Massachusetts — 02","Daderot / Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Wooden_fence_-_Arlington,_MA_-_02.jpg",CC0,"CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/",NO,YES,YES,"Generic Massachusetts fence base for editor recreation",SELECTED,"GAP-006","Label reconstruction/generic context; exact FidoMaster word is editor-native; never imply authentic fence photo."
PS016,FIRST_PARTY_FACT_SOURCE,S013,"eBay statement regarding agreement with Ina and David Steiner","eBay Inc.","https://www.ebayinc.com/stories/news/ebay-statement-regarding-agreement-with-ina-and-david-steiner/",COPYRIGHTED_FIRST_PARTY,"No reuse license established in source pass",,NO_ASSUMED,UNKNOWN,UNKNOWN,"Facts/short quote for editor recreation; not raw screenshot by default",EDITOR_RECREATE_ONLY,"GAP-011","Do not call license-cleared; use minimal quoted text only where editorially necessary."
PS017,OFFICIAL_MEDIA_PORTAL,,"eBay Press Room downloads","eBay Inc.","https://www.ebayinc.com/stories/press-room/",TERMS_UNCLEAR,"Download portal found; asset-specific reuse terms not established",,UNKNOWN,UNKNOWN,UNKNOWN,"Potential campus/B-roll source",HOLD,"GAP-002;GAP-009","Do not ingest into edit until asset-specific terms are confirmed."
PS018,PUBLICATION_CONTEXT,S014,"EcommerceBytes current publication page / archive context","Steiner Associates LLC","https://www.ecommercebytes.com/",COPYRIGHTED_EDITORIAL,"No open license found",,NO_ASSUMED,UNKNOWN,UNKNOWN,"Publication identity/context only",FAIR_USE_REVIEW_ONLY,"GAP-001","Prefer editor-built EcommerceBytes name/URL card; any screenshot requires explicit editorial/fair-use review and privacy check."
PS019,PARTY_FACT_SOURCE,S014,"Final $55.7M settlement announcement","Scalli Murphy Law / EcommerceBytes","https://www.ecommercebytes.com/2026/07/27/ebay-and-execs-settle-cyberstalking-case-for-55-7-million-in-compensation-and-charitable-commitments/",COPYRIGHTED_PARTY_SOURCE,"No open visual reuse license established",,NO_ASSUMED,UNKNOWN,UNKNOWN,"Settlement figures feed editor-native GFX",REFERENCE_ONLY_FOR_VISUAL,"GAP-010","Use facts with attribution/corroboration; do not use article-body screenshot as a cleared visual."
PS020,SECONDARY_FACT_SOURCE,"S015;S016;S017","Reuters reporting on 2026 settlement chronology","Reuters","https://www.reuters.com/legal/government/",COPYRIGHTED_NEWS,"No reuse license in project",,NO,NO,NO,"Fact corroboration only",REFERENCE_ONLY_NO_SCREENSHOT,"GAP-010","No Reuters article-body screenshot or photo reuse."
PS021,AUTHENTIC_SOURCE_IMAGE,S004,"Bloody pig Halloween mask and book on surviving loss of spouse","U.S. Attorney's Office / FBI Boston","https://www.justice.gov/usao-ma/pr/final-defendant-ebay-cyberstalking-case-sentenced",US_GOV_SOURCE_IMAGE,"DOJ website information public domain unless otherwise indicated; secondary press identifies image as FBI Boston handout","https://www.justice.gov/legalpolicies",CITE_DOJ_OR_FBI_SOURCE,YES,YES,"Authentic case evidence image embedded on DOJ press release",SELECTED,"GAP-005","No external copyright credit appears on DOJ page; preserve source attribution; do not reproduce DOJ/FBI seals or imply endorsement. Direct page image path: https://www.justice.gov/sites/default/files/styles/d05/public/2024-07/gilbert_pr_image_1.jpg?itok=IQtSIX7y"

PS022,PRIMARY_PROCEDURAL_SOURCE,S020,"Stipulation of Dismissal With Prejudice — Document 986","U.S. District Court filing / party-authored stipulation","https://attorneywire.com/wp-content/uploads/2026/07/Steiner_et_al_v_eBay_Inc_et_al__madce-21-11181__0986.0.pdf",COURT_FILING_RIGHTS_REVIEW,"Public court filing; no open copyright license established for party-authored filing",,NO_ASSUMED,UNKNOWN,UNKNOWN,"Primary procedural proof that all claims were dismissed with prejudice; feed editor-native status card",EDITOR_RECREATE_ONLY,"GAP-010","Use filing facts/docket metadata freely as facts; do not label the mirror or whole filing as license-cleared visual media. If a literal crop is later desired, route through Stage 16 fair-use/provenance review."
