beat_id,section,start,end,production_route,template_id,frame_type,exact_text,source_assets,legal_guardrail,generation_or_build_prompt,status
B011,S02,74.680,82.100,SOURCE_STYLED_GENERATION,T01,evidence,ECOMMERCEBYTES • SINCE 1999,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,,"Create/deliver one finished 16:9 WHAT IT COST production still for B011, synchronized to narration: ""Ina and David Steiner ran EcommerceBytes, an independent publication covering online commerce since nineteen ninety-nine."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; S009_D711_SUMMARY_JUDGMENT_ORDER.pdf. Exact on-image text: ""ECOMMERCEBYTES • SINCE 1999"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B012,S02,82.920,89.480,SOURCE_STYLED_GENERATION,T01,evidence,SMALL PUBLICATION / GLOBAL MARKETPLACE,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,,"Create/deliver one finished 16:9 WHAT IT COST production still for B012, synchronized to narration: ""The scale mismatch was obvious: an independent trade publication on one side, a global marketplace on the other."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; S009_D711_SUMMARY_JUDGMENT_ORDER.pdf. Exact on-image text: ""SMALL PUBLICATION / GLOBAL MARKETPLACE"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B013,S02,90.120,99.720,SOURCE_STYLED_GENERATION,T02,dossier,SELLERS • RULES • EXECUTIVE DECISIONS,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,,"Create/deliver one finished 16:9 WHAT IT COST production still for B013, synchronized to narration: ""But the Steiners covered eBay's world closely — sellers, marketplace rules, executive decisions, and the complaints of people who depended on platforms like eBay."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; S009_D711_SUMMARY_JUDGMENT_ORDER.pdf. Exact on-image text: ""SELLERS • RULES • EXECUTIVE DECISIONS"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T02.",R4_READY
B014,S02,100.540,110.020,SOURCE_STYLED_GENERATION,T03,document,SPRING 2019,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,,"Create/deliver one finished 16:9 WHAT IT COST production still for B014, synchronized to narration: ""By spring twenty nineteen, a later federal court record shows that EcommerceBytes had become an increasing source of frustration for people inside eBay's leadership."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; S009_D711_SUMMARY_JUDGMENT_ORDER.pdf. Exact on-image text: ""SPRING 2019"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T03.",R4_READY
B015,S02,110.440,119.260,SOURCE_STYLED_GENERATION,T01,evidence,"CRITICISM, NOT COMPETITION",DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,,"Create/deliver one finished 16:9 WHAT IT COST production still for B015, synchronized to narration: ""The Steiners were not business rivals trying to take eBay's customers. They were publishers criticizing the company and giving readers a place to criticize it too."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; S009_D711_SUMMARY_JUDGMENT_ORDER.pdf. Exact on-image text: ""CRITICISM, NOT COMPETITION"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B016,S02,119.920,130.260,SOURCE_STYLED_GENERATION,T01,evidence,HOW DID CRITICISM BECOME SECURITY?,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,,"Create/deliver one finished 16:9 WHAT IT COST production still for B016, synchronized to narration: ""Companies face criticism every day. The real question is how criticism from two publishers became something people inside eBay's security organization were expected to solve."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC018_CIVIL_COMPLAINT_COVER.png; EBAY_HQ_2018_CC_BY_SA.jpg; S009_D711_SUMMARY_JUDGMENT_ORDER.pdf. Exact on-image text: ""HOW DID CRITICISM BECOME SECURITY?"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T01.",R4_READY
B017,S03,131.060,143.460,SOURCE_STYLED_GENERATION,T03,document,THE INTERNAL MESSAGES,DC001_CRUSH_THIS_LADY.png;LIVE_DEVIN_WENIG_COMMONS.jpg,,"Create/deliver one finished 16:9 WHAT IT COST production still for B017, synchronized to narration: ""The internal messages are where the story changes. In April twenty nineteen, Steve Wymer — eBay's communications chief — sent then-C-E-O Devin Wenig a message about an Ina Steiner article."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC001_CRUSH_THIS_LADY.png; LIVE_DEVIN_WENIG_COMMONS.jpg. Exact on-image text: ""THE INTERNAL MESSAGES"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_STYLED_GENERATION. Supply the listed assets to the image model as factual references and require them to remain recognizably present in the final frame. The output itself must be the source-based final still, not a blank plate. Preserve object/photo identity; do not fabricate substitute evidence or people. Template T03.",R4_READY
B018,S03,144.140,146.920,SOURCE_NATIVE_EDITORIAL,T01,evidence,“WE ARE GOING TO CRUSH THIS LADY.”,DC001_CRUSH_THIS_LADY.png,,"Create/deliver one finished 16:9 WHAT IT COST production still for B018, synchronized to narration: ""His words were: “We are going to crush this lady.”"". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC001_CRUSH_THIS_LADY.png. Exact on-image text: ""“WE ARE GOING TO CRUSH THIS LADY.”"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_NATIVE_EDITORIAL. Build the final image directly from the authentic source crop/photo pixels: crop, mask, highlight, frame, texture and grade them, but do not ask an image model to redraw or rewrite source text. Preserve legible source wording exactly. The source crop and exact headline must be present in the finished still. Template T01.",R4_READY
B019,S03,147.600,152.740,SOURCE_NATIVE_EDITORIAL,T03,document,“TAKE HER DOWN.”,DC003_TAKE_HER_DOWN.png,,"Create/deliver one finished 16:9 WHAT IT COST production still for B019, synchronized to narration: ""Weeks later, according to the federal court record, Wenig told Wymer to “take her down.”"". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC003_TAKE_HER_DOWN.png. Exact on-image text: ""“TAKE HER DOWN.”"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_NATIVE_EDITORIAL. Build the final image directly from the authentic source crop/photo pixels: crop, mask, highlight, frame, texture and grade them, but do not ask an image model to redraw or rewrite source text. Preserve legible source wording exactly. The source crop and exact headline must be present in the finished still. Template T03.",R4_READY
B020,S03,153.580,159.860,SOURCE_NATIVE_EDITORIAL,T03,document,“NOW IS THE TIME.”,DC004_NOW_IS_THE_TIME.png,,"Create/deliver one finished 16:9 WHAT IT COST production still for B020, synchronized to narration: ""And on August first, another message from Wenig said that if they were ever going to act, “now is the time.”"". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: DC004_NOW_IS_THE_TIME.png. Exact on-image text: ""“NOW IS THE TIME.”"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: SOURCE_NATIVE_EDITORIAL. Build the final image directly from the authentic source crop/photo pixels: crop, mask, highlight, frame, texture and grade them, but do not ask an image model to redraw or rewrite source text. Preserve legible source wording exactly. The source crop and exact headline must be present in the finished still. Template T03.",R4_READY
B021,S03,160.680,168.060,HYBRID_SOURCE_EDITORIAL,T02,dossier,WORDS ≠ PROOF OF AN ORDER,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,,"Create/deliver one finished 16:9 WHAT IT COST production still for B021, synchronized to narration: ""Those words are dramatic. But they are not, by themselves, proof that Wenig or any other executive ordered the crimes that followed."". FINAL FRAME MUST ALREADY CONTAIN THE REQUIRED SOURCE MATERIAL — no empty evidence slots and no plan to add sources later. Locked look: premium investigative business documentary; #0B0B0B/#1F1F1F/#3A3A3A, paper white #EDEDED, restrained signal red #D32222, rare muted gold only for money; Bebas-like display, Inter-like support, authentic paper/evidence treatment, strong negative space. Bottom 20% must be visually quiet and free of essential content. Required visible source assets: S009_D711_SUMMARY_JUDGMENT_ORDER.pdf; OFFICE_INTERIOR_CC0.jpg. Exact on-image text: ""WORDS ≠ PROOF OF AN ORDER"". Do not invent any other factual names, dates, figures, quotes, source metadata, seals, stamps or legal conclusions.  ROUTE: HYBRID_SOURCE_EDITORIAL. Compose the authentic source assets into the final branded frame and add only deterministic exact labels/GFX. AI may style background/material atmosphere only if it does not alter source pixels or factual text. Template T02.",R4_READY
