beat_id,source_or_reference,prep_mode,output_target,purpose,rule,status
B025,DC002_OFF_THE_RADAR.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B025_DC002_OFF_THE_RADAR.png,“OFF THE RADAR.”,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B026,S009,EDITOR_LEGAL_QUALIFIER_STRIP,12B_SOURCE_ASSETS/R6_PREP/R6P_B026_JONES_LIMITATION.png,Legal limitation; no inference Jones knew later criminal plan.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B026,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B028,DC005_FIDOMASTER_JUNE8.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B028_DC005_FIDOMASTER_JUNE8.png,MASSACHUSETTS — BEFORE AUGUST 2019,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B029,DC005_FIDOMASTER_JUNE8.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B029_DC005_FIDOMASTER_JUNE8.png,FIDOMASTER,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B030,DC005_FIDOMASTER_JUNE8.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B030_DC005_FIDOMASTER_JUNE8.png,“A TAP ON THE SHOULDER.”,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B031,DC001_CRUSH_THIS_LADY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC001_CRUSH_THIS_LADY.png,ANGER → MESSAGES → ACTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B031,DC003_TAKE_HER_DOWN.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC003_TAKE_HER_DOWN.png,ANGER → MESSAGES → ACTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B031,DC005_FIDOMASTER_JUNE8.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC005_FIDOMASTER_JUNE8.png,ANGER → MESSAGES → ACTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B032,S009/S003,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B032_AUG6_OPERATION_PLANNING.png,August 6 operation-planning evidence.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B032,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B033,DC022_THREATENING_MESSAGES.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B033_DC022_THREATENING_MESSAGES.png,THE OPERATION ACCELERATED,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B034,DC022_THREATENING_MESSAGES.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B034_DC022_THREATENING_MESSAGES.png,THREATENING MESSAGES • LIVE INSECTS • PIG MASK,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B035,DC021_CRAIGSLIST_HARASSMENT.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B035_DC021_CRAIGSLIST_HARASSMENT.png,CRAIGSLIST POSTS,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B036,DC022_THREATENING_MESSAGES.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B036_DC022_THREATENING_MESSAGES.png,"ORGANIZED, NOT RANDOM",Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B039,DC006_DELIVERIES_GPS_ATTEMPT.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC006_DELIVERIES_GPS_ATTEMPT.png,GPS TRACKER ATTEMPT,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B039,DC007_GPS_GARAGE_ATTEMPT.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC007_GPS_GARAGE_ATTEMPT.png,GPS TRACKER ATTEMPT,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B040,DC007_GPS_GARAGE_ATTEMPT.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B040_DC007_GPS_GARAGE_ATTEMPT.png,ATTEMPTED — NOT INSTALLED,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B042,S009/S001,EDITOR_VERIFIED_FACT_STRIP,12B_SOURCE_ASSETS/R6_PREP/R6P_B042_AUG16_POLICE_INVESTIGATION.png,August 16 police investigation; no obstruction yet.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B043,DC023_OBSTRUCTION_DELETION.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B043_DC023_OBSTRUCTION_DELETION.png,A SECOND PROBLEM,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B044,DC023_OBSTRUCTION_DELETION.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B044_DC023_OBSTRUCTION_DELETION.png,FALSE STATEMENTS • DELETED EVIDENCE • FALSIFIED RECORDS,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B045,DC023_OBSTRUCTION_DELETION.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B045_DC023_OBSTRUCTION_DELETION.png,OPERATION + CONCEALMENT,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B046,DC023_OBSTRUCTION_DELETION.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B046_DC023_OBSTRUCTION_DELETION.png,INTERNAL INVESTIGATION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B046,S009/S012,EDITOR_VERIFIED_FACT_STRIP,12B_SOURCE_ASSETS/R6_PREP/R6P_B046_INTERNAL_INVESTIGATION.png,Internal investigation / leave / removal chronology.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B047,S001/S027,TIGHT_OFFICIAL_DOJ_EXCERPT,12B_SOURCE_ASSETS/R6_PREP/R6P_B047_DOJ_PROSECUTION_TRANSITION.png,Federal-prosecution transition.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B048,DC011_SEVEN_GUILTY_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B048_DC011_SEVEN_GUILTY_DOJ.png,FEDERAL CASES BEGIN — 2020,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B048,S027/S001,TIGHT_OFFICIAL_DOJ_EXCERPT,12B_SOURCE_ASSETS/R6_PREP/R6P_B048_DOJ_2020_CHARGES_BEGIN.png,Beginning-in-2020 charging cue.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B048,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B049,DC011_SEVEN_GUILTY_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B049_DC011_SEVEN_GUILTY_DOJ.png,SEVEN GUILTY PLEAS,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B049,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B050,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B050_DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,JIM BAUGH — 57 MONTHS,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B050,S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B051,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B051_DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,DAVID HARVILLE — 24 MONTHS,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B051,S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B052,DC011_SEVEN_GUILTY_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B052_DC011_SEVEN_GUILTY_DOJ.png,PERSONAL ACCOUNTABILITY,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B052,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B052_DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,PERSONAL ACCOUNTABILITY,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B053,DC011_SEVEN_GUILTY_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B053_DC011_SEVEN_GUILTY_DOJ.png,ALL SEVEN PROSECUTED PLEADED GUILTY,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B053,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B053_DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,ALL SEVEN PROSECUTED PLEADED GUILTY,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B054,DC011_SEVEN_GUILTY_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B054_DC011_SEVEN_GUILTY_DOJ.png,FROM INDIVIDUALS TO THE COMPANY,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B054,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B054_DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,FROM INDIVIDUALS TO THE COMPANY,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B055,S003,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B055_SIX_COUNT_INFORMATION.png,January 2024 six-count Criminal Information.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B055,S003_EBAY_CRIMINAL_INFORMATION.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B056,S003,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B056_INFORMATION_COUNTS.png,Charged categories from Criminal Information.,Verified wording/source meaning only; never fabricate source text or legal-document appearance.,SPEC_READY_NOT_RENDERED
B056,S003_EBAY_CRIMINAL_INFORMATION.pdf,RAW_DOC_DO_NOT_ATTACH,,Source-of-truth support only,Never attach raw PDF/HTML to Higgsfield. Use authentic tight crop or editor-native verified strip according to rights.,LOCKED_NO_RAW_MODEL_INPUT
B057,DC015_DPA_CRIMINAL_PENALTY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B057_DC015_DPA_CRIMINAL_PENALTY.png,DPA ≠ CONVICTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B057,DC016_DPA_COMPLIANCE_MONITOR.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B057_DC016_DPA_COMPLIANCE_MONITOR.png,DPA ≠ CONVICTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B057,DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B057_DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,DPA ≠ CONVICTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B058,DC015_DPA_CRIMINAL_PENALTY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B058_DC015_DPA_CRIMINAL_PENALTY.png,DEFERRED PROSECUTION AGREEMENT,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B058,DC016_DPA_COMPLIANCE_MONITOR.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B058_DC016_DPA_COMPLIANCE_MONITOR.png,DEFERRED PROSECUTION AGREEMENT,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B058,DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B058_DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,DEFERRED PROSECUTION AGREEMENT,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B059,DC015_DPA_CRIMINAL_PENALTY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B059_DC015_DPA_CRIMINAL_PENALTY.png,DPA ≠ CONVICTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B059,DC016_DPA_COMPLIANCE_MONITOR.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B059_DC016_DPA_COMPLIANCE_MONITOR.png,DPA ≠ CONVICTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
B059,DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,TIGHT_AUTHENTIC_EXCERPT_CROP,12B_SOURCE_ASSETS/R6_PREP/R6P_B059_DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png,DPA ≠ CONVICTION,Exact short passage/evidence only; remove surrounding body text; preserve authentic pixels; no AI redraw.,SPEC_READY_NOT_RENDERED
