event_id,date,case_name,docket_number,court_or_agency,event_type,party,description,outcome,source_id,appeal_status,current_status,notes
E011,2019-08-16,2019 harassment campaign,,,POLICE_INVESTIGATION,Natick Police Department,Steiners report the activity; NPD investigation begins.,Operation starts to unravel.,S009,,ESTABLISHED,
E012,2019-08-22,2019 harassment campaign,,,INTERNAL_INVESTIGATION,eBay,eBay begins internal investigation after contact from Natick police.,Company legal/internal inquiry starts.,S009,,ESTABLISHED,
E013,2019-08-23,2019 harassment campaign,,,COVERUP_COMMUNICATION,Jim Baugh / Steve Wymer,Baugh texts Wymer that his team 'ran an op' in Boston while assuring him no crime was committed; security-team members also obstruct investigations.,Cover-up/obstruction becomes part of federal case.,S009;S001,,ESTABLISHED,
E014,2019-08-30 to 2019-09,Corporate response,,,EMPLOYMENT_ACTION,eBay,"eBay places Baugh, Popp and Harville on leave and later terminates them, Gilbert and Stockwell; Zea's contract is terminated. Wymer is terminated for cause; board requests Wenig resignation in September.",Leadership/security personnel changes.,S009,,ESTABLISHED,
E015,2020-06-15 to 2020-07-07,Federal criminal prosecutions,,,CHARGES,U.S. Attorney's Office,Federal prosecutors charge members of the former eBay security team; Cooke becomes the seventh charged participant.,Seven-person criminal case established.,S004;S008,,SUPERSEDED_BY_GUILTY_PLEAS,
E016,2020-10 to 2022-05,Federal criminal prosecutions,,,GUILTY_PLEAS,Seven former eBay employees/contractors,"Cooke, Gilbert, Popp, Stockwell, Zea, Baugh and Harville plead guilty in the criminal cases.",All seven prosecuted participants ultimately plead guilty.,S004;S005;S006;S007;S008,,FINAL,
E017,2021-07-21,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181,U.S. District Court — District of Massachusetts,COMPLAINT_FILED,Ina Steiner / David Steiner / Steiner Associates,"Civil lawsuit filed against eBay, security participants, executives and PFC.",Civil litigation begins.,S010;S011,,SETTLED,
E018,2022-09-29,Federal criminal prosecutions,,,SENTENCING,Jim Baugh / David Harville,Baugh receives 57 months imprisonment; Harville 24 months.,Senior security leaders sentenced to prison.,S005,,FINAL,
E019,2022-10-11 to 2022-11-03,Federal criminal prosecutions,,,SENTENCING,Popp / Stockwell / Zea,"Additional participants receive prison, probation and home-confinement sentences.",Further sentencing completed.,S006;S007,,FINAL,
E020,2024-01-11,United States v. eBay Inc.,1:24-cr-10003,U.S. District Court — District of Massachusetts,DPA_AND_INFORMATION,eBay Inc.,"Six-count criminal Information filed under a three-year deferred prosecution agreement; eBay admits detailed facts, agrees to $3M penalty and independent compliance monitor.",Corporate criminal matter deferred subject to DPA obligations.,S001;S002;S003;S012,,DPA_ACTIVE_AS_OF_RESEARCH_DATE,
E021,2024-07-18,Federal criminal prosecutions,,,FINAL_SENTENCING,Brian Gilbert,Final individual defendant is sentenced; DOJ confirms all seven participants pleaded guilty.,Individual criminal sentencings complete.,S004,,FINAL,
E022,2025-08-12,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181-PBS,U.S. District Court — District of Massachusetts,SUMMARY_JUDGMENT_ORDER,eBay / Executive Defendants / PFC,Court grants some and denies other summary-judgment motions; significant claims against eBay and executives remain triable; PFC wins summary judgment.,Case proceeds toward trial with narrowed claims.,S009,,SUPERSEDED_BY_SETTLEMENT,
E023,2026-02-25,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181,U.S. District Court — District of Massachusetts,SETTLEMENT_IN_PRINCIPLE,Civil parties,Parties report settlement shortly before trial; case conditionally dismissed while settlement is to be consummated.,Trial avoided temporarily; terms undisclosed.,S015;S019,,FAILED_TO_FINALIZE,
E024,2026-06-12 to 2026-06-17,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181,U.S. District Court — District of Massachusetts,CASE_REOPENED,Steiners / eBay / executives,"Initial settlement fails to finalize; case is reopened and new January 4, 2027 trial date is set.",Litigation resumes.,S016,,SUPERSEDED_BY_FINAL_SETTLEMENT,
E025,2026-07-27,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181,,FINAL_SETTLEMENT_ANNOUNCED,Steiners / eBay / Wenig / Jones / Wymer,Plaintiffs' counsel announces finalized $55.7M settlement package: $48.7M compensation plus $7M charitable commitments.,Civil litigation finally resolved.,S014;S017;S018,,FINAL,
E026,2026-07-28,Steiner et al. v. eBay Inc. et al.,1:21-cv-11181,,COMPANY_STATEMENT,eBay Inc.,"eBay publicly confirms agreement, apologizes, condemns guilty former employees and acknowledges unprofessional executive communications.",Public corporate statement required by settlement published.,S013,,FINAL,
