beat_id,section,start,spoken_end,visual_end,duration_sec,route,canonical_asset,source,origin,gfx_id,motion,transition
B011,S02,74.68,82.1,82.92,8.24,GENERATED_R7,B011.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160844_1b465b06-39de-4fcc-a467-94d3f3dfcba7.png,R7_BATCH15,,PUSH_1PCT,HARD_CUT
B012,S02,82.92,89.48,90.12,7.2,GENERATED_R7,B012.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163255_9c06166a-aa30-452b-a813-7fba30ee5f1d.png,R7_BATCH35,,STATIC,HARD_CUT
B013,S02,90.12,99.72,100.54,10.42,GENERATED_R7,B013.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160850_d1901893-3d47-44f7-bf0e-08013aebbabd.png,R7_BATCH15,,PUSH_1PCT,HARD_CUT
B014,S02,100.54,110.02,110.44,9.9,GENERATED_R7,B014.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163256_9379b0ad-2db2-4626-b311-0e16461eefc0.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B015,S02,110.44,119.26,119.92,9.48,GENERATED_R7,B015.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163252_351ff9c9-c5dd-4fbe-8758-7db971af0064.png,R7_BATCH35,,STATIC,HARD_CUT
B016,S02,119.92,130.26,131.06,11.14,GENERATED_R7,B016.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160851_b371088b-40c9-4ac0-bb6e-3e6af96dfa24.png,R7_BATCH15,,PUSH_1PCT,HARD_CUT
B017,S03,131.06,143.46,144.14,13.08,GENERATED_R7,B017.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163255_cdec4f7f-6260-4fea-a647-af611279f6cd.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B018,S03,144.14,146.92,147.6,3.46,EDITOR_BUILD,B018_EDITOR.png,DC001_CRUSH_THIS_LADY.png,DETERMINISTIC_SOURCE_EDITOR,,STATIC,HARD_CUT
B019,S03,147.6,152.74,153.58,5.98,GENERATED_R7,B019.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160855_7cc5753b-6365-4fd2-94ce-ecef1d439c06.png,R7_BATCH15,,PUSH_1PCT,HARD_CUT
B020,S03,153.58,159.86,160.68,7.1,GENERATED_R7,B020.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160855_22fd65ec-1846-4ea2-a8c2-363c84347863.png,R7_BATCH15,,PUSH_1PCT,HARD_CUT
B021,S03,160.68,168.06,168.74,8.06,GENERATED_R7,B021.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_160856_d91b79fc-ba49-45be-91b3-109435e3e68b.png,R7_BATCH15,,STATIC,HARD_CUT
B022,S03,168.74,179.68,180.26,11.52,GENERATED_R7,B022.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163254_1177555e-83a7-4418-908e-523618fe282a.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B023,S03,180.26,189.8,190.56,10.3,FINAL_GFX,GFX-02_executive_message_escalating_language_timeline.png,GFX_ARCHIVE,G14-002,G14-002,STATIC,HARD_CUT
B024,S03,190.56,194.22,194.95,4.39,GENERATED_R7,B024.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_32d1ee9b-6f54-4b52-84eb-ebc019cf9147.png,R7_BATCH35,,STATIC,HARD_CUT
B025,S03,194.95,204.2,205.24,10.29,GENERATED_R7,B025.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_392fe112-7deb-4edb-81ee-7f4033d01872.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B026,S03,205.24,216.12,216.74,11.5,GENERATED_R7,B026.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_4216b54a-2182-494b-8a82-72a03187011e.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B027,S03,216.74,218.3,219.2,2.46,GENERATED_R7,B027.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163302_0637eab2-92dc-40ef-b576-ec7e4ee0c554.png,R7_BATCH35,,STATIC,HARD_CUT
B028,S04,219.2,226.14,227.16,7.96,GENERATED_R7,B028.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163303_5469d2fd-e242-495f-8210-5b4f1d34efa1.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B029,S04,227.16,241.82,242.56,15.4,GENERATED_R7,B029.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_80ba2c3c-889d-45c5-885a-72e9a7ff5633.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B030,S04,242.56,252.48,253.44,10.88,GENERATED_R7,B030.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_516e824a-6482-4b2e-9728-26448b20d8f5.png,R7_BATCH35,,STATIC,HARD_CUT
B031,S04,253.44,262.82,263.74,10.3,FINAL_GFX,GFX-03_from_criticism_to_operation.png,GFX_ARCHIVE,G14-003,G14-003,STATIC,HARD_CUT
B032,S04,263.74,273.04,273.86,10.12,GENERATED_R7,B032.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_2a38d833-3eea-48d4-9ba3-2858f8e8b7b0.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B033,S04,273.86,283.08,284.18,10.32,GENERATED_R7,B033.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163309_4190fc34-658e-4696-b14d-95e44c8e2eeb.png,R7_BATCH35,,STATIC,HARD_CUT
B034,S05,284.18,293.2,294.22,10.04,GENERATED_R5_PASS,B034.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121022_fb1de30e-fde2-479e-8a3b-9354a257ecec.png,R5_TEST10_PASS,,PUSH_1PCT,HARD_CUT
B035,S05,294.22,300.92,301.78,7.56,GENERATED_R7,B035.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163308_0165ec28-0d54-49ed-a638-699e9e2d665a.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B036,S05,301.78,308.42,309.4,7.62,GENERATED_R7,B036.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163315_34e432e2-06b6-4dd1-88eb-1ab384546115.png,R7_BATCH35,,STATIC,HARD_CUT
B037,S05,309.4,318.82,319.88,10.48,GENERATED_R7,B037.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_644eed79-ff2b-484f-b5b8-8429819a85df.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B038,S05,319.88,328.14,328.94,9.06,GENERATED_R7,B038.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_fe625d90-ff3e-4e5c-915a-014b7b12fec3.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B039,S05,328.94,337.48,338.34,9.4,GENERATED_R7,B039.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163314_b7fb7d04-2d03-457d-909f-7c10b008ceda.png,R7_BATCH35,,STATIC,HARD_CUT
B040,S05,338.34,349.32,350.38,12.04,GENERATED_R7,B040.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163315_fa98f360-1edc-4ed4-830c-15aeee772f67.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B041,S05,350.38,355.8,356.86,6.48,FINAL_GFX,GFX-04_attempted_gps_installation_investigation.png,GFX_ARCHIVE,G14-004,G14-004,STATIC,HARD_CUT
B042,S06,356.86,366.06,366.98,10.12,GENERATED_R7,B042.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193511_779e73aa-4dec-4473-a351-9d232d0eab62.png,R7_FINAL61,,STATIC,HARD_CUT
B043,S06,366.98,374.3,375.48,8.5,GENERATED_R7,B043.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163323_9ad09fdd-0d59-4fe6-98fb-98724dc27162.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B044,S06,375.48,384.24,385.28,9.8,GENERATED_R7,B044.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163324_955b02d0-6968-4fa7-a0ea-dd0a1ce7d262.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B045,S06,385.28,394.16,395.02,9.74,FINAL_GFX,GFX-05_discovery_to_corporate_cover_up.png,GFX_ARCHIVE,G14-005,G14-005,STATIC,HARD_CUT
B046,S06,395.02,410.06,410.9,15.88,GENERATED_R7,B046.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_7532e5f0-7085-40ad-9d2b-047f244c68a5.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B047,S06,410.9,415.8,416.54,5.64,GENERATED_R7,B047.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_6fd77607-00da-48bf-b2ec-2431040733f6.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B048,S07,416.54,422.36,423.48,6.94,EDITOR_BUILD,B048_EDITOR.png,DC011_SEVEN_GUILTY_DOJ.png;S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DETERMINISTIC_SOURCE_EDITOR,,STATIC,HARD_CUT
B049,S07,423.48,429.18,430.42,6.94,GENERATED_R7,B049.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163319_c8cabaef-decc-4081-9e10-d5a659693338.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B050,S07,430.42,439.6,440.92,10.5,GENERATED_R7,B050.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163329_f1b8501e-3789-476c-b341-5cd93925dec5.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B051,S07,440.92,449.88,451.34,10.42,GENERATED_R7,B051.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163330_1b55c241-977e-47b9-a45d-1d8af753726e.png,R7_BATCH35,,STATIC,HARD_CUT
B052,S07,451.34,460.88,462.06,10.72,FINAL_GFX,GFX-06_seven_guilty_pleas_individual_cases.png,GFX_ARCHIVE,G14-006,G14-006,STATIC,HARD_CUT
B053,S07,462.06,468.78,469.98,7.92,GENERATED_R7,B053.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163330_af6c61d9-f071-4df9-a413-d77eece38718.png,R7_BATCH35,,PUSH_1PCT,HARD_CUT
B054,S07,469.98,476,477.34,7.36,GENERATED_R7,B054.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_163331_dc03f0bc-71a1-41ec-9a8b-7c59c13352e6.png,R7_BATCH35,,STATIC,HARD_CUT
B055,S08,477.34,483.16,484.2,6.86,GENERATED_R7,B055.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193508_10e30d95-8566-4d6f-8010-5d68b8ac93ad.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B056,S08,484.2,495.5,496.9,12.7,GENERATED_R7,B056.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193515_2fab649a-dac5-40f8-b414-c9d49de15dcb.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B057,S08,496.9,499.3,500.3,3.4,GENERATED_R7,B057.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192411_e3a4e787-8946-4f33-bac2-193a4cb734f5.png,R7_FINAL61,,STATIC,HARD_CUT
B058,S08,500.3,503.88,505.02,4.72,GENERATED_R7,B058.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192411_4852ccf0-ea3c-4a79-9c8a-e569bd524b8b.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B059,S08,505.02,508.38,509.42,4.4,FINAL_GFX,GFX-07_dpa_conviction_corporate_resolution_flow.png,GFX_ARCHIVE,G14-007,G14-007,STATIC,HARD_CUT
B060,S08,509.42,524.08,525.14,15.72,GENERATED_R7,B060.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192410_88c78f5a-c517-4d4d-91e0-04506a80d0d9.png,R7_FINAL61,,STATIC,HARD_CUT
B061,S08,525.14,528.12,529.3,4.16,GENERATED_R7,B061.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192410_62a73b96-4294-4452-8d26-f3bb9635fa11.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B062,S08,529.3,536.78,537.6,8.3,GENERATED_R5_PASS,B062.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_121021_0826df70-9544-4e5e-88ad-acfb26c8654a.png,R5_TEST10_PASS,,PUSH_1PCT,HARD_CUT
B063,S08,537.6,544.24,545.64,8.04,GENERATED_R7,B063.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192410_d4d754ba-8dae-4886-98f1-1c3138140601.png,R7_FINAL61,,STATIC,HARD_CUT
B064,S08,545.64,555.98,556.82,11.18,GENERATED_R7,B064.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192416_aaec7f0c-3568-4da9-adea-fc9e23a1da3f.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B065,S08,556.82,565.86,566.96,10.14,GENERATED_R7,B065.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192415_034b618c-13e2-4a75-b204-671a446af88a.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B066,S08,566.96,569.3,570.64,3.68,GENERATED_R7,B066.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192415_f1653855-656f-4867-b362-c2dfbb46456a.png,R7_FINAL61,,STATIC,HARD_CUT
B067,S09,570.64,574.5,575.64,5,GENERATED_R7,B067.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192417_34b3630f-e9a9-417c-9b0c-4ed5c7eb1697.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B068,S09,575.64,580.4,581.04,5.4,GENERATED_R7,B068.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192414_df6a5803-d2da-4099-ab7f-28d635683333.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B069,S09,581.04,593.08,593.8,12.76,FINAL_GFX,GFX-08_civil_liability_ladder_infographic.png,GFX_ARCHIVE,G14-008,G14-008,STATIC,HARD_CUT
B070,S09,593.8,603.44,604.1,10.3,GENERATED_R7,B070.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192420_921dd17c-1ecc-4997-8968-08bde13faf32.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B071,S09,604.1,608.76,609.66,5.56,GENERATED_R7,B071.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192420_463d8017-4aec-43f0-aa1e-4958fb6dd853.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B072,S09,609.66,619.44,620.24,10.58,GENERATED_R7,B072.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192420_90641b3c-faa8-4cff-b93b-ddca68528319.png,R7_FINAL61,,STATIC,HARD_CUT
B073,S09,620.24,633.06,634.08,13.84,GENERATED_R7,B073.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192421_e858fe73-6189-452c-a321-f33a0f1d574b.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B074,S09,634.08,650.94,652.28,18.2,GENERATED_R7,B074.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192420_f826a032-bfbf-4726-9c17-e853aadbd721.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B075,S09,652.28,663.82,664.56,12.28,GENERATED_R7,B075.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192421_ca9d11f8-29a6-4b31-9fd9-000242739645.png,R7_FINAL61,,STATIC,HARD_CUT
B076,S09,664.56,667.64,669,4.44,GENERATED_R7,B076.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192424_9e44a2af-4b99-4857-beaa-072bf1540593.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B077,S09,669,674.26,675.7,6.7,EDITOR_BUILD,B077_EDITOR.png,LIVE_DEVIN_WENIG_COMMONS.jpg;S024_WENDY_JONES_EBAY_BIO_REFERENCE.pdf;S025_STEVE_WYMER_EBAY_PROFILE_REFERENCE.html,DETERMINISTIC_SOURCE_EDITOR,,PUSH_1PCT,HARD_CUT
B078,S09,675.7,691.4,692.44,16.74,GENERATED_R7,B078.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193515_bdf5b5ca-fec5-4bbb-9449-9d8ed70dac8b.png,R7_FINAL61,,STATIC,HARD_CUT
B079,S09,692.44,702.28,703.64,11.2,GENERATED_R7,B079.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192425_ef4e29b8-8f5e-40f0-9bfc-e65c5fb7ec3b.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B080,S09,703.64,709,710.38,6.74,GENERATED_R7,B080.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192425_06200896-82f1-4795-9295-3aea0c12e766.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B081,S10,710.38,718.56,718.56,8.18,GENERATED_R7,B081.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193514_71bc39f8-4179-4503-87ba-18212ff29f53.png,R7_FINAL61,,STATIC,HARD_CUT
B082,S10,718.56,723.48,724.22,5.66,GENERATED_R7,B082.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193514_7034fc14-ffc7-4edf-872b-018bfee5d5a8.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B083,S10,724.22,733.82,734.86,10.64,FINAL_GFX,GFX-09_failed_deal_vs_final_settlement.png,GFX_ARCHIVE,G14-009,G14-009,STATIC,HARD_CUT
B084,S10,734.86,743.18,743.96,9.1,GENERATED_R7,B084.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193514_a55ade94-0aa5-4942-a781-4885a27a282f.png,R7_FINAL61,,STATIC,HARD_CUT
B085,S10,743.96,752.34,752.94,8.98,GENERATED_R7,B085.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193518_0889319f-3174-4fbb-80f0-5b4fc3c65cb3.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B086,S10,752.94,757,757.98,5.04,GENERATED_R7,B086.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193519_eed2e911-1c33-4526-be31-41ad3b159cb0.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B087,S11,757.98,761.36,762.08,4.1,GENERATED_R7,B087.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193519_14ed844d-d962-4ce5-ad30-534009002be9.png,R7_FINAL61,,STATIC,HARD_CUT
B088,S11,762.08,766.94,766.94,4.86,FINAL_GFX,GFX-10_the_55.7m_investigation_breakdown.png,GFX_ARCHIVE,G14-010,G14-010,STATIC,HARD_CUT
B089,S11,766.94,772.52,773.22,6.28,GENERATED_R7,B089.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193518_6022bad0-2144-40d7-bb7c-a9ced6b337a4.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B090,S11,773.22,777.68,778.64,5.42,GENERATED_R7,B090.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193519_bfd78b39-dbfe-4dc0-ad90-a16634950462.png,R7_FINAL61,,STATIC,HARD_CUT
B091,S11,778.64,784,784.68,6.04,GENERATED_R7,B091.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193523_1b199185-481e-44a2-b8a8-23dc3a73ff73.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B092,S11,784.68,787.64,788.54,3.86,GENERATED_R7,B092.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193524_b37d8a6c-7c58-47fd-bbcc-9c365dd2d1d3.png,R7_FINAL61,,STATIC,HARD_CUT
B093,S11,788.54,794.66,794.66,6.12,GENERATED_R7,B093.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193525_9589af67-a89d-446f-91a1-f7b6591ab877.png,R7_FINAL61,,STATIC,HARD_CUT
B094,S11,794.66,796.18,797.04,2.38,GENERATED_R7,B094.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193523_447e2270-a3d2-4bec-ace6-f347e3c9a05c.png,R7_FINAL61,,STATIC,HARD_CUT
B095,S11,797.04,801.26,801.74,4.7,GENERATED_R7,B095.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193524_104b88e4-8487-4266-b0c1-1cbabe65f637.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B096,S11,801.74,812.02,812.78,11.04,GENERATED_R7,B096.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193524_6da9923f-126d-498e-9e5b-d16ae54a3a39.png,R7_FINAL61,,STATIC,HARD_CUT
