beat_id,section,factual_source_ids,physical_assets,primary_asset,production_route,source_role,source_integrity_rule,all_physical_assets_exist,missing_assets
B011,S02,S009,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B012,S02,S009,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B013,S02,S009,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B014,S02,S009,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B015,S02,S009,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B016,S02,S009,DC018_CIVIL_COMPLAINT_COVER.png;EBAY_HQ_2018_CC_BY_SA.jpg;S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B017,S03,S009,DC001_CRUSH_THIS_LADY.png;LIVE_DEVIN_WENIG_COMMONS.jpg,DC001_CRUSH_THIS_LADY.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B018,S03,S009,DC001_CRUSH_THIS_LADY.png,DC001_CRUSH_THIS_LADY.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B019,S03,S009,DC003_TAKE_HER_DOWN.png,DC003_TAKE_HER_DOWN.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B020,S03,S009,DC004_NOW_IS_THE_TIME.png,DC004_NOW_IS_THE_TIME.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B021,S03,S009,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B022,S03,S009,DC008_WENIG_NO_DIRECT_BAUGH.png;LIVE_DEVIN_WENIG_COMMONS.jpg,DC008_WENIG_NO_DIRECT_BAUGH.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B023,S03,S009,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B024,S03,S009,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg,OFFICE_INTERIOR_CC0.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B025,S03,S009,DC002_OFF_THE_RADAR.png,DC002_OFF_THE_RADAR.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B026,S03,S009,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B027,S03,S009,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg,OFFICE_INTERIOR_CC0.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B028,S04,S009,NATICK_CENTER_2020_CC_BY_SA.jpg;MASSACHUSETTS_FENCE_CC0.jpg;DC005_FIDOMASTER_JUNE8.png,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B029,S04,S009,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg,DC005_FIDOMASTER_JUNE8.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B030,S04,S009,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;OFFICE_INTERIOR_CC0.jpg,DC005_FIDOMASTER_JUNE8.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B031,S04,S009,DC001_CRUSH_THIS_LADY.png;DC003_TAKE_HER_DOWN.png;DC005_FIDOMASTER_JUNE8.png,DC001_CRUSH_THIS_LADY.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B032,S04,S009;S001;S002,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B033,S04,S009;S001,PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png;OFFICE_INTERIOR_CC0.jpg,PARCEL_CC0.webp,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B034,S05,S001;S009;S012,DC022_THREATENING_MESSAGES.png;DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;LARVAE_CC0.jpg,DC022_THREATENING_MESSAGES.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B035,S05,S001;S009,DC021_CRAIGSLIST_HARASSMENT.png,DC021_CRAIGSLIST_HARASSMENT.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B036,S05,S001;S009,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B037,S05,S009;S001,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;PARCEL_CC0.webp,OFFICE_INTERIOR_CC0.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B038,S05,S009,NATICK_CENTER_2020_CC_BY_SA.jpg;GENERIC_GPS_TRACKER_CC0.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B039,S05,S009;S001;S005,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,DC006_DELIVERIES_GPS_ATTEMPT.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B040,S05,S009,DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,DC007_GPS_GARAGE_ATTEMPT.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B041,S05,S009,NATICK_CENTER_2020_CC_BY_SA.jpg;GENERIC_GPS_TRACKER_CC0.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B042,S06,S009;S001,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B043,S06,S001;S002;S003,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B044,S06,S001;S002;S003,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B045,S06,S001;S002;S003,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B046,S06,S009;S012,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B047,S06,S001;S004,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B048,S07,S004;S005;S006;S007;S008,DC011_SEVEN_GUILTY_DOJ.png;S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B049,S07,S004;S005;S006;S007;S008,DC011_SEVEN_GUILTY_DOJ.png;S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B050,S07,S005,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B051,S07,S005;S006;S007;S008;S004,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B052,S07,S004,DC011_SEVEN_GUILTY_DOJ.png;DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC011_SEVEN_GUILTY_DOJ.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B053,S07,S004,DC011_SEVEN_GUILTY_DOJ.png;DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC011_SEVEN_GUILTY_DOJ.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B054,S07,S001;S003,DC011_SEVEN_GUILTY_DOJ.png;DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC011_SEVEN_GUILTY_DOJ.png,SOURCE_STYLED_GENERATION,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B055,S08,S003;S001,S003_EBAY_CRIMINAL_INFORMATION.pdf;EBAY_HQ_2018_CC_BY_SA.jpg,S003_EBAY_CRIMINAL_INFORMATION.pdf,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B056,S08,S003,S003_EBAY_CRIMINAL_INFORMATION.pdf;EBAY_HQ_2018_CC_BY_SA.jpg,S003_EBAY_CRIMINAL_INFORMATION.pdf,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B057,S08,S002;S001,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B058,S08,S002;S001,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B059,S08,S002,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B060,S08,S002,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B061,S08,S001;S002,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B062,S08,S001;S002;S012,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B063,S08,S001;S002;S012,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B064,S08,S001;S002;S012,DC015_DPA_CRIMINAL_PENALTY.png;DC016_DPA_COMPLIANCE_MONITOR.png;DC017_DPA_ACCEPTANCE_OF_RESPONSIBILITY.png;EBAY_HQ_2018_CC_BY_SA.jpg,DC015_DPA_CRIMINAL_PENALTY.png,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B065,S08,S009,EBAY_HQ_2018_CC_BY_SA.jpg;LIVE_MOAKLEY_COURTHOUSE_CC0.jpg,EBAY_HQ_2018_CC_BY_SA.jpg,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B066,S08,S009,LIVE_MOAKLEY_COURTHOUSE_CC0.jpg,LIVE_MOAKLEY_COURTHOUSE_CC0.jpg,HYBRID_SOURCE_EDITORIAL,ALL_LISTED_SOURCES_VISIBLE_OR_SEMANTIC_IN_FINAL_FRAME,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
B067,S09,S010;S011,DC018_CIVIL_COMPLAINT_COVER.png;LIVE_MOAKLEY_COURTHOUSE_CC0.jpg,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_NATIVE_EDITORIAL,AUTHENTIC_SOURCE_IS_FINAL_FRAME_CORE,No separate later material pass. Source package is bound before generation/build; authentic text/doc pixels must not be AI-redrawn.,YES,
