beat_id,source_count,direct_image_refs,raw_doc_refs,style_ref_media_id,has_subtitle_rule,has_attach_rule,has_forbidden_failures,qa_status,issues
B035,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B036,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B037,3,3,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B038,2,2,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B039,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B040,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B041,2,2,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B042,3,3,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B043,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B044,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B045,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B046,3,3,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B047,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B048,2,1,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B049,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B050,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B051,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B052,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B053,3,3,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B054,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B055,2,1,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B056,2,1,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B057,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B058,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B059,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B060,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B061,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B062,4,4,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B063,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B064,4,4,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B065,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B066,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B067,2,2,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B068,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B069,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B070,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B071,2,2,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B072,3,3,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B073,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B074,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B075,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B076,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B077,3,1,2,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B078,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B079,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B080,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B081,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B082,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B083,1,1,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B084,1,1,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B085,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B086,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B087,3,2,1,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B088,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B089,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B090,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B091,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B092,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B093,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B094,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B095,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B096,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B097,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B098,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B099,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B100,3,2,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B101,3,2,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B102,2,1,1,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B103,2,1,1,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B104,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B105,2,2,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B106,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B107,3,3,0,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B108,1,1,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B109,3,3,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B110,2,1,1,aeaf1ee7-3e3d-42ba-b137-7eaa2218685e,YES,YES,YES,PASS,
B111,2,1,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B112,3,3,0,3f30e1ef-3a0e-4158-914f-70bb25fa30a4,YES,YES,YES,PASS,
B113,2,1,1,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B114,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
B115,1,1,0,dd9e6d29-9423-461b-8888-ca89b476cb76,YES,YES,YES,PASS,
