beat_id,section,start,end,spoken_text,narrative_job,viewer_takeaway,audit_status,changes,old_primary_asset,new_primary_asset,production_route,template_id,frame_type,exact_text,legal_guardrail,source_missing,audit_note
B014,S02,100.540,110.020,"By spring twenty nineteen, a later federal court record shows that EcommerceBytes had become an increasing source of frustration for people inside eBay's leadership.",BACKGROUND_AND_SCALE,SPRING 2019,REDIRECT,SOURCE_CHANGE,DC018_CIVIL_COMPLAINT_COVER.png,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,T03,document,SPRING 2019,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B015,S02,110.440,119.260,The Steiners were not business rivals trying to take eBay's customers. They were publishers criticizing the company and giving readers a place to criticize it too.,BACKGROUND_AND_SCALE,"CRITICISM, NOT COMPETITION",REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,EBAY_HQ_2018_CC_BY_SA.jpg,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,T01,evidence,"CRITICISM, NOT COMPETITION",,,"Narration, final-frame content, source binding and route re-aligned in R4."
B016,S02,119.920,130.260,Companies face criticism every day. The real question is how criticism from two publishers became something people inside eBay's security organization were expected to solve.,BACKGROUND_AND_SCALE,HOW DID CRITICISM BECOME SECURITY?,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,EBAY_HQ_2018_CC_BY_SA.jpg,DC018_CIVIL_COMPLAINT_COVER.png,SOURCE_STYLED_GENERATION,T01,evidence,HOW DID CRITICISM BECOME SECURITY?,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B017,S03,131.060,143.460,"The internal messages are where the story changes. In April twenty nineteen, Steve Wymer — eBay's communications chief — sent then-C-E-O Devin Wenig a message about an Ina Steiner article.",INTERNAL_EVIDENCE,THE INTERNAL MESSAGES,REDIRECT,SOURCE_CHANGE,DC001_CRUSH_THIS_LADY.png,DC001_CRUSH_THIS_LADY.png,SOURCE_STYLED_GENERATION,T03,document,THE INTERNAL MESSAGES,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B018,S03,144.140,146.920,His words were: “We are going to crush this lady.”,INTERNAL_EVIDENCE,“WE ARE GOING TO CRUSH THIS LADY.”,REDIRECT,TEMPLATE_REDIRECT,DC001_CRUSH_THIS_LADY.png,DC001_CRUSH_THIS_LADY.png,SOURCE_NATIVE_EDITORIAL,T01,evidence,“WE ARE GOING TO CRUSH THIS LADY.”,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B019,S03,147.600,152.740,"Weeks later, according to the federal court record, Wenig told Wymer to “take her down.”",INTERNAL_EVIDENCE,“TAKE HER DOWN.”,REDIRECT,SOURCE_CHANGE,DC003_TAKE_HER_DOWN.png,DC003_TAKE_HER_DOWN.png,SOURCE_NATIVE_EDITORIAL,T03,document,“TAKE HER DOWN.”,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B020,S03,153.580,159.860,"And on August first, another message from Wenig said that if they were ever going to act, “now is the time.”",INTERNAL_EVIDENCE,“NOW IS THE TIME.”,REDIRECT,SOURCE_CHANGE,DC004_NOW_IS_THE_TIME.png,DC004_NOW_IS_THE_TIME.png,SOURCE_NATIVE_EDITORIAL,T03,document,“NOW IS THE TIME.”,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B021,S03,160.680,168.060,"Those words are dramatic. But they are not, by themselves, proof that Wenig or any other executive ordered the crimes that followed.",INTERNAL_EVIDENCE,WORDS ≠ PROOF OF AN ORDER,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE;TEXT_CHANGE,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,HYBRID_SOURCE_EDITORIAL,T02,dossier,WORDS ≠ PROOF OF AN ORDER,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B022,S03,168.740,179.680,The later court record says Jim Baugh — the head of eBay security — testified that Wenig never communicated directly with him about the Steiners. Wenig's relevant communications went through Wymer.,LEGAL_OR_CAUSAL_CLARIFIER,NO DIRECT COMMUNICATION WITH BAUGH,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC008_WENIG_NO_DIRECT_BAUGH.png,DC008_WENIG_NO_DIRECT_BAUGH.png,SOURCE_NATIVE_EDITORIAL,T03,document,NO DIRECT COMMUNICATION WITH BAUGH,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B023,S03,180.260,189.800,"Still, inside the organization, the language was escalating. Wymer's messages to Baugh became increasingly ag gressive, including the phrase “Whatever it takes.”",INTERNAL_EVIDENCE,“WHATEVER IT TAKES.”,PASS,,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,SOURCE_STYLED_GENERATION,T03,document,“WHATEVER IT TAKES.”,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B024,S03,190.560,194.220,Another executive relationship was pulling the issue toward security too.,LEGAL_OR_CAUSAL_CLARIFIER,THE ISSUE MOVED TOWARD SECURITY,REDIRECT,SOURCE_CHANGE,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,OFFICE_INTERIOR_CC0.jpg,SOURCE_STYLED_GENERATION,T02,dossier,THE ISSUE MOVED TOWARD SECURITY,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B025,S03,194.950,204.200,"Wendy Jones — Baugh's direct supervisor — told him, according to the court record, to handle the issue “off the radar” and said she did not want details.",INTERNAL_EVIDENCE,“OFF THE RADAR.”,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC002_OFF_THE_RADAR.png,DC002_OFF_THE_RADAR.png,SOURCE_NATIVE_EDITORIAL,T03,document,“OFF THE RADAR.”,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B026,S03,205.240,216.120,"That is not the same as a finding that Jones knew what the security team would later do. But by this point, criticism from two publishers was no longer being discussed only as a communications problem.",LEGAL_OR_CAUSAL_CLARIFIER,LEGAL LIMITATION,REDIRECT,ROUTE_CHANGE;TEXT_CHANGE,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,HYBRID_SOURCE_EDITORIAL,T02,dossier,LEGAL LIMITATION,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B027,S03,216.740,218.300,It had entered the security chain.,LEGAL_OR_CAUSAL_CLARIFIER,INTO THE SECURITY CHAIN,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,OFFICE_INTERIOR_CC0.jpg,SOURCE_STYLED_GENERATION,T01,evidence,INTO THE SECURITY CHAIN,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B028,S04,219.200,226.140,"Before the most notorious phase of the campaign, members of Baugh's security operation had already traveled to Massachusetts.",ESCALATION_TO_OPERATION,MASSACHUSETTS — BEFORE AUGUST 2019,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,NATICK_CENTER_2020_CC_BY_SA.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,T02,dossier,MASSACHUSETTS — BEFORE AUGUST 2019,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B029,S04,227.160,241.820,"During an early trip, security employee Brian Gilbert surveilled the Steiners and spray-painted “FidoMaster” on their fence — a username used by a commenter on EcommerceBytes whom the security team believed was connected to the Steiners.",ESCALATION_TO_OPERATION,FIDOMASTER,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,NATICK_CENTER_2020_CC_BY_SA.jpg,DC005_FIDOMASTER_JUNE8.png,SOURCE_STYLED_GENERATION,T01,evidence,FIDOMASTER,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B030,S04,242.560,252.480,Baugh later described the trip to Wymer as a “tap on the shoulder.” That moment matters because it shows how the problem was being translated inside the company.,ESCALATION_TO_OPERATION,“A TAP ON THE SHOULDER.”,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC005_FIDOMASTER_JUNE8.png,DC005_FIDOMASTER_JUNE8.png,SOURCE_STYLED_GENERATION,T02,dossier,“A TAP ON THE SHOULDER.”,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B031,S04,253.440,262.820,"At the top, there was anger about criticism. In the middle, increasingly forceful messages. At the security level, those messages were becoming action.",ESCALATION_TO_OPERATION,ANGER → MESSAGES → ACTION,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC005_FIDOMASTER_JUNE8.png,DC001_CRUSH_THIS_LADY.png,SOURCE_STYLED_GENERATION,T03,document,ANGER → MESSAGES → ACTION,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B032,S04,263.740,273.040,"Then the process became more organized. On August sixth, Baugh held meetings with security-team members to plan an operation against the Steiners.",ESCALATION_TO_OPERATION,"AUGUST 6, 2019 — OPERATION PLANNING",REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC005_FIDOMASTER_JUNE8.png,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,SOURCE_STYLED_GENERATION,T02,dossier,"AUGUST 6, 2019 — OPERATION PLANNING",,,"Narration, final-frame content, source binding and route re-aligned in R4."
B033,S04,273.860,283.080,"The plan included unwanted deliveries and online harassment. The next day, Baugh met with Wymer. And then the operation accelerated.",ESCALATION_TO_OPERATION,THE OPERATION ACCELERATED,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC005_FIDOMASTER_JUNE8.png,PARCEL_CC0.webp,SOURCE_STYLED_GENERATION,T02,dossier,THE OPERATION ACCELERATED,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B034,S05,284.180,293.200,The Steiners began receiving threatening online messages and disturbing deliveries. The admitted record includes live insects and a bloody pig mask.,OPERATION_AND_SURVEILLANCE,THREATENING MESSAGES • LIVE INSECTS • PIG MASK,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DC022_THREATENING_MESSAGES.png,SOURCE_STYLED_GENERATION,T03,document,THREATENING MESSAGES • LIVE INSECTS • PIG MASK,Authentic evidence without horror/gore treatment.,,"Narration, final-frame content, source binding and route re-aligned in R4."
B035,S05,294.220,300.920,There were also Craigslist posts designed to send strangers toward the Steiners and other messages intended to frighten them.,OPERATION_AND_SURVEILLANCE,CRAIGSLIST POSTS,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DC021_CRAIGSLIST_HARASSMENT.png,SOURCE_STYLED_GENERATION,T03,document,CRAIGSLIST POSTS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B036,S05,301.780,308.420,The details are bizarre enough to make the story feel almost unreal. But the key point is that this was organized.,OPERATION_AND_SURVEILLANCE,"ORGANIZED, NOT RANDOM",REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,SOURCE_STYLED_GENERATION,T01,evidence,"ORGANIZED, NOT RANDOM",,,"Narration, final-frame content, source binding and route re-aligned in R4."
B037,S05,309.400,318.820,"People were planning activities, traveling, communicating, and using corporate-security personnel and resources around a campaign directed at two private citizens.",OPERATION_AND_SURVEILLANCE,PLANNING • TRAVEL • CORPORATE SECURITY,REDIRECT,SOURCE_CHANGE;TEXT_CHANGE,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,OFFICE_INTERIOR_CC0.jpg,SOURCE_STYLED_GENERATION,T06,timeline,PLANNING • TRAVEL • CORPORATE SECURITY,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B038,S05,319.880,328.140,"Then the line moved again. On August fifteenth, Baugh, David Harville and Veronica Zea traveled to the Steiners' area.",OPERATION_AND_SURVEILLANCE,"AUGUST 15, 2019",REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,T02,dossier,"AUGUST 15, 2019",,,"Narration, final-frame content, source binding and route re-aligned in R4."
B039,S05,328.940,337.480,"According to the federal court record, they attempted to install a G-P-S tracker on the Steiners' vehicle. They also surveilled and followed the couple.",OPERATION_AND_SURVEILLANCE,GPS TRACKER ATTEMPT,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DC006_DELIVERIES_GPS_ATTEMPT.png,SOURCE_STYLED_GENERATION,T03,document,GPS TRACKER ATTEMPT,Tracker attempted; installation not established.,,"Narration, final-frame content, source binding and route re-aligned in R4."
B040,S05,338.340,349.320,The tracker was not established as successfully installed. But the attempt changed the nature of the story. This was no longer just anonymous online harassment or disturbing deliveries.,OPERATION_AND_SURVEILLANCE,ATTEMPTED — NOT INSTALLED,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE;TEMPLATE_REDIRECT,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,DC007_GPS_GARAGE_ATTEMPT.png,HYBRID_SOURCE_EDITORIAL,T01,evidence,ATTEMPTED — NOT INSTALLED,Tracker attempted; installation not established.,,"Narration, final-frame content, source binding and route re-aligned in R4."
B041,S05,350.380,355.800,"It had become a physical surveillance operation. And the next day, the Steiners went to the police.",OPERATION_AND_SURVEILLANCE,PHYSICAL SURVEILLANCE,REDIRECT,SOURCE_CHANGE;TEXT_CHANGE,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,SOURCE_STYLED_GENERATION,T05,map_location,PHYSICAL SURVEILLANCE,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B042,S06,356.860,366.060,"Natick police began investigating on August sixteenth, twenty nineteen. That should have ended the operation. Instead, it created a second problem.",INVESTIGATION_AND_OBSTRUCTION,"AUGUST 16, 2019 — POLICE INVESTIGATION",REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,T06,timeline,"AUGUST 16, 2019 — POLICE INVESTIGATION",,,"Narration, final-frame content, source binding and route re-aligned in R4."
B043,S06,366.980,374.300,The first was what the security team had done. The second was what members of that team did once investigators started asking questions.,INVESTIGATION_AND_OBSTRUCTION,A SECOND PROBLEM,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,DC023_OBSTRUCTION_DELETION.png,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,T01,evidence,A SECOND PROBLEM,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B044,S06,375.480,384.240,"The record admitted by eBay and described by federal prosecutors includes false statements, deletion of digital evidence, and falsified records.",INVESTIGATION_AND_OBSTRUCTION,FALSE STATEMENTS • DELETED EVIDENCE • FALSIFIED RECORDS,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE;TEMPLATE_REDIRECT,DC023_OBSTRUCTION_DELETION.png,DC023_OBSTRUCTION_DELETION.png,HYBRID_SOURCE_EDITORIAL,T01,evidence,FALSE STATEMENTS • DELETED EVIDENCE • FALSIFIED RECORDS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B045,S06,385.280,394.160,"A security organization that existed to reduce risk had now created two kinds of risk: the operation itself, and the effort to conceal it.",INVESTIGATION_AND_OBSTRUCTION,OPERATION + CONCEALMENT,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,DC023_OBSTRUCTION_DELETION.png,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,T01,evidence,OPERATION + CONCEALMENT,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B046,S06,395.020,410.060,"eBay began its own internal investigation days later. By the end of August, several security employees had been placed on leave. Over time, key members of the operation were removed or terminated, and one contractor's relationship ended.",INVESTIGATION_AND_OBSTRUCTION,INTERNAL INVESTIGATION,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT,NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,T06,timeline,INTERNAL INVESTIGATION,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B047,S06,410.900,415.800,But internal discipline was only the beginning. Federal prosecutors were coming next.,INVESTIGATION_AND_OBSTRUCTION,FEDERAL PROSECUTORS,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,DC023_OBSTRUCTION_DELETION.png,DC023_OBSTRUCTION_DELETION.png,SOURCE_STYLED_GENERATION,T01,evidence,FEDERAL PROSECUTORS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B048,S07,416.540,422.360,"Beginning in twenty twenty, federal prosecutors brought criminal cases against people involved in the campaign.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,FEDERAL CASES BEGIN — 2020,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,SOURCE_STYLED_GENERATION,T01,evidence,FEDERAL CASES BEGIN — 2020,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B049,S07,423.480,429.180,"Eventually, all seven former eBay employees and contractors who were prosecuted pleaded guilty.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,SEVEN GUILTY PLEAS,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,HYBRID_SOURCE_EDITORIAL,T07,accountability,SEVEN GUILTY PLEAS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B050,S07,430.420,439.600,A guilty plea is not an allegation. It establishes criminal guilt without a trial. Jim Baugh received fifty-seven months in prison.,INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,JIM BAUGH — 57 MONTHS,REDIRECT,SOURCE_CHANGE,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,SOURCE_NATIVE_EDITORIAL,T07,accountability,JIM BAUGH — 57 MONTHS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B051,S07,440.920,449.880,"David Harville received twenty-four months. Other participants received combinations of prison, probation, home confinement, and financial penalties.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,DAVID HARVILLE — 24 MONTHS,REDIRECT,SOURCE_CHANGE,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC012_BAUGH_HARVILLE_SENTENCES_DOJ.png,SOURCE_NATIVE_EDITORIAL,T07,accountability,DAVID HARVILLE — 24 MONTHS,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B052,S07,451.340,460.880,"By twenty twenty-four, the individual criminal cases had produced a clear story of personal accountability. And from a distance, that can look like the ending.",INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,PERSONAL ACCOUNTABILITY,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,SOURCE_STYLED_GENERATION,T01,evidence,PERSONAL ACCOUNTABILITY,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B053,S07,462.060,468.780,eBay had removed key members of the security operation. The people who were federally prosecuted had pleaded guilty.,INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,ALL SEVEN PROSECUTED PLEADED GUILTY,REDIRECT,SOURCE_CHANGE;ROUTE_CHANGE;TEXT_CHANGE,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,HYBRID_SOURCE_EDITORIAL,T07,accountability,ALL SEVEN PROSECUTED PLEADED GUILTY,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B054,S07,469.980,476.000,But federal prosecutors eventually turned from the individuals inside the company to the company itself.,INDIVIDUAL_CRIMINAL_ACCOUNTABILITY,FROM INDIVIDUALS TO THE COMPANY,REDIRECT,SOURCE_CHANGE;TEMPLATE_REDIRECT;TEXT_CHANGE,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf,DC011_SEVEN_GUILTY_DOJ.png,SOURCE_STYLED_GENERATION,T01,evidence,FROM INDIVIDUALS TO THE COMPANY,,,"Narration, final-frame content, source binding and route re-aligned in R4."
B055,S08,477.340,483.160,"In January twenty twenty-four, prosecutors filed a six-count criminal Information against eBay.",CORPORATE_CRIMINAL_RESOLUTION,JANUARY 2024 — SIX-COUNT INFORMATION,REDIRECT,SOURCE_CHANGE;TEXT_CHANGE,DC015_DPA_CRIMINAL_PENALTY.png,S003_EBAY_CRIMINAL_INFORMATION.pdf,SOURCE_NATIVE_EDITORIAL,T03,document,JANUARY 2024 — SIX-COUNT INFORMATION,,,"Narration, final-frame content, source binding and route re-aligned in R4."
