beat_id,section,start,end,frame_type,template_id,template_variant,secondary_template_id,primary_live_asset,secondary_live_assets,factual_source_ids,claim_ids,needs_gfx,gfx_ids,subtitle_safe_zone,caption_collision_rule,short_ids,shorts_9x16_strategy,production_note
B012,S02,82.920,89.480,corporate/location,T05,CORPORATE_OR_LOCATION_ESTABLISHING,,EBAY_HQ_2018_CC_BY_SA.jpg,S003_EBAY_CRIMINAL_INFORMATION.pdf;DC018_CIVIL_COMPLAINT_COVER.png,S009,C001,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B013,S02,90.120,99.720,corporate/location,T05,CORPORATE_OR_LOCATION_ESTABLISHING,,EBAY_HQ_2018_CC_BY_SA.jpg,S003_EBAY_CRIMINAL_INFORMATION.pdf;DC018_CIVIL_COMPLAINT_COVER.png,S009,C001,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B014,S02,100.540,110.020,court-doc,T03,COURT_ORDER_OR_LEGAL_CLARIFIER,,DC018_CIVIL_COMPLAINT_COVER.png,S003_EBAY_CRIMINAL_INFORMATION.pdf;EBAY_HQ_2018_CC_BY_SA.jpg,S009,C003,YES,GFX-002,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,"Use the real crop or source document. Editor headline may summarize, but the document itself may not be fabricated or rewritten."
B015,S02,110.440,119.260,corporate/location,T05,CORPORATE_OR_LOCATION_ESTABLISHING,,EBAY_HQ_2018_CC_BY_SA.jpg,S003_EBAY_CRIMINAL_INFORMATION.pdf;DC018_CIVIL_COMPLAINT_COVER.png,S009,C001,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B016,S02,119.920,130.260,corporate/location,T05,CORPORATE_OR_LOCATION_ESTABLISHING,,EBAY_HQ_2018_CC_BY_SA.jpg,S003_EBAY_CRIMINAL_INFORMATION.pdf;DC018_CIVIL_COMPLAINT_COVER.png,S009,C003,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B017,S03,131.060,143.460,court-doc,T03,QUOTE_HIGHLIGHT,,DC001_CRUSH_THIS_LADY.png,,S009,C004,YES,GFX-002;GFX-003,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,"Use the real crop or source document. Editor headline may summarize, but the document itself may not be fabricated or rewritten."
B018,S03,144.140,146.920,court-doc,T03,QUOTE_HIGHLIGHT,,DC001_CRUSH_THIS_LADY.png,,S009,C004,YES,GFX-002;GFX-003,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,"Use the real crop or source document. Editor headline may summarize, but the document itself may not be fabricated or rewritten."
B019,S03,147.600,152.740,court-doc,T03,QUOTE_HIGHLIGHT,,DC003_TAKE_HER_DOWN.png,,S009,C005,YES,GFX-002;GFX-003,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,"Use the real crop or source document. Editor headline may summarize, but the document itself may not be fabricated or rewritten."
B020,S03,153.580,159.860,court-doc,T03,QUOTE_HIGHLIGHT,,DC004_NOW_IS_THE_TIME.png,,S009,C005,YES,GFX-002;GFX-003,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,"Use the real crop or source document. Editor headline may summarize, but the document itself may not be fabricated or rewritten."
B021,S03,160.680,168.060,dossier,T02,EXECUTIVE_CHAIN_DOSSIER,,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,OFFICE_INTERIOR_CC0.jpg,S009,C005;C022,YES,GFX-012,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH02,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use licensed real portrait when available; otherwise document-forward dossier. No generated likeness. State civil/criminal status precisely.
B022,S03,168.740,179.680,dossier,T02,EXECUTIVE_CHAIN_DOSSIER,,DC008_WENIG_NO_DIRECT_BAUGH.png,,S009,C022,YES,GFX-003;GFX-007,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use licensed real portrait when available; otherwise document-forward dossier. No generated likeness. State civil/criminal status precisely.
B023,S03,180.260,189.800,court-doc,T03,QUOTE_HIGHLIGHT,,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,OFFICE_INTERIOR_CC0.jpg,S009,C008,YES,GFX-003,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,"Use the real crop or source document. Editor headline may summarize, but the document itself may not be fabricated or rewritten."
B024,S03,190.560,194.220,dossier,T02,EXECUTIVE_CHAIN_DOSSIER,,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,OFFICE_INTERIOR_CC0.jpg,S009,C003,YES,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use licensed real portrait when available; otherwise document-forward dossier. No generated likeness. State civil/criminal status precisely.
B025,S03,194.950,204.200,dossier,T02,EXECUTIVE_CHAIN_DOSSIER,,DC002_OFF_THE_RADAR.png,,S009,C006,YES,GFX-003,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use licensed real portrait when available; otherwise document-forward dossier. No generated likeness. State civil/criminal status precisely.
B026,S03,205.240,216.120,dossier,T02,EXECUTIVE_CHAIN_DOSSIER,,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,OFFICE_INTERIOR_CC0.jpg,S009,C006,YES,GFX-012,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use licensed real portrait when available; otherwise document-forward dossier. No generated likeness. State civil/criminal status precisely.
B027,S03,216.740,218.300,dossier,T02,EXECUTIVE_CHAIN_DOSSIER,,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,OFFICE_INTERIOR_CC0.jpg,S009,C002;C003,YES,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use licensed real portrait when available; otherwise document-forward dossier. No generated likeness. State civil/criminal status precisely.
B028,S04,219.200,226.140,map,T05,GEOGRAPHY_CONTEXT,,NATICK_CENTER_2020_CC_BY_SA.jpg,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATURAL_EARTH_50M_US_STATES.zip,S009,C007,YES,GFX-004,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B029,S04,227.160,241.820,map,T05,GEOGRAPHY_CONTEXT,,NATICK_CENTER_2020_CC_BY_SA.jpg,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATURAL_EARTH_50M_US_STATES.zip,S009,C007,YES,GFX-004,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B030,S04,242.560,252.480,court-doc,T03,QUOTE_HIGHLIGHT,,DC005_FIDOMASTER_JUNE8.png,MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,S009,C007,YES,GFX-003,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,"Use the real crop or source document. Editor headline may summarize, but the document itself may not be fabricated or rewritten."
B031,S04,253.440,262.820,timeline,T06,OPERATION_OR_CASE_TIMELINE,,DC005_FIDOMASTER_JUNE8.png,MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,S009,C003;C008;C009,YES,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH03,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
B032,S04,263.740,273.040,timeline,T06,OPERATION_OR_CASE_TIMELINE,,DC005_FIDOMASTER_JUNE8.png,MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,S009;S001;S002,C009,YES,GFX-002,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
B033,S04,273.860,283.080,timeline,T06,OPERATION_OR_CASE_TIMELINE,,DC005_FIDOMASTER_JUNE8.png,MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,S009;S001,C009,YES,GFX-002,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
B034,S05,284.180,293.200,evidence,T01,AUTHENTIC_SHOCK_EVIDENCE,,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S001;S009;S012,C010,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Authentic/real context first; never let shock treatment become horror. Source label above subtitle-safe line.
B035,S05,294.220,300.920,evidence,T01,MESSAGE_OR_HARASSMENT_EVIDENCE,,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S001;S009,C011,NO,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Authentic/real context first; never let shock treatment become horror. Source label above subtitle-safe line.
B036,S05,301.780,308.420,timeline,T06,OPERATION_OR_CASE_TIMELINE,,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S001;S009,C010;C011,YES,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
B037,S05,309.400,318.820,timeline,T06,OPERATION_OR_CASE_TIMELINE,,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S009;S001,C009;C010;C011,YES,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
B038,S05,319.880,328.140,map,T05,OPERATION_GEOGRAPHY,T06,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S009,C012,YES,GFX-002;GFX-004,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B039,S05,328.940,337.480,map,T05,OPERATION_GEOGRAPHY,T06,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S009;S001;S005,C012,YES,GFX-004;GFX-014,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B040,S05,338.340,349.320,map,T05,OPERATION_GEOGRAPHY,T06,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S009,C012,YES,GFX-014,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B041,S05,350.380,355.800,map,T05,OPERATION_GEOGRAPHY,T06,DOJ_FBI_PIG_MASK_AND_BOOK.jpg,COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,S009,C013,YES,GFX-004,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,SH04,ALT_9x16_LAYOUT_FROM_SAME_ASSETS_KEEP_BOTTOM_22_PERCENT_CLEAR,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B042,S06,356.860,366.060,map,T05,OPERATION_GEOGRAPHY,T06,NATICK_CENTER_2020_CC_BY_SA.jpg,DC023_OBSTRUCTION_DELETION.png;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,S009;S001,C013,YES,GFX-002;GFX-004,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,Use real geography/location source. No victim address. Any GPS route is contextual only; attempted tracker must never appear successfully installed.
B043,S06,366.980,374.300,timeline,T06,OPERATION_OR_CASE_TIMELINE,,DC023_OBSTRUCTION_DELETION.png,NATICK_CENTER_2020_CC_BY_SA.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,S001;S002;S003,C014,YES,,BOTTOM_20_PERCENT_16x9_Y864_1080,NO_KEY_TEXT_FACE_EVIDENCE_OR_LEGAL_NOTE_BELOW_Y864,,REFRAME_OK_IF_KEY_CONTENT_STAYS_IN_UPPER_CENTER_SAFE,3–5 events maximum per frame; date spine and causal flow above subtitle-safe band. Do not cram the entire case into one screen.
