beat_id,section,start,end,spoken_text,factual_source_ids,claim_ids,live_asset_files,visual_status,live_visual_strategy,rights_status,gfx_fallback,generation_required,notes
B011,S02,74.680,82.100,"Ina and David Steiner ran EcommerceBytes, an independent publication covering online commerce since nineteen ninety-nine.",S009,C001,S022_ECOMMERCEBYTES_ABOUT_REFERENCE.html;S022B_ECOMMERCEBYTES_2019_EDITOR_REFERENCE.html;EBAY_HQ_2018_CC_BY_SA.jpg,GFX_ONLY,Live factual source retained; material facts/typesetting remain editor-built.,REFERENCE_ONLY_SOURCE_PAGE + EDITOR_RECREATE,YES,NO,
B012,S02,82.920,89.480,"The scale mismatch was obvious: an independent trade publication on one side, a global marketplace on the other.",S009,C001,S022_ECOMMERCEBYTES_ABOUT_REFERENCE.html;S022B_ECOMMERCEBYTES_2019_EDITOR_REFERENCE.html;EBAY_HQ_2018_CC_BY_SA.jpg,GFX_ONLY,Live factual source retained; material facts/typesetting remain editor-built.,REFERENCE_ONLY_SOURCE_PAGE + EDITOR_RECREATE,YES,NO,
B013,S02,90.120,99.720,"But the Steiners covered eBay's world closely — sellers, marketplace rules, executive decisions, and the complaints of people who depended on platforms like eBay.",S009,C001,S022_ECOMMERCEBYTES_ABOUT_REFERENCE.html;S022B_ECOMMERCEBYTES_2019_EDITOR_REFERENCE.html;EBAY_HQ_2018_CC_BY_SA.jpg,GFX_ONLY,Live factual source retained; material facts/typesetting remain editor-built.,REFERENCE_ONLY_SOURCE_PAGE + EDITOR_RECREATE,YES,NO,
B014,S02,100.540,110.020,"By spring twenty nineteen, a later federal court record shows that EcommerceBytes had become an increasing source of frustration for people inside eBay's leadership.",S009,C003,S022_ECOMMERCEBYTES_ABOUT_REFERENCE.html;S022B_ECOMMERCEBYTES_2019_EDITOR_REFERENCE.html;EBAY_HQ_2018_CC_BY_SA.jpg,GFX_ONLY,Live factual source retained; material facts/typesetting remain editor-built.,REFERENCE_ONLY_SOURCE_PAGE + EDITOR_RECREATE,YES,NO,
B015,S02,110.440,119.260,The Steiners were not business rivals trying to take eBay's customers. They were publishers criticizing the company and giving readers a place to criticize it too.,S009,C001,S022_ECOMMERCEBYTES_ABOUT_REFERENCE.html;S022B_ECOMMERCEBYTES_2019_EDITOR_REFERENCE.html;EBAY_HQ_2018_CC_BY_SA.jpg,GFX_ONLY,Live factual source retained; material facts/typesetting remain editor-built.,REFERENCE_ONLY_SOURCE_PAGE + EDITOR_RECREATE,YES,NO,
B016,S02,119.920,130.260,Companies face criticism every day. The real question is how criticism from two publishers became something people inside eBay's security organization were expected to solve.,S009,C003,S022_ECOMMERCEBYTES_ABOUT_REFERENCE.html;S022B_ECOMMERCEBYTES_2019_EDITOR_REFERENCE.html;EBAY_HQ_2018_CC_BY_SA.jpg,GFX_ONLY,Live factual source retained; material facts/typesetting remain editor-built.,REFERENCE_ONLY_SOURCE_PAGE + EDITOR_RECREATE,YES,NO,
B017,S03,131.060,143.460,"The internal messages are where the story changes. In April twenty nineteen, Steve Wymer — eBay's communications chief — sent then-C-E-O Devin Wenig a message about an Ina Steiner article.",S009,C004,DC001_CRUSH_THIS_LADY.png,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B018,S03,144.140,146.920,His words were: “We are going to crush this lady.”,S009,C004,DC001_CRUSH_THIS_LADY.png,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B019,S03,147.600,152.740,"Weeks later, according to the federal court record, Wenig told Wymer to “take her down.”",S009,C005,DC003_TAKE_HER_DOWN.png,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B020,S03,153.580,159.860,"And on August first, another message from Wenig said that if they were ever going to act, “now is the time.”",S009,C005,DC004_NOW_IS_THE_TIME.png,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B021,S03,160.680,168.060,"Those words are dramatic. But they are not, by themselves, proof that Wenig or any other executive ordered the crimes that followed.",S009,C005;C022,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B022,S03,168.740,179.680,The later court record says Jim Baugh — the head of eBay security — testified that Wenig never communicated directly with him about the Steiners. Wenig's relevant communications went through Wymer.,S009,C022,DC008_WENIG_NO_DIRECT_BAUGH.png,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B023,S03,180.260,189.800,"Still, inside the organization, the language was escalating. Wymer's messages to Baugh became increasingly ag gressive, including the phrase “Whatever it takes.”",S009,C008,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B024,S03,190.560,194.220,Another executive relationship was pulling the issue toward security too.,S009,C003,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B025,S03,194.950,204.200,"Wendy Jones — Baugh's direct supervisor — told him, according to the court record, to handle the issue “off the radar” and said she did not want details.",S009,C006,DC002_OFF_THE_RADAR.png,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B026,S03,205.240,216.120,"That is not the same as a finding that Jones knew what the security team would later do. But by this point, criticism from two publishers was no longer being discussed only as a communications problem.",S009,C006,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B027,S03,216.740,218.300,It had entered the security chain.,S009,C002;C003,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf;OFFICE_INTERIOR_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B028,S04,219.200,226.140,"Before the most notorious phase of the campaign, members of Baugh's security operation had already traveled to Massachusetts.",S009,C007,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B029,S04,227.160,241.820,"During an early trip, security employee Brian Gilbert surveilled the Steiners and spray-painted “FidoMaster” on their fence — a username used by a commenter on EcommerceBytes whom the security team believed was connected to the Steiners.",S009,C007,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B030,S04,242.560,252.480,Baugh later described the trip to Wymer as a “tap on the shoulder.” That moment matters because it shows how the problem was being translated inside the company.,S009,C007,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B031,S04,253.440,262.820,"At the top, there was anger about criticism. In the middle, increasingly forceful messages. At the security level, those messages were becoming action.",S009,C003;C008;C009,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B032,S04,263.740,273.040,"Then the process became more organized. On August sixth, Baugh held meetings with security-team members to plan an operation against the Steiners.",S009;S001;S002,C009,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B033,S04,273.860,283.080,"The plan included unwanted deliveries and online harassment. The next day, Baugh met with Wymer. And then the operation accelerated.",S009;S001,C009,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;NATICK_CENTER_2020_CC_BY_SA.jpg;NATURAL_EARTH_50M_US_STATES.zip,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B034,S05,284.180,293.200,The Steiners began receiving threatening online messages and disturbing deliveries. The admitted record includes live insects and a bloody pig mask.,S001;S009;S012,C010,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B035,S05,294.220,300.920,There were also Craigslist posts designed to send strangers toward the Steiners and other messages intended to frighten them.,S001;S009,C011,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B036,S05,301.780,308.420,The details are bizarre enough to make the story feel almost unreal. But the key point is that this was organized.,S001;S009,C010;C011,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B037,S05,309.400,318.820,"People were planning activities, traveling, communicating, and using corporate-security personnel and resources around a campaign directed at two private citizens.",S009;S001,C009;C010;C011,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B038,S05,319.880,328.140,"Then the line moved again. On August fifteenth, Baugh, David Harville and Veronica Zea traveled to the Steiners' area.",S009,C012,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B039,S05,328.940,337.480,"According to the federal court record, they attempted to install a G-P-S tracker on the Steiners' vehicle. They also surveilled and followed the couple.",S009;S001;S005,C012,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B040,S05,338.340,349.320,The tracker was not established as successfully installed. But the attempt changed the nature of the story. This was no longer just anonymous online harassment or disturbing deliveries.,S009,C012,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B041,S05,350.380,355.800,"It had become a physical surveillance operation. And the next day, the Steiners went to the police.",S009,C013,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;SPIDER_CC0.jpg;LARVAE_CC0.jpg;PARCEL_CC0.webp;FUNERAL_WREATH_CC0.jpg;DC021_CRAIGSLIST_HARASSMENT.png;DC022_THREATENING_MESSAGES.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,Previous reconstruction flag superseded as mandatory path by live document/context source; reconstruction remains optional only after visual proof.
B042,S06,356.860,366.060,"Natick police began investigating on August sixteenth, twenty nineteen. That should have ended the operation. Instead, it created a second problem.",S009;S001,C013,DC023_OBSTRUCTION_DELETION.png;NATICK_CENTER_2020_CC_BY_SA.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B043,S06,366.980,374.300,The first was what the security team had done. The second was what members of that team did once investigators started asking questions.,S001;S002;S003,C014,DC023_OBSTRUCTION_DELETION.png;NATICK_CENTER_2020_CC_BY_SA.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B044,S06,375.480,384.240,"The record admitted by eBay and described by federal prosecutors includes false statements, deletion of digital evidence, and falsified records.",S001;S002;S003,C014,DC023_OBSTRUCTION_DELETION.png;NATICK_CENTER_2020_CC_BY_SA.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B045,S06,385.280,394.160,"A security organization that existed to reduce risk had now created two kinds of risk: the operation itself, and the effort to conceal it.",S001;S002;S003,C014,DC023_OBSTRUCTION_DELETION.png;NATICK_CENTER_2020_CC_BY_SA.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B046,S06,395.020,410.060,"eBay began its own internal investigation days later. By the end of August, several security employees had been placed on leave. Over time, key members of the operation were removed or terminated, and one contractor's relationship ended.",S009;S012,C015,DC023_OBSTRUCTION_DELETION.png;NATICK_CENTER_2020_CC_BY_SA.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B047,S06,410.900,415.800,But internal discipline was only the beginning. Federal prosecutors were coming next.,S001;S004,C014,DC023_OBSTRUCTION_DELETION.png;NATICK_CENTER_2020_CC_BY_SA.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;S001_DOJ_CASE_PAGE.html,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B048,S07,416.540,422.360,"Beginning in twenty twenty, federal prosecutors brought criminal cases against people involved in the campaign.",S004;S005;S006;S007;S008,C016,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf;S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf;S006_DOJ_POPP_STOCKWELL_SENTENCING_PAGE.pdf;S007_DOJ_ZEA_SENTENCING_PAGE.pdf;S008_DOJ_COOKE_SENTENCING_PAGE.pdf,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B049,S07,423.480,429.180,"Eventually, all seven former eBay employees and contractors who were prosecuted pleaded guilty.",S004;S005;S006;S007;S008,C016,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf;S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf;S006_DOJ_POPP_STOCKWELL_SENTENCING_PAGE.pdf;S007_DOJ_ZEA_SENTENCING_PAGE.pdf;S008_DOJ_COOKE_SENTENCING_PAGE.pdf,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B050,S07,430.420,439.600,A guilty plea is not an allegation. It establishes criminal guilt without a trial. Jim Baugh received fifty-seven months in prison.,S005,C016;C017,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf;S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf;S006_DOJ_POPP_STOCKWELL_SENTENCING_PAGE.pdf;S007_DOJ_ZEA_SENTENCING_PAGE.pdf;S008_DOJ_COOKE_SENTENCING_PAGE.pdf,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
B051,S07,440.920,449.880,"David Harville received twenty-four months. Other participants received combinations of prison, probation, home confinement, and financial penalties.",S005;S006;S007;S008;S004,C017,S004_DOJ_FINAL_DEFENDANT_PAGE.pdf;S005_DOJ_BAUGH_HARVILLE_SENTENCING_PAGE.pdf;S006_DOJ_POPP_STOCKWELL_SENTENCING_PAGE.pdf;S007_DOJ_ZEA_SENTENCING_PAGE.pdf;S008_DOJ_COOKE_SENTENCING_PAGE.pdf,LIVE_SOURCE_READY,Lead with authentic document/evidence or licensed real-world context before any illustrative treatment.,PUBLICATION_SAFE_OR_SOURCE_DOCUMENT_WITH_GUARDRAILS,YES,NO,
