beat_id,section,start,end,production_route,execution_mode,frame_family,style_reference_name,style_reference_media_id,factual_source_origin,job_input_after_preprocessing,prepared_input_required,raw_docs_do_not_attach,exact_text,support_text,composition,legal_guardrail,production_prompt,status
B029,S04,227.160,241.820,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B029_DC005_FIDOMASTER_JUNE8.png; MASSACHUSETTS_FENCE_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B029_DC005_FIDOMASTER_JUNE8.png,,FIDOMASTER,,hero evidence object centered high on a warm-paper mount; headline upper-left; compact source label above; small red underline; faint secondary evidence edge behind the hero,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B029 — 16:9 WHAT IT COST
PURPOSE: FIDOMASTER
NARRATION: ""During an early trip, security employee Brian Gilbert surveilled the Steiners and spray-painted “FidoMaster” on their fence — a username used by a commenter on EcommerceBytes whom the security team believed was connected to the Steiners.""
TEXT: ""FIDOMASTER""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B029_DC005_FIDOMASTER_JUNE8.png; MASSACHUSETTS_FENCE_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: hero evidence object centered high on a warm-paper mount; headline upper-left; compact source label above; small red underline; faint secondary evidence edge behind the hero
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B030,S04,242.560,252.480,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T02,R6_STYLE_NEUTRAL_DOSSIER_LEGAL,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC005_FIDOMASTER_JUNE8.png;MASSACHUSETTS_FENCE_CC0.jpg;OFFICE_INTERIOR_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B030_DC005_FIDOMASTER_JUNE8.png; MASSACHUSETTS_FENCE_CC0.jpg; OFFICE_INTERIOR_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B030_DC005_FIDOMASTER_JUNE8.png,,“A TAP ON THE SHOULDER.”,,centered dossier sheet with one real photo and one short source crop; headline on left margin; small role/status tab; restrained red highlight on only one factual phrase,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B030 — 16:9 WHAT IT COST
PURPOSE: “A TAP ON THE SHOULDER.”
NARRATION: ""Baugh later described the trip to Wymer as a “tap on the shoulder.” That moment matters because it shows how the problem was being translated inside the company.""
TEXT: ""“A TAP ON THE SHOULDER.”""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B030_DC005_FIDOMASTER_JUNE8.png; MASSACHUSETTS_FENCE_CC0.jpg; OFFICE_INTERIOR_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_DOSSIER_LEGAL [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: centered dossier sheet with one real photo and one short source crop; headline on left margin; small role/status tab; restrained red highlight on only one factual phrase
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B031,S04,253.440,262.820,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T03,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC001_CRUSH_THIS_LADY.png;DC003_TAKE_HER_DOWN.png;DC005_FIDOMASTER_JUNE8.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC001_CRUSH_THIS_LADY.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC003_TAKE_HER_DOWN.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC005_FIDOMASTER_JUNE8.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC001_CRUSH_THIS_LADY.png;12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC003_TAKE_HER_DOWN.png;12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC005_FIDOMASTER_JUNE8.png,,ANGER → MESSAGES → ACTION,,wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B031 — 16:9 WHAT IT COST
PURPOSE: ANGER → MESSAGES → ACTION
NARRATION: ""At the top, there was anger about criticism. In the middle, increasingly forceful messages. At the security level, those messages were becoming action.""
TEXT: ""ANGER → MESSAGES → ACTION""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC001_CRUSH_THIS_LADY.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC003_TAKE_HER_DOWN.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B031_DC005_FIDOMASTER_JUNE8.png; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B032,S04,263.740,273.040,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T02,R6_STYLE_NEUTRAL_DOSSIER_LEGAL,PENDING_OWNER_APPROVAL_NOT_GENERATED,OFFICE_INTERIOR_CC0.jpg,OFFICE_INTERIOR_CC0.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B032_AUG6_OPERATION_PLANNING.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B032_AUG6_OPERATION_PLANNING.png,S009_D711_SUMMARY_JUDGMENT_ORDER.pdf,"AUGUST 6, 2019 — OPERATION PLANNING",,stacked headline on left 30%; large real photo or source portrait in a paper frame center; narrow clipped status note on right; red tape strip above; subtle file-folder edge,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B032 — 16:9 WHAT IT COST
PURPOSE: AUGUST 6, 2019 — OPERATION PLANNING
NARRATION: ""Then the process became more organized. On August sixth, Baugh held meetings with security-team members to plan an operation against the Steiners.""
TEXT: ""AUGUST 6, 2019 — OPERATION PLANNING""
ATTACH: OFFICE_INTERIOR_CC0.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B032_AUG6_OPERATION_PLANNING.png; STYLE LAST: R6_STYLE_NEUTRAL_DOSSIER_LEGAL [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: stacked headline on left 30%; large real photo or source portrait in a paper frame center; narrow clipped status note on right; red tape strip above; subtle file-folder edge
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B033,S04,273.860,283.080,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T02,R6_STYLE_NEUTRAL_DOSSIER_LEGAL,PENDING_OWNER_APPROVAL_NOT_GENERATED,PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png;OFFICE_INTERIOR_CC0.jpg,PARCEL_CC0.webp; 12B_SOURCE_ASSETS/R6_PREP/R6P_B033_DC022_THREATENING_MESSAGES.png; OFFICE_INTERIOR_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B033_DC022_THREATENING_MESSAGES.png,,THE OPERATION ACCELERATED,,dominant source portrait/photo upper-right; left-side dossier headline and role/status line; one small authentic excerpt card beneath photo but above subtitle-safe band; thin rule divider,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B033 — 16:9 WHAT IT COST
PURPOSE: THE OPERATION ACCELERATED
NARRATION: ""The plan included unwanted deliveries and online harassment. The next day, Baugh met with Wymer. And then the operation accelerated.""
TEXT: ""THE OPERATION ACCELERATED""
ATTACH: PARCEL_CC0.webp; 12B_SOURCE_ASSETS/R6_PREP/R6P_B033_DC022_THREATENING_MESSAGES.png; OFFICE_INTERIOR_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_DOSSIER_LEGAL [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: dominant source portrait/photo upper-right; left-side dossier headline and role/status line; one small authentic excerpt card beneath photo but above subtitle-safe band; thin rule divider
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B034,S05,284.180,293.200,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T03,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC022_THREATENING_MESSAGES.png;DOJ_FBI_PIG_MASK_AND_BOOK.jpg;COCKROACH_CC0.jpg;LARVAE_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B034_DC022_THREATENING_MESSAGES.png; DOJ_FBI_PIG_MASK_AND_BOOK.jpg; COCKROACH_CC0.jpg; LARVAE_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B034_DC022_THREATENING_MESSAGES.png,,THREATENING MESSAGES • LIVE INSECTS • PIG MASK,,"source excerpt framed like a photographic evidence print, slightly offset; headline left or top-left; second tiny context image only if needed; no decorative body text",Authentic evidence without horror/gore treatment.,"BEAT B034 — 16:9 WHAT IT COST
PURPOSE: THREATENING MESSAGES • LIVE INSECTS • PIG MASK
NARRATION: ""The Steiners began receiving threatening online messages and disturbing deliveries. The admitted record includes live insects and a bloody pig mask.""
TEXT: ""THREATENING MESSAGES • LIVE INSECTS • PIG MASK""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B034_DC022_THREATENING_MESSAGES.png; DOJ_FBI_PIG_MASK_AND_BOOK.jpg; COCKROACH_CC0.jpg; LARVAE_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: source excerpt framed like a photographic evidence print, slightly offset; headline left or top-left; second tiny context image only if needed; no decorative body text
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Authentic evidence without horror/gore treatment.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B035,S05,294.220,300.920,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T03,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC021_CRAIGSLIST_HARASSMENT.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B035_DC021_CRAIGSLIST_HARASSMENT.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B035_DC021_CRAIGSLIST_HARASSMENT.png,,CRAIGSLIST POSTS,,wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B035 — 16:9 WHAT IT COST
PURPOSE: CRAIGSLIST POSTS
NARRATION: ""There were also Craigslist posts designed to send strangers toward the Steiners and other messages intended to frighten them.""
TEXT: ""CRAIGSLIST POSTS""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B035_DC021_CRAIGSLIST_HARASSMENT.png; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B036,S05,301.780,308.420,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DOJ_FBI_PIG_MASK_AND_BOOK.jpg;PARCEL_CC0.webp;DC022_THREATENING_MESSAGES.png,DOJ_FBI_PIG_MASK_AND_BOOK.jpg; PARCEL_CC0.webp; 12B_SOURCE_ASSETS/R6_PREP/R6P_B036_DC022_THREATENING_MESSAGES.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B036_DC022_THREATENING_MESSAGES.png,,"ORGANIZED, NOT RANDOM",,large authentic source frame on the right two-thirds; oversized headline left; short red dash above headline; one thin horizontal rule; one small paper tab overlapping the source frame,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B036 — 16:9 WHAT IT COST
PURPOSE: ORGANIZED, NOT RANDOM
NARRATION: ""The details are bizarre enough to make the story feel almost unreal. But the key point is that this was organized.""
TEXT: ""ORGANIZED, NOT RANDOM""
ATTACH: DOJ_FBI_PIG_MASK_AND_BOOK.jpg; PARCEL_CC0.webp; 12B_SOURCE_ASSETS/R6_PREP/R6P_B036_DC022_THREATENING_MESSAGES.png; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: large authentic source frame on the right two-thirds; oversized headline left; short red dash above headline; one thin horizontal rule; one small paper tab overlapping the source frame
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B037,S05,309.400,318.820,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T06,R6_STYLE_NEUTRAL_MAP_TIMELINE,PENDING_OWNER_APPROVAL_NOT_GENERATED,OFFICE_INTERIOR_CC0.jpg;EBAY_HQ_2018_CC_BY_SA.jpg;PARCEL_CC0.webp,OFFICE_INTERIOR_CC0.jpg; EBAY_HQ_2018_CC_BY_SA.jpg; PARCEL_CC0.webp,NONE,,PLANNING • TRAVEL • CORPORATE SECURITY,,vertical chronology on left with one large date; authentic source/photo panel right; clipped note at upper-right; one red timeline marker; no crowded event list,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B037 — 16:9 WHAT IT COST
PURPOSE: PLANNING • TRAVEL • CORPORATE SECURITY
NARRATION: ""People were planning activities, traveling, communicating, and using corporate-security personnel and resources around a campaign directed at two private citizens.""
TEXT: ""PLANNING • TRAVEL • CORPORATE SECURITY""
ATTACH: OFFICE_INTERIOR_CC0.jpg; EBAY_HQ_2018_CC_BY_SA.jpg; PARCEL_CC0.webp; STYLE LAST: R6_STYLE_NEUTRAL_MAP_TIMELINE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: vertical chronology on left with one large date; authentic source/photo panel right; clipped note at upper-right; one red timeline marker; no crowded event list
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
B038,S05,319.880,328.140,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T02,R6_STYLE_NEUTRAL_DOSSIER_LEGAL,PENDING_OWNER_APPROVAL_NOT_GENERATED,NATICK_CENTER_2020_CC_BY_SA.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,NONE,,"AUGUST 15, 2019",,centered dossier sheet with one real photo and one short source crop; headline on left margin; small role/status tab; restrained red highlight on only one factual phrase,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B038 — 16:9 WHAT IT COST
PURPOSE: AUGUST 15, 2019
NARRATION: ""Then the line moved again. On August fifteenth, Baugh, David Harville and Veronica Zea traveled to the Steiners' area.""
TEXT: ""AUGUST 15, 2019""
ATTACH: NATICK_CENTER_2020_CC_BY_SA.jpg; STYLE LAST: R6_STYLE_NEUTRAL_DOSSIER_LEGAL [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: centered dossier sheet with one real photo and one short source crop; headline on left margin; small role/status tab; restrained red highlight on only one factual phrase
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
B039,S05,328.940,337.480,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T03,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC006_DELIVERIES_GPS_ATTEMPT.png;DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC006_DELIVERIES_GPS_ATTEMPT.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC006_DELIVERIES_GPS_ATTEMPT.png;12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC007_GPS_GARAGE_ATTEMPT.png,,GPS TRACKER ATTEMPT,,wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions,Tracker attempted; installation not established.,"BEAT B039 — 16:9 WHAT IT COST
PURPOSE: GPS TRACKER ATTEMPT
NARRATION: ""According to the federal court record, they attempted to install a G-P-S tracker on the Steiners' vehicle. They also surveilled and followed the couple.""
TEXT: ""GPS TRACKER ATTEMPT""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC006_DELIVERIES_GPS_ATTEMPT.png; 12B_SOURCE_ASSETS/R6_PREP/R6P_B039_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: wide horizontal authentic excerpt across upper half; condensed headline above-left; one clipped corner/tab; black textured negative space below for captions
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Tracker attempted; installation not established.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B040,S05,338.340,349.320,HYBRID_SOURCE_EDITORIAL,HIGGSFIELD_CANDIDATE_BLOCKED,T01,R6_STYLE_NEUTRAL_EVIDENCE,PENDING_OWNER_APPROVAL_NOT_GENERATED,DC007_GPS_GARAGE_ATTEMPT.png;GENERIC_GPS_TRACKER_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B040_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg,12B_SOURCE_ASSETS/R6_PREP/R6P_B040_DC007_GPS_GARAGE_ATTEMPT.png,,ATTEMPTED — NOT INSTALLED,,large authentic source frame on the right two-thirds; oversized headline left; short red dash above headline; one thin horizontal rule; one small paper tab overlapping the source frame,Tracker attempted; installation not established.,"BEAT B040 — 16:9 WHAT IT COST
PURPOSE: ATTEMPTED — NOT INSTALLED
NARRATION: ""The tracker was not established as successfully installed. But the attempt changed the nature of the story. This was no longer just anonymous online harassment or disturbing deliveries.""
TEXT: ""ATTEMPTED — NOT INSTALLED""
ATTACH: 12B_SOURCE_ASSETS/R6_PREP/R6P_B040_DC007_GPS_GARAGE_ATTEMPT.png; GENERIC_GPS_TRACKER_CC0.jpg; STYLE LAST: R6_STYLE_NEUTRAL_EVIDENCE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: large authentic source frame on the right two-thirds; oversized headline left; short red dash above headline; one thin horizontal rule; one small paper tab overlapping the source frame
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Tracker attempted; installation not established.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
B041,S05,350.380,355.800,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T05,R6_STYLE_NEUTRAL_MAP_TIMELINE,PENDING_OWNER_APPROVAL_NOT_GENERATED,NATICK_CENTER_2020_CC_BY_SA.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg,NONE,,PHYSICAL SURVEILLANCE,NEXT DAY → POLICE,Use Natick/location imagery as the upper/right factual anchor; headline PHYSICAL SURVEILLANCE at left; add one small chronological support line NEXT DAY → POLICE above the subtitle-safe band; no GPS device as hero.,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B041 — 16:9 WHAT IT COST
PURPOSE: PHYSICAL SURVEILLANCE
NARRATION: ""It had become a physical surveillance operation. And the next day, the Steiners went to the police.""
TEXT: ""PHYSICAL SURVEILLANCE"" | ""NEXT DAY → POLICE""
ATTACH: NATICK_CENTER_2020_CC_BY_SA.jpg; STYLE LAST: R6_STYLE_NEUTRAL_MAP_TIMELINE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: Use Natick/location imagery as the upper/right factual anchor; headline PHYSICAL SURVEILLANCE at left; add one small chronological support line NEXT DAY → POLICE above the subtitle-safe band; no GPS device as hero.
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_NEUTRAL_STYLE_REF
B042,S06,356.860,366.060,SOURCE_STYLED_GENERATION,HIGGSFIELD_CANDIDATE_BLOCKED,T06,R6_STYLE_NEUTRAL_MAP_TIMELINE,PENDING_OWNER_APPROVAL_NOT_GENERATED,NATICK_CENTER_2020_CC_BY_SA.jpg,NATICK_CENTER_2020_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B042_AUG16_POLICE_INVESTIGATION.png,12B_SOURCE_ASSETS/R6_PREP/R6P_B042_AUG16_POLICE_INVESTIGATION.png,,"AUGUST 16, 2019 — POLICE INVESTIGATION",,large event/date headline upper-left; two sequential source crops in staggered paper frames across top/right; thin connecting line; bottom kept empty,"Do not change legal status, amount, chronology, attribution, or allegation/finding posture.","BEAT B042 — 16:9 WHAT IT COST
PURPOSE: AUGUST 16, 2019 — POLICE INVESTIGATION
NARRATION: ""Natick police began investigating on August sixteenth, twenty nineteen. That should have ended the operation. Instead, it created a second problem.""
TEXT: ""AUGUST 16, 2019 — POLICE INVESTIGATION""
ATTACH: NATICK_CENTER_2020_CC_BY_SA.jpg; 12B_SOURCE_ASSETS/R6_PREP/R6P_B042_AUG16_POLICE_INVESTIGATION.png; STYLE LAST: R6_STYLE_NEUTRAL_MAP_TIMELINE [NEW R6 NEUTRAL REF — media ID pending].
COMPOSITION: large event/date headline upper-left; two sequential source crops in staggered paper frames across top/right; thin connecting line; bottom kept empty
SOURCE RULE: factual inputs control content. Style controls only palette, type scale, paper layering, texture, spacing and restrained red; copy ZERO subject matter from style ref.
SUBTITLES: bottom 22% empty.
LEGAL: Do not change legal status, amount, chronology, attribution, or allegation/finding posture.
REJECT: style-content leakage; pseudo-text; wrong source; dense full page; altered amount/status; subtitle-band collision; horror/card-grid.",BLOCKED_PREP_AND_NEUTRAL_STYLE_REF
