beat_id,route,style_lock,subtitle_safe,text_lock,legal_lock,accepted_beat_excluded,one_pass_reject_guard,overall
B100,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B101,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B102,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B103,EDITOR_FINAL_BUILD,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B105,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B106,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B107,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B108,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B109,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B110,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B112,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B113,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
B114,HIGGSFIELD_ONE_PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
