asset_id,scene_relevance,url,source,rights,date,asset_class,usable,source_id,notes
RV011,B1/B4,https://blog.adobe.com/en/publish/2019/11/05/adobe-max-2019-day-1-keynote,Adobe Blog,Official Adobe event image. Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,2019-11-05,REAL-PHOTO,YES_EDITORIAL,,Older Adobe CEO keynote shot; generic leadership context.
RV012,B1/B2/B11,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,Official Figma speaker portrait. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2026,REAL-PHOTO,YES_EDITORIAL,,Clean Dylan Field identity shot.
RV013,B1/B2/B11,https://www.figma.com/blog/7-moments-that-shaped-figma/,Figma Blog,Official Figma archival photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025,REAL-PHOTO,YES_EDITORIAL,,Dylan Field + Evan Wallace archival office photo.
RV014,B1/B2,https://www.figma.com/blog/7-moments-that-shaped-figma/,Figma Blog,Official Figma archival photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025,REAL-PHOTO,YES_EDITORIAL,,Early Figma whiteboard/interface exploration.
RV015,B1/B4/B5,https://www.figma.com/blog/config-2023-recap/,Figma Blog / Config,Official Config event imagery. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-06-21,REAL-PHOTO,YES_EDITORIAL,,Dylan Field / Config 2023 keynote context.
RV016,B1/B4/B5,https://www.figma.com/blog/config-2023-recap/,Figma Blog / Config,Official Config event imagery. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-06-21,REAL-PHOTO,YES_EDITORIAL,,Config 2023 crowd/event-wide shot.
RV017,B1/B4,https://www.figma.com/blog/config-brian-chesky-airbnb/,Figma Blog,Official Figma event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-08-10,REAL-PHOTO,YES_EDITORIAL,,Dylan Field and Brian Chesky on Config stage.
RV018,B11,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,Official IPO/founder image. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025-07-31,REAL-PHOTO,YES_EDITORIAL,,Dylan Field IPO-era portrait/hero.
RV019,B11,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025-08-13,REAL-PHOTO,YES_EDITORIAL,,NYSE exterior crowd under large Figma banner.
RV020,B11,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025-08-13,REAL-PHOTO,YES_EDITORIAL,,Second NYSE crowd / Figma Commons street scene.
RV021,B11,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025-08-13,REAL-PHOTO,YES_EDITORIAL,,Figma Commons outdoor installation at NYSE.
RV022,B11,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025-08-13,REAL-PHOTO,YES_EDITORIAL,,NYSE scaffolding/banner setup.
RV023,B11,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,Official IPO/event image. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025-08-13,REAL-PHOTO,YES_EDITORIAL,,Times Square Figma Make billboard.
RV024,B5/B6/B8,https://www.justice.gov/archives/opa/pr/justice-department-federal-trade-commission-and-european-commission-hold-third-us-eu-joint-0,U.S. DOJ,DOJ page image. DOJ website material is public domain unless otherwise indicated; cite DOJ; seals/logos remain restricted.,2023-03-30,REAL-PHOTO,YES_CLEAR,,Kanter / Vestager / Khan technology-competition meeting.
RV025,B0/B1/B7,https://www.figma.com/blog/adobe-figma-faq/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-11-16,PRODUCT-UI,YES_EDITORIAL,,Official Figma + Adobe deal graphic.
RV026,B1/B2,https://www.figma.com/blog/introducing-new-figjam-prices-and-a-more-open-platform/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2021,PRODUCT-UI,YES_EDITORIAL,,FigJam canvas with widgets/plugins panel.
RV027,B1/B2,https://www.figma.com/blog/whats-new-in-figma-february-2022/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-02-28,PRODUCT-UI,YES_EDITORIAL,,Figma search results / file-preview UI.
RV028,B1/B2,https://www.figma.com/blog/whats-new-in-figma-february-2022/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-02-28,PRODUCT-UI,YES_EDITORIAL,,Figma Enterprise workspace/navigation.
RV029,B1/B2,https://www.figma.com/blog/introducing-figjam/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2021-04-21,PRODUCT-UI,YES_EDITORIAL,,FigJam diagramming with comments/user input.
RV030,B1/B2,https://www.figma.com/blog/introducing-figjam/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2021-04-21,PRODUCT-UI,YES_EDITORIAL,,FigJam sticky-note brainstorm/cursors.
RV031,B1/B2,https://www.figma.com/blog/introducing-figjam-for-ipad/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-03-15,PRODUCT-UI,YES_EDITORIAL,,FigJam iPad product visual.
RV032,B1/B2,https://www.figma.com/blog/whats-new-in-figma-june-2022/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-06-28,PRODUCT-UI,YES_EDITORIAL,,Figma widgets/canvas product visual.
RV033,B1/B2,https://www.figma.com/blog/whats-new-in-figma-july-2022/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-07-27,PRODUCT-UI,YES_EDITORIAL,,2022 collaborative-workflow/product update visual.
RV034,B1/B2,https://www.figma.com/blog/whats-new-in-figma-september-2022/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-09-28,PRODUCT-UI,YES_EDITORIAL,,Component-properties / design-system update.
RV035,B1/B2,https://www.figma.com/blog/whats-new-in-figma-september-2022/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-09-28,PRODUCT-UI,YES_EDITORIAL,,Calendar/templates workflow context.
RV036,B1/B4,https://www.figma.com/blog/config-2022-thinking-big-and-acting-with-urgency/,Figma Blog / Config,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2022-05-11,PRODUCT-UI,YES_EDITORIAL,,Config 2022 product-launch/demo frame.
RV037,B5/B6,https://www.figma.com/blog/introducing-dev-mode/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-06-21,PRODUCT-UI,YES_EDITORIAL,,Dev Mode toggle hero.
RV038,B5/B6,https://www.figma.com/blog/introducing-dev-mode/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-06-21,PRODUCT-UI,YES_EDITORIAL,,Figma for VS Code extension interface.
RV039,B5/B6,https://www.figma.com/blog/how-we-built-dev-mode/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-11-22,PRODUCT-UI,YES_EDITORIAL,,Early Dev File design exploration.
RV040,B5/B6,https://www.figma.com/blog/how-we-built-dev-mode/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-11-22,PRODUCT-UI,YES_EDITORIAL,,Early tabs/mode concepts.
RV041,B5/B6,https://www.figma.com/blog/all-your-questions-about-variables-answered/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-12-06,PRODUCT-UI,YES_EDITORIAL,,Variables/design-token UI.
RV042,B5/B6,https://www.figma.com/blog/config-2023-recap/,Figma Blog / Config,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-06-21,PRODUCT-UI,YES_EDITORIAL,,Advanced prototyping/variables demo.
RV043,B5/B6,https://www.figma.com/blog/config-2023-recap/,Figma Blog / Config,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2023-06-21,PRODUCT-UI,YES_EDITORIAL,,Auto-layout/file-browser product demo context.
RV044,B1/B5/B6,https://www.adobe.com/products/xd/wireframing-tool.html,Adobe XD documentation,Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,2023-06-06,PRODUCT-UI,YES_EDITORIAL,,Adobe XD design/prototype/share workflow; competitor-product context.
RV045,B1/B5/B6,https://www.adobe.com/products/xd/prototyping-tool.html,Adobe XD documentation,Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,2024-09-08,PRODUCT-UI,YES_EDITORIAL,,XD prototype wires/home screen/interactions UI.
RV046,B1/B5/B6,https://blog.adobe.com/en/publish/2021/05/11/new-ways-to-collaborate-adobe-xd,Adobe Blog,Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,2021-05-11,PRODUCT-UI,YES_EDITORIAL,,Adobe XD Live Cursors/coediting screenshot.
RV047,B1/B4,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,Official Adobe press/news material; copyright retained unless stated otherwise. Documentary/editorial quotation only.,2022-09-15,DOCUMENT,YES_EDITORIAL,S001,Authentic ~$20B deal announcement.
RV048,B1/B4,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_8k.htm,SEC / Adobe Form 8-K,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2022-09-15,DOCUMENT,YES_AUTHENTIC,S002,8-K announcing merger agreement.
RV049,B2/B3/B9/B12,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2022-09-15,DOCUMENT,YES_AUTHENTIC,S003,Section 8.2 $1B fee / not-a-penalty evidence.
RV050,B2,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2023-01-11,DOCUMENT,YES_AUTHENTIC,S004,"Negotiation excerpt: June 19 $20B proposal, no fee."
RV051,B2,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2023-01-11,DOCUMENT,YES_AUTHENTIC,S004,Negotiation excerpt: July 5 Figma reverse-fee proposal.
RV052,B2,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2023-01-11,DOCUMENT,YES_AUTHENTIC,S004,Negotiation excerpt: July 20 Adobe agrees $1B fee.
RV053,B3/B5,https://www.sec.gov/Archives/edgar/data/796343/000079634323000055/adbe-20230303.htm,SEC / Adobe Form 10-Q,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2023,DOCUMENT,YES_AUTHENTIC,S005,$1B reverse-fee regulatory-closing risk disclosure.
RV054,B5/B6/B8,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,2023-05-03 to 2023-12-19,DOCUMENT,YES_CLEAR,S006,Official phase 1/phase 2/cancellation chronology.
RV055,B5/B6,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA Phase 1 decision linked from case page,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,2023-06-30,DOCUMENT,YES_CLEAR,S006,Phase 1 SLC threshold; not final prohibition.
RV056,B6,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,2023-11-28,DOCUMENT,YES_CLEAR,S007,Provisional competition concerns.
RV057,B6/B7,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,2023-11-28,DOCUMENT,YES_CLEAR,S008,Possible prohibition/divestiture; consultation stage.
RV058,B7,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,2023-12-14,DOCUMENT,YES_CLEAR,S010,Parties' remedy-response position.
RV059,B5/B6/B8,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,European Commission-owned content — default CC BY 4.0 unless specific third-party/industrial-property exclusion; attribute EU/source and indicate changes.,2024-09-25,DOCUMENT,YES_CLEAR,S011,M.11033 post-case brief; preliminary SO/no final decision.
RV060,B5/B8,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. DOJ Antitrust Division,DOJ website material is public domain unless otherwise indicated; cite DOJ; seals/logos remain restricted.,2023-12-18,DOCUMENT,YES_CLEAR,S012,DOJ investigation/abandonment statement.
RV061,B8/B9,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2023-12-18,DOCUMENT,YES_AUTHENTIC,S014,Mutual termination + $1B due within three business days.
RV062,B8/B9/B12,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2023-12-17,DOCUMENT,YES_AUTHENTIC,S015,Liquidated damages / sole remedy.
RV063,B9/B10,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2024,DOCUMENT,YES_AUTHENTIC,S016,Adobe confirms Dec 20 $1B cash payment.
RV064,B10/B11,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,2025-07-01,DOCUMENT,YES_AUTHENTIC,S018,Figma-side proof of receipt + IPO setup.
RV065,B0/B1/B4,https://commons.wikimedia.org/wiki/File:Adobe_Corporate_logo.svg,Wikimedia Commons / Adobe,Public-domain/simple text or geometric logo; trademark restrictions still apply.,2020,CONTEXT,YES_CLEAR,,Adobe corporate identifier.
RV066,B0/B1/B11,https://commons.wikimedia.org/wiki/File:Figma-logo.svg,Wikimedia Commons / Figma,Public-domain/simple text or geometric logo; trademark restrictions still apply.,2019,CONTEXT,YES_CLEAR,,Figma identifier.
RV067,B1/B5/B6,https://commons.wikimedia.org/wiki/File:Adobe_Experience_Design_logo.svg,Wikimedia Commons / Adobe XD,Verify exact file-page copyright tag before use; trademark applies.,2016,CONTEXT,HOLD_RIGHTS,,Adobe XD identifier.
RV068,B5/B6/B8,https://commons.wikimedia.org/wiki/File:Berlaymont_EU_Building-Brussels.jpg,Wikimedia Commons / acediscovery,CC BY 4.0 — attribution + indicate changes required.,2018-03-16,CONTEXT,YES_CLEAR,,European Commission HQ establishing shot.
RV069,B5/B6/B8,https://commons.wikimedia.org/wiki/File:Berlaymont_building_european_commission.jpg,Wikimedia Commons,CC BY-SA 2.5 — attribution + share-alike for adaptations.,2005,CONTEXT,YES_CLEAR,,Alternate Berlaymont exterior.
RV070,B5/B8,"https://commons.wikimedia.org/wiki/File:U.S._Department_of_Justice_headquarters,_August_12,_2006.jpg",Wikimedia Commons / Coolcaesar,CC BY-SA 3.0 / GFDL — attribution; preserve applicable license terms.,2006-08-12,CONTEXT,YES_CLEAR,,DOJ headquarters establishing shot.
RV071,B11,https://www.figma.com/blog/ipo-pricing/,Figma Blog,Official Figma press/blog material; copyright retained. Documentary/editorial quotation only.,2025-07-30,CONTEXT,YES_EDITORIAL,,Official IPO pricing page: $33/share / FIG.
RV072,B11,https://www.figma.com/blog/s1-public/,Figma Blog,Official Figma press/blog material; copyright retained. Documentary/editorial quotation only.,2025-07-01,CONTEXT,YES_EDITORIAL,,Official S-1 public announcement.
RV073,B11,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,2025-08-13,CONTEXT,YES_EDITORIAL,,IPO/NYSE activation page as a source card.
RV074,B1/B2/B4,https://www.adobe.com/uk/about-adobe/leaders/downloadable-images.html,Adobe corporate media resources,Adobe executive-media image — Adobe limits supplied images to news-media/news-report use; no endorsement.,current,CONTEXT,YES_EDITORIAL,,Press-photo portal for Shantanu Narayen and David Wadhwani.
