claim_id,script_ref,claim_text,claim_class,legal_status,asserted_by,target,source_ids,primary_source_present,corroboration,verification_status,wording_guardrail,last_checked,notes
C013,S08,"The parties' December 14 remedies response said the CMA remedies notice effectively pointed to either prohibition or divestiture of Figma Design, which the parties characterized as effectively a full divestiture/prohibition.",PARTY_POSITION,OPINION,Adobe / Figma,CMA possible remedies,S010,yes,S008,VERIFIED,Attribute 'effectively' characterization to the parties.,2026-09-25,
C014,S06;S09,"The U.S. Department of Justice Antitrust Division conducted an investigation of the proposed merger and, after abandonment, publicly welcomed the companies' decision to end it.",US_REGULATORY_CHRONOLOGY,UNDISPUTED_FACT,DOJ Antitrust Division,Proposed transaction,S012,yes,S013,VERIFIED,Do not say DOJ sued Adobe/Figma or obtained a court order; Stage 01 found no such public case in the official record.,2026-09-25,
C015,S09,"On December 17, 2023, Adobe and Figma's boards approved a mutual termination agreement and the merger agreement was terminated by mutual written consent.",TERMINATION,UNDISPUTED_FACT,Adobe / Figma,Merger Agreement,S014;S015,yes,S018,VERIFIED,"Use mutual termination/abandonment, not a final regulator order blocking the transaction.",2026-09-25,
C016,S09;S13,"On December 18, 2023, Adobe and Figma said they no longer saw a clear path to obtain the necessary regulatory approvals from the European Commission and UK CMA.",TERMINATION_REASON,ADMISSION,Adobe / Figma,Proposed transaction,S013;S021,yes,S018;S019,VERIFIED,This is the parties' stated joint assessment; do not convert it into a claim that a final legal prohibition had already been entered.,2026-09-25,
C017,S09,"The European Commission's in-depth investigation ended after the parties abandoned the transaction, without a formal Commission decision on the merits.",EU_PROCEDURAL_STATUS,UNDISPUTED_FACT,European Commission DG Competition,M.11033 Adobe/Figma,S011,yes,,VERIFIED,Do not say the EC formally prohibited the merger.,2026-09-25,
C018,S09,The CMA cancelled its Phase 2 merger inquiry after the merger was abandoned; its case page is closed with the outcome 'phase 2 cancellation.',UK_PROCEDURAL_STATUS,UNDISPUTED_FACT,CMA,Proposed transaction,S006,yes,,VERIFIED,Do not call the provisional findings a final CMA prohibition decision.,2026-09-25,
C019,S04;S10,The December 17 mutual termination agreement required Adobe to pay Figma $1 billion in cash within three business days as liquidated damages and made the payment Figma's sole and exclusive remedy under the merger agreement.,TERMINATION_FEE,UNDISPUTED_FACT,Mutual Termination Agreement,Adobe / Figma,S015;S014,yes,S003;S004,VERIFIED,Call it contractual termination fee/liquidated damages. It was not a government fine.,2026-09-25,
C020,S01;S10;S11;S13,"Adobe paid Figma the $1 billion termination fee on December 20, 2023 using cash on hand.",MONEY_CONSEQUENCE,UNDISPUTED_FACT,Adobe,Figma,S016,yes,S018;S019,VERIFIED,"This is an actual cash payment, unlike the approximately $20B acquisition consideration that was never paid because the deal did not close.",2026-09-25,
C021,S10;S11,"Figma confirms it received $1.0 billion from Adobe on December 20, 2023 and recorded the fee within other income, net.",MONEY_CONSEQUENCE,UNDISPUTED_FACT,Figma,Adobe termination fee,S018;S019,yes,S016,VERIFIED,,2026-09-25,
C022,S11,Adobe recorded the $1 billion termination fee in operating expenses in fiscal 2024; its FY2024 filing says the fee was not tax-deductible for financial statement purposes.,ACCOUNTING_CONSEQUENCE,UNDISPUTED_FACT,Adobe,Adobe financial statements,S017,yes,S016,VERIFIED,Do not equate accounting treatment with a regulatory penalty.,2026-09-25,
C023,S12,Figma remained independent after the abandoned merger.,POST_DEAL_STATUS,UNDISPUTED_FACT,Figma,Figma,S021;S018;S019,yes,,VERIFIED,,2026-09-25,
C024,S12,"Figma completed its initial public offering on August 1, 2025, selling 12.5 million company shares at $33 per share and reporting $393.1 million of net proceeds before offering costs.",POST_DEAL_STATUS,UNDISPUTED_FACT,Figma SEC filing,Figma,S019,yes,S018,VERIFIED,"Do not imply the $1B termination fee caused the IPO, IPO price, or later market value.",2026-09-25,
C025,S01;S11,The proposed $20 billion acquisition consideration and the $1 billion termination fee are distinct figures: the acquisition consideration was never paid because the merger did not close; the $1B fee was actually paid after termination.,MONEY_DISTINCTION,UNDISPUTED_FACT,SEC filings / contract,Packaging and script,S001;S003;S015;S016;S019,yes,,VERIFIED,"Never write that Adobe paid $21B, bought Figma for $1B, or paid a $1B fine.",2026-09-25,
C026,S01;S11,"The title formulation 'Adobe’s Failed Figma Deal Cost $1 Billion' refers to Adobe's actual contractual termination payment, not to the total all-in cost of the abandoned transaction.",PACKAGING_GUARDRAIL,UNDISPUTED_FACT,Research synthesis,Title / thumbnail,S015;S016;S017,yes,S018;S019,VERIFIED,"If script discusses other advisory, financing or opportunity costs, keep them separate from the title's $1B core consequence.",2026-09-25,
C027,S07;S09,"The CMA's November 2023 concerns and the European Commission's Statement of Objections were preliminary regulatory positions, not final findings that Adobe or Figma violated antitrust law.",LEGAL_STATUS_GUARDRAIL,UNDISPUTED_FACT,CMA / European Commission,Regulatory record,S007;S008;S011,yes,S006,VERIFIED,Use provisional/preliminary language every time the concerns are summarized.,2026-09-25,
C028,S09;S13,"The public primary record supports saying regulatory pressure made the deal untenable to the parties, but it does not support claiming that a regulator imposed the $1B payment or that a final prohibition order forced the termination.",CAUSATION_GUARDRAIL,ANALYSIS,Research synthesis,Narrative causation,S013;S015;S006;S011,yes,S012,VERIFIED,Narrative chain: regulatory concerns + no clear path to approvals -> mutual termination -> contractual fee.,2026-09-25,
C029,S08,The parties publicly maintained that the proposed combination had pro-competitive benefits even as UK and EU authorities expressed competition concerns.,BALANCE,DENIAL,Adobe / Figma,Regulatory concerns,S009;S010;S013,yes,S007;S011,VERIFIED,Present both positions without deciding disputed antitrust merits because no final merits decision issued.,2026-09-25,
C030,S06;S09,Stage 01 found no public DOJ complaint or court judgment blocking the Adobe/Figma merger; the official DOJ source documents an investigation and post-abandonment statement.,SOURCE_LIMITATION,ANALYSIS,Research audit,U.S. antitrust posture,S012,yes,S013,VERIFIED,Do not write 'DOJ sued to block the merger' unless a later primary filing is located.,2026-09-25,Negative-source finding; Stage 16 must refresh if used.
