generation_slot,beat_id,prep_id,asset_id,asset_class,usable,input_file,binding_mode
G050,B072,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G050,B072,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G051,B073,D_RV054,RV054,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV054_CMA_CASE_TIMELINE_CROP.png,ATTACH_PREPARED_INPUT
G052,B074,D_RV060,RV060,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV060_DOJ_STATEMENT_CROP.png,ATTACH_PREPARED_INPUT
G052,B074,P_RV070,RV070,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV070_DOJ_HQ.jpg,ATTACH_PREPARED_INPUT
G053,B075,P_RV070,RV070,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV070_DOJ_HQ.jpg,ATTACH_PREPARED_INPUT
G054,B076,P_RV004,RV004,REAL-PHOTO,YES_CLEAR,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,ATTACH_PREPARED_INPUT
G055,B077,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G056,B078,D_RV062,RV062,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV062_TERMINATION_AGREEMENT_CROP.png,ATTACH_PREPARED_INPUT
G057,B079,D_RV061,RV061,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV061_8K_TERMINATION_CROP.png,ATTACH_PREPARED_INPUT
G058,B080,P_RV004,RV004,REAL-PHOTO,YES_CLEAR,12_SOURCE_PREP/RV004_ADOBE_HQ_SAN_JOSE.jpg,ATTACH_PREPARED_INPUT
G059,B081,D_RV063,RV063,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV063_10K_PAYMENT_CROP.png,ATTACH_PREPARED_INPUT
G059,B081,D_RV064,RV064,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV064_S1_FEE_RECEIPT_CROP.png,ATTACH_PREPARED_INPUT
G060,B082,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G060,B082,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G061,B084,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G061,B084,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G062,B085,D_RV062,RV062,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV062_TERMINATION_AGREEMENT_CROP.png,ATTACH_PREPARED_INPUT
G063,B087,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G065,B089,D_RV063,RV063,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV063_10K_PAYMENT_CROP.png,ATTACH_PREPARED_INPUT
G065,B089,D_RV064,RV064,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV064_S1_FEE_RECEIPT_CROP.png,ATTACH_PREPARED_INPUT
G066,B090,D_RV047,RV047,DOCUMENT,YES_EDITORIAL,12_SOURCE_PREP/RV047_ANNOUNCEMENT_HEADLINE_CROP.png,ATTACH_PREPARED_INPUT
G067,B092,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G068,B093,P_RV015,RV015,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV015_CONFIG_2023_KEYNOTE.jpg,ATTACH_PREPARED_INPUT
G068,B093,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G069,B094,D_RV064,RV064,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV064_S1_FEE_RECEIPT_CROP.png,ATTACH_PREPARED_INPUT
G070,B095,P_RV019,RV019,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV019_NYSE_FIGMA_BANNER.jpg,ATTACH_PREPARED_INPUT
G070,B095,D_RV072,RV072,CONTEXT,YES_EDITORIAL,12_SOURCE_PREP/RV072_S1_ANNOUNCEMENT_CROP.png,ATTACH_PREPARED_INPUT
G071,B096,D_RV071,RV071,CONTEXT,YES_EDITORIAL,12_SOURCE_PREP/RV071_IPO_PRICING_CROP.png,ATTACH_PREPARED_INPUT
G072,B097,P_RV020,RV020,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV020_NYSE_FIGMA_STREET.jpg,ATTACH_PREPARED_INPUT
G073,B098,P_RV021,RV021,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV021_FIGMA_COMMONS_NYSE.jpg,ATTACH_PREPARED_INPUT
G073,B098,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G074,B099,P_RV023,RV023,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV023_TIMES_SQUARE_BILLBOARD.jpg,ATTACH_PREPARED_INPUT
G075,B100,P_RV018,RV018,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV018_FIELD_IPO_ERA.jpg,ATTACH_PREPARED_INPUT
G076,B101,P_RV022,RV022,REAL-PHOTO,YES_EDITORIAL,12_SOURCE_PREP/RV022_NYSE_BANNER_SETUP.jpg,ATTACH_PREPARED_INPUT
G077,B102,P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,ATTACH_PREPARED_INPUT
G077,B102,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
G078,B103,D_RV051,RV051,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV051_JULY5_REVERSE_FEE_CROP.png,ATTACH_PREPARED_INPUT
G079,B104,D_RV056,RV056,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV056_CMA_PROVISIONAL_FINDINGS_CROP.png,ATTACH_PREPARED_INPUT
G079,B104,D_RV057,RV057,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV057_CMA_POSSIBLE_REMEDIES_CROP.png,ATTACH_PREPARED_INPUT
G080,B105,D_RV054,RV054,DOCUMENT,YES_CLEAR,12_SOURCE_PREP/RV054_CMA_CASE_TIMELINE_CROP.png,ATTACH_PREPARED_INPUT
G080,B105,P_RV068,RV068,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV068_BERLAYMONT.jpg,ATTACH_PREPARED_INPUT
G080,B105,P_RV070,RV070,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV070_DOJ_HQ.jpg,ATTACH_PREPARED_INPUT
G081,B106,D_RV061,RV061,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV061_8K_TERMINATION_CROP.png,ATTACH_PREPARED_INPUT
G082,B107,D_RV062,RV062,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV062_TERMINATION_AGREEMENT_CROP.png,ATTACH_PREPARED_INPUT
G082,B107,D_RV063,RV063,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV063_10K_PAYMENT_CROP.png,ATTACH_PREPARED_INPUT
G083,B108,D_RV049B,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_NOT_A_PENALTY_CROP.png,ATTACH_PREPARED_INPUT
G084,B109,D_RV052,RV052,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV052_JULY20_FEE_AGREED_CROP.png,ATTACH_PREPARED_INPUT
G084,B109,P_RV068,RV068,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV068_BERLAYMONT.jpg,ATTACH_PREPARED_INPUT
G085,B110,P_RV065,RV065,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G085,B110,P_RV066,RV066,CONTEXT,YES_CLEAR,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,ATTACH_PREPARED_INPUT
G085,B110,D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,ATTACH_PREPARED_INPUT
