beat_id,section,start,end,duration,spoken_text,production_route,generation_slot,reference_assets,evidence_lock,legal_precision,subtitle_safe,style_note
B011,S02,89.960,94.540,4.580,even though Adobe and Figma later disputed how directly their products competed.,GENERATED_SOURCE_STYLED,G006,RV015,REFERENCE_ONLY,L,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B012,S02,95.480,104.940,9.460,"On September fifteenth, twenty twenty-two, Adobe and Figma announced a definitive merger agreement. The headline number was approximately twenty billion dollars.",AUTHENTIC_DOCUMENT,,RV047,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B013,S02,105.940,114.760,8.820,The consideration was expected to be roughly half cash and half Adobe stock. But the agreement did not guarantee that the transaction would close.,GENERATED_SOURCE_STYLED,G007,RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B014,S02,115.820,123.680,7.860,"It still depended on regulatory approvals and other closing conditions. And by the time the public heard the twenty-billion-dollar headline,",GENERATED_SOURCE_STYLED,G008,RV015,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B015,S02,124.300,130.120,5.820,the contract already contained another number that would later become just as important. One billion dollars.,GENERATED_SOURCE_STYLED,G009,RV044;RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B016,S03,131.120,137.460,6.340,The negotiation record filed with the Securities and Exchange Commission shows how that number entered the deal.,AUTHENTIC_DOCUMENT,,RV050,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B017,S03,138.300,146.580,8.280,"Adobe and Figma had discussed possible combinations before twenty twenty-two, but those earlier conversations did not produce a transaction.",GENERATED_SOURCE_STYLED,G010,RV052,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B018,S03,147.460,155.480,8.020,"Serious acquisition talks restarted in April twenty twenty-two. In May, the companies entered a confidentiality agreement",GENERATED_SOURCE_STYLED,G011,RV012;RV050,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B019,S03,155.480,161.160,5.680,and Figma began providing confidential information to Adobe. Then came the price.,GENERATED_SOURCE_STYLED,G012,RV051,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B020,S03,162.140,169.340,7.200,"On June nineteenth, twenty twenty-two, Adobe delivered a non-binding proposal to acquire Figma for twenty billion dollars,",AUTHENTIC_DOCUMENT,,RV050,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B021,S03,170.080,179.580,9.500,roughly half cash and half stock. That proposal did not yet include a termination fee. Figma did not negotiate only the headline price.,GENERATED_SOURCE_STYLED,G013,RV012;RV050,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B022,S03,180.280,189.880,9.600,"It also negotiated what would happen if the transaction could not close. On July fifth, Figma proposed a reverse termination fee tied to failure",AUTHENTIC_DOCUMENT,,RV051,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B023,S03,189.880,197.260,7.380,"to obtain required antitrust approvals. Then, on July twentieth, Adobe came back with a revised proposal.",AUTHENTIC_DOCUMENT,,RV052,EXACT_SOURCE,M,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B024,S03,198.400,207.520,9.120,The twenty-billion-dollar price remained. And now the proposal included a one-billion-dollar reverse termination fee. That sequence matters.,GENERATED_SOURCE_STYLED,G014,RV001;RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B025,S03,208.580,216.780,8.200,"June nineteenth: twenty billion dollars, no fee. July fifth: Figma asks for protection against regulatory failure.",EDITOR_GFX,,,JUN19_JUL5_JUL20_NEGOTIATION_TIMELINE,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B026,S03,217.820,222.920,5.100,July twentieth: Adobe agrees to a one-billion-dollar reverse termination fee.,GENERATED_SOURCE_STYLED,G015,RV051,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B027,S03,223.680,229.520,5.840,"More than a year before the acquisition ended, the billion-dollar cost was already inside the deal architecture.",GENERATED_SOURCE_STYLED,G016,RV001;RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B028,S04,230.660,238.600,7.940,A reverse termination fee is not a punishment imposed by the government. It is a risk-allocation term negotiated by the parties to a transaction.,GENERATED_SOURCE_STYLED,G017,RV049,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B029,S04,238.600,246.320,7.720,"In simple terms, the buyer agrees that if specified closing failures occur, the seller can receive a defined payment.",GENERATED_SOURCE_STYLED,G018,RV062,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B030,S04,247.160,257.520,10.360,"In the Adobe-Figma agreement, the number was one billion dollars. Section eight-point-two of the merger agreement set out the fee in defined antitrust and closing circumstances.",AUTHENTIC_DOCUMENT,,RV049,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B031,S04,258.500,265.220,6.720,And the contract makes an unusually useful distinction for this story. It says the termination fee is not a penalty.,GENERATED_SOURCE_STYLED,G019,RV062,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B032,S04,265.220,273.100,7.880,It describes the payment as liquidated damages. So the agreement did more than describe the deal the companies wanted to close.,GENERATED_SOURCE_STYLED,G020,RV061,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B033,S04,273.980,278.820,4.840,It also described a financial consequence if that deal failed under the specified conditions.,GENERATED_SOURCE_STYLED,G021,RV049;RV061,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B034,S04,279.980,285.720,5.740,The twenty-billion-dollar number described the upside. The one-billion-dollar clause priced part of the downside.,EDITOR_GFX,,,UPSIDE_$20B_VS_DOWNSIDE_$1B,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B035,S05,286.680,292.860,6.180,"On September fifteenth, twenty twenty-two, the definitive agreement was signed and the transaction became public.",GENERATED_SOURCE_STYLED,G022,RV025,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B036,S05,293.860,303.080,9.220,"Adobe was proposing one of the largest software acquisitions of its era. Figma would remain a separate company until closing, but the plan was for it to become part of Adobe.",GENERATED_SOURCE_STYLED,G023,RV012;RV047,REFERENCE_ONLY,L,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B037,S05,303.880,308.020,4.140,"At that moment, the story looked like a conventional giant technology acquisition.",GENERATED_SOURCE_STYLED,G024,RV025,REFERENCE_ONLY,L,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B038,S05,308.920,315.060,6.140,A buyer. A target. A twenty-billion-dollar headline. Regulatory approvals to obtain.,GENERATED_SOURCE_STYLED,G025,RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B039,S05,315.980,325.380,9.400,But there was already a one-billion-dollar failure mechanism sitting inside the contract. That is easy to miss in a merger announcement. The public headline is the purchase price.,GENERATED_SOURCE_STYLED,G026,RV025;RV001,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B040,S05,325.940,333.460,7.520,"The failure terms live deeper in the agreement, because they matter only if something goes wrong. The question was whether this one ever would.",GENERATED_SOURCE_STYLED,G027,RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B041,S05,334.100,337.160,3.060,"In twenty twenty-three, that question stopped being theoretical.",GENERATED_SOURCE_STYLED,G028,RV025,REFERENCE_ONLY,L,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B042,S06,338.280,348.700,10.420,"The United Kingdom was one of the first places where the pressure became formal. On May third, twenty twenty-three, the Competition and Markets Authority opened its inquiry into the proposed acquisition.",GENERATED_SOURCE_STYLED,G029,RV070;RV024,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B043,S06,349.400,359.780,10.380,"By June thirtieth, the CMA said there were grounds for deeper competition concerns. On July thirteenth, the transaction was referred for an in-depth Phase Two investigation.",GENERATED_SOURCE_STYLED,G030,RV054,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B044,S06,361.020,368.140,7.120,"The European Commission received formal notification on June thirtieth. On August seventh, it opened its own in-depth investigation.",GENERATED_SOURCE_STYLED,G031,RV068,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B045,S06,369.060,377.820,8.760,"And in the United States, the Justice Department's Antitrust Division was also investigating the transaction. These were separate processes with different procedures.",EDITOR_GFX,,,UK_EU_US_THREE_TRACK_MAP,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B046,S06,378.720,382.580,3.860,The UK and EU reviews developed formal competition objections.,GENERATED_SOURCE_STYLED,G032,RV054,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B047,S06,383.760,394.540,10.780,"The public DOJ record for this story establishes an investigation, not a filed merger lawsuit. The important business point was that signing and closing were two different events.",GENERATED_SOURCE_STYLED,G033,RV068,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B048,S06,395.560,403.160,7.600,"Adobe and Figma already had a merger agreement, but the companies still needed the required approvals before the transaction could actually be completed.",GENERATED_SOURCE_STYLED,G034,RV024;RV054,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B049,S06,403.160,411.760,8.600,"As the reviews deepened, the one-billion-dollar clause did not change. What changed was the chance that the companies might eventually need it.",GENERATED_SOURCE_STYLED,G035,RV059,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B050,S06,412.380,419.620,7.240,"The fee mattered because it had already been written into their own contract, and the possibility of a failed closing was becoming harder to ignore.",GENERATED_SOURCE_STYLED,G036,RV070,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B051,S07,420.520,426.380,5.860,"By November twenty twenty-three, the UK and EU concerns had become much more explicit.",GENERATED_SOURCE_STYLED,G037,RV059;RV056,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B052,S07,427.380,437.920,10.540,"On November seventeenth, the European Commission adopted a Statement of Objections. That was a formal statement of preliminary concerns, not a final prohibition decision.",AUTHENTIC_DOCUMENT,,RV059,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B053,S07,438.820,443.920,5.100,"Then, on November twenty-eighth, the UK CMA published provisional findings.",AUTHENTIC_DOCUMENT,,RV056,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B054,S07,444.940,453.400,8.460,"The CMA provisionally identified competition concerns involving all-in-one product design, vector editing and raster editing software.",AUTHENTIC_PRODUCT_UI,,RV037;RV044,EXACT_UI,H,BOTTOM_15_PERCENT_CLEAR,Authentic UI inside channel frame; preserve interface; editor-native crop/highlight only.
B055,S07,454.040,463.360,9.320,"The same day, it published a notice of possible remedies. Those possible remedies included prohibition of the merger and structural divestitures.",AUTHENTIC_DOCUMENT,,RV057,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B056,S07,464.240,474.500,10.260,That was a major escalation in practical terms. A provisional concern is one thing. A remedies discussion forces the parties to confront what the deal might have to look like,GENERATED_SOURCE_STYLED,G038,RV057,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B057,S07,474.500,481.820,7.320,if the concerns are not resolved. The CMA document also discussed a possible divestiture of Figma Design,GENERATED_SOURCE_STYLED,G039,RV059;RV056,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B058,S07,481.820,490.200,8.380,and said that remedy would be substantially similar to prohibition while introducing additional risks. The pressure was real.,GENERATED_SOURCE_STYLED,G040,RV057,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B059,S07,491.120,501.140,10.020,"But neither the CMA nor the European Commission had issued a final decision prohibiting the transaction. The final legal ""no"" had not yet arrived.",EDITOR_GFX,,,PRELIMINARY_PROVISIONAL_FINAL_STATUS,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B060,S08,502.040,509.740,7.700,"Adobe and Figma did not accept the regulators' theories as settled fact. In their submissions to the CMA, the companies argued",GENERATED_SOURCE_STYLED,G041,RV001;RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B061,S08,509.740,519.500,9.760,that their products and capabilities were complementary. They argued that the transaction would be pro-competitive. And they strongly disagreed with the provisional findings.,AUTHENTIC_PRODUCT_UI,,RV042;RV045,EXACT_UI,H,BOTTOM_15_PERCENT_CLEAR,Authentic UI inside channel frame; preserve interface; editor-native crop/highlight only.
B062,S08,520.580,528.940,8.360,That counter-position belongs in the film for a simple reason: neither the UK nor the EU process reached a final merits decision.,GENERATED_SOURCE_STYLED,G042,RV045,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B063,S08,529.760,537.140,7.380,"The public record contains serious regulatory concerns, but it also contains the companies' detailed disagreement with those concerns.",GENERATED_SOURCE_STYLED,G043,RV001;RV012,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B064,S08,538.340,544.420,6.080,"By December, the argument had shifted toward what kinds of remedies could realistically address the regulators' concerns.",GENERATED_SOURCE_STYLED,G044,RV042,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B065,S08,545.440,555.500,10.060,"On December fourteenth, Adobe and Figma submitted their response to the CMA's remedies notice. In that response, the companies argued that the direction of the possible remedies",AUTHENTIC_DOCUMENT,,RV058,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B066,S08,555.500,563.200,7.700,effectively pointed toward either prohibition or divestiture of Figma Design. That was the companies' characterization.,GENERATED_SOURCE_STYLED,G045,RV001;RV012,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B067,S08,564.300,574.220,9.920,It was not a final CMA ruling. But it captures how narrow they said the path had become. No final UK or EU prohibition order had been issued.,GENERATED_SOURCE_STYLED,G046,RV042,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B068,S08,575.080,581.860,6.780,Yet the practical question was now unavoidable. Could this transaction still reach the approvals required to close?,GENERATED_SOURCE_STYLED,G047,RV058,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B069,S09,582.720,592.620,9.900,"The final move came from Adobe and Figma themselves. On December seventeenth, twenty twenty-three, the companies approved and signed a mutual termination agreement.",AUTHENTIC_DOCUMENT,,RV062,EXACT_SOURCE,H,BOTTOM_15_PERCENT_CLEAR,Exact document excerpt in WHAT IT COST evidence-frame treatment; no AI recreation of material text.
B070,S09,593.360,603.920,10.560,"The next day, they announced that the acquisition was over. Their public explanation was direct. They said there was no clear path to obtaining the necessary regulatory approvals",GENERATED_SOURCE_STYLED,G048,RV001,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B071,S09,603.920,612.420,8.500,from the European Commission and the UK CMA. That is different from saying a regulator had already issued a final prohibition order.,GENERATED_SOURCE_STYLED,G049,RV061,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B072,S09,613.420,619.760,6.340,The companies ended the deal by mutual agreement before final UK and EU merits decisions arrived.,GENERATED_SOURCE_STYLED,G050,RV013;RV001,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B073,S09,620.880,630.260,9.380,"After the abandonment, the CMA cancelled its Phase Two inquiry. The European Commission's investigation ended without a formal Commission decision on the merits.",GENERATED_SOURCE_STYLED,G051,RV060,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B074,S09,631.240,639.700,8.460,"And in the United States, the Justice Department's Antitrust Division publicly welcomed the abandonment and confirmed that it had investigated the transaction.",GENERATED_SOURCE_STYLED,G052,RV062,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B075,S09,640.700,647.060,6.360,The public Stage One record does not show a DOJ merger lawsuit or a court judgment blocking the deal.,GENERATED_SOURCE_STYLED,G053,RV001;RV060,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B076,S09,647.900,658.240,10.340,So the transaction did not end with a final courtroom loss. It ended with a mutual termination after the companies said they no longer saw a clear path to the approvals they needed.,GENERATED_SOURCE_STYLED,G054,RV061,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B077,S09,659.040,662.400,3.360,And that is the moment the billion-dollar clause stopped being theoretical.,GENERATED_SOURCE_STYLED,G055,RV013,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B078,S10,663.680,669.360,5.680,The mutual termination agreement did not just end the acquisition. It specified what happened next.,GENERATED_SOURCE_STYLED,G056,RV063;RV064,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B079,S10,670.180,679.520,9.340,Adobe was required to pay Figma one billion dollars in cash within three business days. The agreement described that payment as liquidated damages.,GENERATED_SOURCE_STYLED,G057,RV061,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B080,S10,680.580,689.260,8.680,"It also made the payment Figma's sole and exclusive remedy under the merger agreement. On December twentieth, twenty twenty-three, Adobe paid.",GENERATED_SOURCE_STYLED,G058,RV063,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B081,S10,690.300,697.820,7.520,Adobe later disclosed that it used cash on hand. Figma later disclosed that it received the same one-billion-dollar payment.,GENERATED_SOURCE_STYLED,G059,RV061;RV062,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B082,S10,698.480,707.700,9.220,Those later filings are important because they confirm the consequence from both sides of the transaction. The fee was not merely a number left in an abandoned contract.,GENERATED_SOURCE_STYLED,G060,RV063,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B083,S10,708.420,718.400,9.980,"It became an actual transfer of cash. On December seventeenth, the companies ended the merger. Three days later, the one-billion-dollar clause became cash.",EDITOR_GFX,,,DEC17_TO_DEC20_PAYMENT_TIMELINE,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B084,S10,719.220,725.420,6.200,The acquisition disappeared. The termination fee did not. And the payment did not come from a regulator's invoice.,GENERATED_SOURCE_STYLED,G061,RV062;RV063,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B085,S10,726.300,729.080,2.780,It came from a contract the companies had negotiated themselves.,GENERATED_SOURCE_STYLED,G062,RV064,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B086,S11,730.280,738.460,8.180,"This story has two giant numbers, and they mean completely different things. About twenty billion dollars was the proposed acquisition consideration.",EDITOR_GFX,,,$20B_VS_$1B_TWO_NUMBER_SPLIT,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B087,S11,739.440,749.260,9.820,"That was the amount associated with the deal Adobe wanted to close. Because the acquisition never closed, Adobe did not pay Figma twenty billion dollars to buy the company.",GENERATED_SOURCE_STYLED,G063,RV063,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
