prep_id,asset_id,asset_class,usable,url,source,output_file,prep_mode,prep_instruction,rights_note,used_by_slots,status
P_RV021,RV021,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,12_SOURCE_PREP/RV021_FIGMA_COMMONS_NYSE.jpg,SELECT_CROP_UNCHANGED,Outdoor installation crop.,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G073,PREP_REQUIRED_BEFORE_GENERATION
P_RV022,RV022,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,12_SOURCE_PREP/RV022_NYSE_BANNER_SETUP.jpg,SELECT_CROP_UNCHANGED,Scaffolding/banner setup crop.,Official IPO event photo. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G076,PREP_REQUIRED_BEFORE_GENERATION
P_RV023,RV023,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,12_SOURCE_PREP/RV023_TIMES_SQUARE_BILLBOARD.jpg,SELECT_CROP_UNCHANGED,Billboard crop; no added text.,Official IPO/event image. Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G074,PREP_REQUIRED_BEFORE_GENERATION
P_RV025,RV025,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/adobe-figma-faq/,Figma Blog,12_SOURCE_PREP/RV025_ADOBE_FIGMA_DEAL_GRAPHIC.png,SELECT_CROP_UNCHANGED,"Official Figma + Adobe deal graphic, full frame, unchanged.",Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G002;G022;G026;G047;G061;G063;G068;G077,PREP_REQUIRED_BEFORE_GENERATION
P_RV033,RV033,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/whats-new-in-figma-july-2022/,Figma Blog,12_SOURCE_PREP/RV033_FIGMA_COLLAB_WORKFLOW_UI.png,EXACT_SCREENSHOT_CROP,Official Figma product visual; crop only.,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G039,PREP_REQUIRED_BEFORE_GENERATION
P_RV037,RV037,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/introducing-dev-mode/,Figma Blog,12_SOURCE_PREP/RV037_FIGMA_DEV_MODE_UI.png,EXACT_SCREENSHOT_CROP,Official Dev Mode visual; crop only.,Official Figma blog/event visual; copyright retained. Documentary/editorial use only; minimal necessary use and source retained.,G006,PREP_REQUIRED_BEFORE_GENERATION
P_RV044,RV044,PRODUCT-UI,YES_EDITORIAL,https://www.adobe.com/products/xd/wireframing-tool.html,Adobe XD documentation,12_SOURCE_PREP/RV044_ADOBE_XD_WORKFLOW_UI.png,EXACT_SCREENSHOT_CROP,Official Adobe XD documentation visual; crop only.,Official Adobe page/image; copyright retained unless separately licensed. Documentary/editorial use only; minimal necessary use and source retained.,G006,PREP_REQUIRED_BEFORE_GENERATION
D_RV047,RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,12_SOURCE_PREP/RV047_ANNOUNCEMENT_HEADLINE_CROP.png,TIGHT_AUTHENTIC_CROP,Adobe announcement: headline + approximately $20B consideration line; keep date context.,Official Adobe press/news material; copyright retained unless stated otherwise. Documentary/editorial quotation only.,G009;G027;G066,PREP_REQUIRED_BEFORE_GENERATION
D_RV048,RV048,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_8k.htm,SEC / Adobe Form 8-K,12_SOURCE_PREP/RV048_8K_MERGER_AGREEMENT_CROP.png,TIGHT_AUTHENTIC_CROP,Form 8-K Item 1.01 opening passage announcing the merger agreement.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G007;G021;G034,PREP_REQUIRED_BEFORE_GENERATION
D_RV049A,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,12_SOURCE_PREP/RV049_S8_2_TERMINATION_FEE_CROP.png,TIGHT_AUTHENTIC_CROP,"Merger Agreement Section 8.2: the passage setting the $1,000,000,000 termination fee.",Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G001;G009;G026;G035;G055;G061;G067;G073;G077;G085,PREP_REQUIRED_BEFORE_GENERATION
D_RV049B,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,12_SOURCE_PREP/RV049_NOT_A_PENALTY_CROP.png,TIGHT_AUTHENTIC_CROP,Merger Agreement Section 8.2: the passage stating the fee is not a penalty / is liquidated damages.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G019;G083,PREP_REQUIRED_BEFORE_GENERATION
D_RV051,RV051,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,12_SOURCE_PREP/RV051_JULY5_REVERSE_FEE_CROP.png,TIGHT_AUTHENTIC_CROP,"424B3 Background of the Merger: July 5, 2022 Figma reverse-termination-fee proposal passage.",Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G078,PREP_REQUIRED_BEFORE_GENERATION
D_RV052,RV052,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,12_SOURCE_PREP/RV052_JULY20_FEE_AGREED_CROP.png,TIGHT_AUTHENTIC_CROP,"424B3 Background of the Merger: July 20, 2022 revised Adobe proposal with $1B fee passage.",Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G003;G084,PREP_REQUIRED_BEFORE_GENERATION
D_RV053,RV053,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000055/adbe-20230303.htm,SEC / Adobe Form 10-Q,12_SOURCE_PREP/RV053_10Q_CLOSING_RISK_CROP.png,TIGHT_AUTHENTIC_CROP,Adobe Form 10-Q risk disclosure passage on the $1B fee if closing fails.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G016;G036,PREP_REQUIRED_BEFORE_GENERATION
D_RV054,RV054,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,12_SOURCE_PREP/RV054_CMA_CASE_TIMELINE_CROP.png,TIGHT_AUTHENTIC_CROP,"GOV.UK CMA case page: case timeline entries (Phase 1, Phase 2, cancellation).",UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,G029;G037;G042;G051;G080,PREP_REQUIRED_BEFORE_GENERATION
D_RV055,RV055,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA Phase 1 decision linked from case page,12_SOURCE_PREP/RV055_CMA_PHASE1_DECISION_CROP.png,TIGHT_AUTHENTIC_CROP,CMA Phase 1 decision title block.,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,G030;G032,PREP_REQUIRED_BEFORE_GENERATION
D_RV056,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,12_SOURCE_PREP/RV056_CMA_PROVISIONAL_FINDINGS_CROP.png,TIGHT_AUTHENTIC_CROP,CMA provisional findings summary title block (must show the word provisional).,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,G040;G043;G079,PREP_REQUIRED_BEFORE_GENERATION
D_RV057,RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,12_SOURCE_PREP/RV057_CMA_POSSIBLE_REMEDIES_CROP.png,TIGHT_AUTHENTIC_CROP,CMA Notice of possible remedies title block.,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,G044;G079,PREP_REQUIRED_BEFORE_GENERATION
D_RV058,RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,12_SOURCE_PREP/RV058_PARTIES_RESPONSE_CROP.png,TIGHT_AUTHENTIC_CROP,Adobe/Figma response to remedies notice title block with party attribution.,UK CMA/GOV.UK Crown-copyright material — default OGL v3.0 unless item-level exclusion/third-party credit; attribute source.,G043,PREP_REQUIRED_BEFORE_GENERATION
D_RV060,RV060,DOCUMENT,YES_CLEAR,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. DOJ Antitrust Division,12_SOURCE_PREP/RV060_DOJ_STATEMENT_CROP.png,TIGHT_AUTHENTIC_CROP,DOJ Antitrust Division statement headline + first paragraph; no seal close-up.,DOJ website material is public domain unless otherwise indicated; cite DOJ; seals/logos remain restricted.,G052,PREP_REQUIRED_BEFORE_GENERATION
D_RV061,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,12_SOURCE_PREP/RV061_8K_TERMINATION_CROP.png,TIGHT_AUTHENTIC_CROP,Adobe Form 8-K: mutual termination passage incl. no clear path language and three-business-day payment.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G048;G057;G081,PREP_REQUIRED_BEFORE_GENERATION
D_RV062,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,12_SOURCE_PREP/RV062_TERMINATION_AGREEMENT_CROP.png,TIGHT_AUTHENTIC_CROP,Mutual Termination Agreement: liquidated damages / sole and exclusive remedy passage.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G056;G062;G082,PREP_REQUIRED_BEFORE_GENERATION
D_RV063,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,12_SOURCE_PREP/RV063_10K_PAYMENT_CROP.png,TIGHT_AUTHENTIC_CROP,"Adobe FY2023 Form 10-K: December 20, 2023 $1B termination fee paid passage.",Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G005;G059;G065;G082,PREP_REQUIRED_BEFORE_GENERATION
D_RV064,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,12_SOURCE_PREP/RV064_S1_FEE_RECEIPT_CROP.png,TIGHT_AUTHENTIC_CROP,Figma Form S-1: receipt of the $1.0 billion termination fee passage.,Authentic SEC-hosted filing/contract excerpt. Use as sourced documentary evidence with context/provenance.,G059;G065;G069,PREP_REQUIRED_BEFORE_GENERATION
P_RV065,RV065,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Adobe_Corporate_logo.svg,Wikimedia Commons / Adobe,12_SOURCE_PREP/RV065_ADOBE_IDENTIFIER.png,UNCHANGED_IDENTIFIER,Official identifier file unchanged; small scale only.,Public-domain/simple text or geometric logo; trademark restrictions still apply.,G011;G014;G017;G025;G038;G050;G060;G085,PREP_REQUIRED_BEFORE_GENERATION
P_RV066,RV066,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Figma-logo.svg,Wikimedia Commons / Figma,12_SOURCE_PREP/RV066_FIGMA_IDENTIFIER.png,UNCHANGED_IDENTIFIER,Official identifier file unchanged; small scale only.,Public-domain/simple text or geometric logo; trademark restrictions still apply.,G011;G017;G023;G025;G038;G045;G050;G060;G085,PREP_REQUIRED_BEFORE_GENERATION
P_RV068,RV068,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Berlaymont_EU_Building-Brussels.jpg,Wikimedia Commons / acediscovery,12_SOURCE_PREP/RV068_BERLAYMONT.jpg,SELECT_CROP_UNCHANGED,European Commission HQ establishing crop.,CC BY 4.0 — attribution + indicate changes required.,G028;G032;G037;G049;G080;G084,PREP_REQUIRED_BEFORE_GENERATION
P_RV069,RV069,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Berlaymont_building_european_commission.jpg,Wikimedia Commons,12_SOURCE_PREP/RV069_BERLAYMONT_ALT.jpg,SELECT_CROP_UNCHANGED,Alternate Berlaymont exterior crop.,CC BY-SA 2.5 — attribution + share-alike for adaptations.,G031;G046,PREP_REQUIRED_BEFORE_GENERATION
P_RV070,RV070,CONTEXT,YES_CLEAR,"https://commons.wikimedia.org/wiki/File:U.S._Department_of_Justice_headquarters,_August_12,_2006.jpg",Wikimedia Commons / Coolcaesar,12_SOURCE_PREP/RV070_DOJ_HQ.jpg,SELECT_CROP_UNCHANGED,DOJ headquarters exterior; no seal close-up.,CC BY-SA 3.0 / GFDL — attribution; preserve applicable license terms.,G033;G052;G053;G080,PREP_REQUIRED_BEFORE_GENERATION
D_RV071,RV071,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/ipo-pricing/,Figma Blog,12_SOURCE_PREP/RV071_IPO_PRICING_CROP.png,EXACT_SCREENSHOT_CROP,Official Figma IPO pricing announcement headline block.,Official Figma press/blog material; copyright retained. Documentary/editorial quotation only.,G071,PREP_REQUIRED_BEFORE_GENERATION
D_RV072,RV072,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/s1-public/,Figma Blog,12_SOURCE_PREP/RV072_S1_ANNOUNCEMENT_CROP.png,EXACT_SCREENSHOT_CROP,Official Figma S-1 public announcement headline block.,Official Figma press/blog material; copyright retained. Documentary/editorial quotation only.,G070,PREP_REQUIRED_BEFORE_GENERATION
