asset_id,scene_id,asset_type,provenance_class,source_id,generator_or_origin,version,status,storage_uri,sha256,rights_or_usage_note,notes
G006,B011,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV037;RV044,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B012,B012,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV047,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G007,B013,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV048,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G008,B014,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV004,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G009,B015,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV047;RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B016,B016,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV050,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G010,B017,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV013,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G011,B018,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV065;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G012,B019,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV001,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B020,B020,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV050,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G013,B021,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV050,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B022,B022,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV051,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
DOC_B023,B023,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV052,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G014,B024,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV012;RV065,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
GFX_B025,B025,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec JUN19_JUL5_JUL20_NEGOTIATION_TIMELINE; no generative typography.
G015,B026,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV004,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G016,B027,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV053,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G017,B028,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV065;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G018,B029,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049;RV062,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B030,B030,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV049,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G019,B031,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G020,B032,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049;RV062,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G021,B033,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV048,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
GFX_B034,B034,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec UPSIDE_$20B_VS_DOWNSIDE_$1B; no generative typography.
G022,B035,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV025,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G023,B036,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV009;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G024,B037,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV016,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G025,B038,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV065;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G026,B039,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV025;RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G027,B040,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV047,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G028,B041,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV068,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G029,B042,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV054,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G030,B043,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV055,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G031,B044,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV069,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
GFX_B045,B045,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec UK_EU_US_THREE_TRACK_MAP; no generative typography.
G032,B046,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV055;RV068,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G033,B047,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV070,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G034,B048,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV048,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G035,B049,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV049,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G036,B050,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV053,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G037,B051,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV054;RV068,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B052,B052,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV059,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
DOC_B053,B053,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV056,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
UI_B054,B054,AUTHENTIC_PRODUCT_UI,AUTHENTIC_SOURCE,RV037;RV044,Official product/UI source,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact official UI crop(s); no synthetic UI.
DOC_B055,B055,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV057,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G038,B056,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV065;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G039,B057,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV033,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G040,B058,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV056,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
GFX_B059,B059,EDITOR_GFX,EDITOR_RECREATION_VERIFIED_FACTS,,Deterministic editor-native graphics,v17,SPEC_LOCKED_NOT_RENDERED,,,Editor-native verified factual graphic.,Exact GFX spec PRELIMINARY_PROVISIONAL_FINAL_STATUS; no generative typography.
G041,B060,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV009;RV012,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
UI_B061,B061,AUTHENTIC_PRODUCT_UI,AUTHENTIC_SOURCE,RV042;RV045,Official product/UI source,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact official UI crop(s); no synthetic UI.
G042,B062,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV054,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G043,B063,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV056;RV058,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G044,B064,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV057,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B065,B065,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV058,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G045,B066,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV004;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G046,B067,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV069,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G047,B068,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV025,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
DOC_B069,B069,AUTHENTIC_DOCUMENT_CROP,AUTHENTIC_SOURCE,RV062,Stage01B authentic document,v17,PREP_SPEC_LOCKED_NOT_RENDERED,,,See 01B_REAL_VISUAL_SOURCE_MANIFEST.csv and Stage12 package.,Exact source crop only; no AI redraw.
G048,B070,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV061,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G049,B071,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV068,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G050,B072,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV065;RV066,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G051,B073,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV054,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
G052,B074,GENERATED_PLATE,GENERATED_SOURCE_STYLED,RV060;RV070,Higgsfield GPT Image 2 1k/low/16:9 0.5 credit/job,v19,PLANNED_LOCKED_NO_SPEND,,,Generated plate grounded by Stage01B refs; source rights remain attached to inputs.,R6: generate environment/backplate only; zero readable text and zero authentic source content. Composite exact bound 12_SOURCE_PREP source pixels + locked headline deterministically in editor; no generative resynthesis inside source regions.
