generation_slot,beat_id,frame_family,style_lock,layout_lock,text_lock,subtitle_safe,legal_lock,source_fidelity,person_lock,rights_gate,raw_document_gate,non_monotony,no_21b,spend_gate,overall
G049,B071,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G050,B072,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G051,B073,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G052,B074,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G053,B075,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G054,B076,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G055,B077,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G056,B078,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G057,B079,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G058,B080,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G059,B081,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G060,B082,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G061,B084,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G062,B085,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G063,B087,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G064,B088,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G065,B089,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G066,B090,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G067,B092,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G068,B093,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G069,B094,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G070,B095,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G071,B096,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G072,B097,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G073,B098,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G074,B099,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G075,B100,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G076,B101,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G077,B102,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G078,B103,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G079,B104,T07,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G080,B105,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G081,B106,T03,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G082,B107,T06,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G083,B108,T04,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G084,B109,T02,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
G085,B110,T01,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_NO_APPROVAL,PASS
