event_id,date,case_name,docket_number,court_or_agency,event_type,party,description,outcome,source_id,appeal_status,current_status,notes
E018,2023-12-14,Anticipated acquisition of Figma by Adobe,,UK CMA,PARTIES_REMEDIES_RESPONSE,Adobe / Figma,Parties strongly disagreed with provisional findings and said the remedies notice effectively pointed toward prohibition or divestiture of Figma Design.,Parties maintained opposition to CMA analysis/remedy direction.,S010,,HISTORICAL_PARTY_POSITION,Published by CMA Dec 18.
E019,2023-12-17,Adobe / Figma proposed merger,,U.S. SEC,MUTUAL_TERMINATION_AGREEMENT,Adobe / Figma,"Boards approved and parties executed a mutual termination agreement, ending the merger agreement by mutual consent.",Proposed acquisition abandoned; $1B contractual fee became payable under agreed termination terms.,S014;S015,,FINAL,
E020,2023-12-18,Adobe / Figma proposed merger,,,PUBLIC_ABANDONMENT_ANNOUNCEMENT,Adobe / Figma,"Companies publicly announced abandonment, stating there was no clear path to necessary EC and CMA regulatory approvals.",Companies continued independently.,S013;S021,,FINAL,
E021,2023-12-18,Adobe / Figma proposed merger,,U.S. DOJ Antitrust Division,DOJ_POST_ABANDONMENT_STATEMENT,DOJ,Antitrust AAG Jonathan Kanter publicly welcomed abandonment and thanked DOJ staff who investigated the merger.,Official U.S. investigation record confirms abandonment; no court prohibition in this source.,S012,,FINAL,
E022,2023-12-18 to 2023-12-19,Anticipated acquisition of Figma by Adobe,,UK CMA,PHASE2_CANCELLATION,CMA,"After abandonment, CMA cancelled the merger inquiry; case page closed with Phase 2 cancellation outcome.",UK inquiry ended without final prohibition decision.,S006,,CLOSED,Case page says merger abandoned Dec 18; cancellation reference published Dec 19.
E023,2023-12-18,M.11033 Adobe/Figma,M.11033,European Commission,EU_INVESTIGATION_ENDS,European Commission,Abandonment ended the Commission's in-depth investigation.,No formal Commission decision on the merits.,S011,,CLOSED_WITHOUT_FORMAL_DECISION,
E024,2023-12-20,Adobe / Figma proposed merger,,U.S. SEC,TERMINATION_FEE_PAID,Adobe / Figma,Adobe paid and Figma received the $1.0B termination fee.,Core contractual financial consequence realized in cash.,S016;S018;S019,,FINAL,Adobe says cash on hand; Figma recorded fee in other income.
E025,2025-07-01,Figma IPO,Registration No. 333-288451,U.S. SEC,S1_FILED,Figma,"Figma filed its S-1, publicly documenting the abandoned Adobe merger and $1B termination fee as part of its financial history.",Post-deal primary-source record expanded.,S018,,FINAL_FILING,
E026,2025-08-01,Figma IPO,,U.S. SEC / Nasdaq,IPO_COMPLETED,Figma,"Figma completed its IPO, issuing 12.5M Class A shares at $33 per share and reporting $393.1M net proceeds before offering costs.",Figma remained independent and became a public company.,S019,,FINAL,Do not infer merger fee caused IPO or later valuation.
E027,2026-09-25,Adobe / Figma research refresh,,,CURRENT_STATUS_REFRESH,Research audit,Current official/SEC record reviewed through this date.,Merger remains abandoned; Figma is independent/public; no later final CMA/EC merits decision exists because investigations ended on abandonment.,S006;S011;S017;S019,,CURRENT,Stage 16 refresh still mandatory before publication.
