generation_slot,beat_id,asset_id,asset_class,usable,url,source,binding_mode,prep_rule
G016,B027,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G017,B028,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G018,B029,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G018,B029,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G019,B031,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G020,B032,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G020,B032,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G021,B033,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G022,B035,RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G022,B035,RV025,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/adobe-figma-faq/,Figma Blog,ATTACH_AUTHENTIC_UI_CROP_UNCHANGED,Acquire exact official screenshot/crop; do not redraw controls or UI text.
G023,B036,RV001,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G023,B036,RV012,REAL-PHOTO,YES_EDITORIAL,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G023,B036,RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G024,B037,RV025,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/adobe-figma-faq/,Figma Blog,ATTACH_AUTHENTIC_UI_CROP_UNCHANGED,Acquire exact official screenshot/crop; do not redraw controls or UI text.
G025,B038,RV001,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G025,B038,RV012,REAL-PHOTO,YES_EDITORIAL,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G025,B038,RV025,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/adobe-figma-faq/,Figma Blog,ATTACH_AUTHENTIC_UI_CROP_UNCHANGED,Acquire exact official screenshot/crop; do not redraw controls or UI text.
G026,B039,RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G026,B039,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G027,B040,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G028,B041,RV054,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G028,B041,RV068,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Berlaymont_EU_Building-Brussels.jpg,Wikimedia Commons / acediscovery,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G029,B042,RV054,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G030,B043,RV054,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G030,B043,RV055,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA Phase 1 decision linked from case page,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G031,B044,RV068,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Berlaymont_EU_Building-Brussels.jpg,Wikimedia Commons / acediscovery,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G031,B044,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G032,B046,RV055,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA Phase 1 decision linked from case page,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G032,B046,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G033,B047,RV060,DOCUMENT,YES_CLEAR,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. DOJ Antitrust Division,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G033,B047,RV070,CONTEXT,YES_CLEAR,"https://commons.wikimedia.org/wiki/File:U.S._Department_of_Justice_headquarters,_August_12,_2006.jpg",Wikimedia Commons / Coolcaesar,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G034,B048,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G034,B048,RV054,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G034,B048,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G035,B049,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G035,B049,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G036,B050,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G036,B050,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G037,B051,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G037,B051,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G038,B056,RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G039,B057,RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G039,B057,RV037,PRODUCT-UI,YES_EDITORIAL,https://www.figma.com/blog/introducing-dev-mode/,Figma Blog,ATTACH_AUTHENTIC_UI_CROP_UNCHANGED,Acquire exact official screenshot/crop; do not redraw controls or UI text.
G040,B058,RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G041,B060,RV001,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G041,B060,RV012,REAL-PHOTO,YES_EDITORIAL,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G041,B060,RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G042,B062,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G042,B062,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G043,B063,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G043,B063,RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G043,B063,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G044,B064,RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G044,B064,RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G045,B066,RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
